srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label,Category_dtloader,Binary_dtloader
59.166.0.8,63148,149.171.126.4,53,udp,CON,0.001161,146,178,31,29,0,0,dns,503014.6563,613264.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424250167,1424250167,0.009,0.007,0.0,0.0,0.0,0,0,Normal,Normal, ,4,1,2,4,2,1,1,Normal,0,0,0
59.166.0.2,46213,149.171.126.5,7442,tcp,FIN,0.016,2542,22128,31,29,7,14,-,1239500.0,10800999.0,40,42,255,255,2598370374,2602886189,64,527,0,0,26.145527,24.980084,1424250193,1424250193,0.411842,0.375463,0.000688,0.000575,0.000113,0,0,Normal,Normal, ,8,5,3,4,1,1,2,Normal,0,0,0
59.166.0.2,19838,149.171.126.2,53,udp,CON,0.001055,130,162,31,29,0,0,dns,492891.0,614218.0,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424250198,1424250198,0.008,0.002,0.0,0.0,0.0,0,0,Normal,Normal, ,5,4,4,5,2,1,5,Normal,0,0,0
59.166.0.8,2733,149.171.126.5,33315,tcp,FIN,0.096816,4862,82782,31,29,7,36,-,397041.8125,6760865.5,84,86,255,255,3120694312,3158816237,58,963,0,0,69.835632,67.619645,1424250155,1424250155,1.176976,1.132294,0.00071,0.000567,0.000143,0,0,Normal,Normal, ,5,7,6,5,1,1,2,Normal,0,0,0
59.166.0.4,9745,149.171.126.6,11680,tcp,FIN,0.004008,320,1938,31,29,1,2,ftp-data,532934.1875,3385229.75,6,8,255,255,3547865312,1402701738,53,242,0,0,44.10769,0.91949,1424250259,1424250259,0.74,0.499571,0.000631,0.000507,0.000124,0,0,Normal,Normal, ,1,1,2,2,1,1,3,Normal,0,0,0
175.45.176.2,43359,149.171.126.10,51785,tcp,FIN,0.512021,364,3754,62,252,1,3,ftp-data,4984.17041,52794.71094,8,10,255,255,3100341387,1499512130,46,375,0,0,4501.657047,3588.397163,1424250404,1424250405,73.145859,50.429889,0.063958,0.034154,0.029804,0,1,Normal,Normal, ,1,1,2,2,1,1,2,Exploits,1,6,1
175.45.176.3,6627,149.171.126.14,110,tcp,FIN,7.238376,8728,1634220,62,252,7,629,pop3,9598.837891,1804742.875,200,1262,255,255,3860547406,2858635978,44,1295,0,0,1861.755004,711.552821,1424250322,1424250329,36.373747,5.732511,0.077117,0.03183,0.045287,0,1,Normal,Normal, ,1,1,1,2,1,1,1,Exploits,1,6,1
175.45.176.0,2672,149.171.126.13,80,tcp,FIN,0.190721,918,268,254,252,2,1,http,34689.41406,9395.923828,10,6,255,255,11439242,770426069,92,45,1,0,1037.85827,61.719078,1424250289,1424250289,19.497,36.536801,0.055141,0.008028,0.047113,0,1,1.0,Normal, ,3,1,1,1,1,1,1,Exploits,1,6,1
175.45.176.0,13734,149.171.126.11,80,tcp,FIN,0.245271,802,928,62,252,2,2,http,23549.46094,26484.99023,10,8,255,255,632815914,1432457744,80,116,1,62,1459.480736,58.832902,1424250258,1424250258,27.252333,32.929285,0.057428,0.008281,0.049147,0,1,1.0,Normal, ,1,1,1,1,1,1,2,Exploits,1,6,1
175.45.176.1,37102,149.171.126.13,554,tcp,FIN,0.215628,3728,268,254,252,3,1,-,126810.9922,8310.609375,12,6,255,255,2495398582,1265222941,311,45,0,0,1132.432369,57.63407,1424250087,1424250087,19.602545,39.184801,0.065163,0.019031,0.046132,0,1,Normal,Normal, ,1,2,1,1,1,1,1,Exploits,1,6,1
175.45.176.0,64576,149.171.126.14,25,tcp,FIN,2.634136,397528,3496,62,252,154,8,smtp,1203467.125,10447.44824,314,62,255,255,1537567794,252023802,1266,56,0,0,906.260387,48.903648,1424250200,1424250203,8.41577,42.941723,0.064425,0.013957,0.050468,0,1,Normal,Normal, ,1,1,1,1,1,1,1,Exploits,1,6,1
175.45.176.0,12984,149.171.126.15,111,udp,INT,1e-05,168,0,254,0,0,0,-,67200000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1424250344,1424250344,0.01,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,1,Reconnaissance,1,2,1
175.45.176.3,45516,149.171.126.12,111,udp,INT,9e-06,168,0,254,0,0,0,-,74666664.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1424250218,1424250218,0.009,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,2,2,1,1,1,1,1,Reconnaissance,1,2,1
175.45.176.3,11539,149.171.126.12,111,tcp,FIN,0.643284,564,354,254,252,2,1,-,6317.58252,3855.217773,10,8,255,255,2119433991,276639363,56,44,0,0,5449.07487,139.7885,1424250301,1424250301,70.809444,90.777141,0.062538,0.00784,0.054698,0,1,Normal,Normal, ,2,2,1,1,1,1,1,Reconnaissance,1,2,1
175.45.176.3,57242,149.171.126.16,111,tcp,FIN,0.664748,564,354,254,252,2,1,-,6113.594727,3730.737061,10,8,255,255,1369652968,2751860410,56,44,0,0,5568.719235,139.591719,1424250195,1424250196,72.709889,93.188,0.063273,0.012424,0.050849,0,1,Normal,Normal, ,1,1,1,2,1,1,1,Reconnaissance,1,2,1
175.45.176.1,55580,149.171.126.14,111,tcp,FIN,0.806009,564,354,254,252,2,1,-,5042.127441,3076.888672,10,8,255,255,1835493217,2764225229,56,44,0,0,6576.140404,236.052188,1424250191,1424250192,89.556556,107.65557,0.08575,0.02113,0.06462,0,1,Normal,Normal, ,1,1,1,1,1,1,2,Reconnaissance,1,2,1
175.45.176.0,12564,149.171.126.11,111,udp,INT,3e-06,168,0,254,0,0,0,-,224000000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1424250150,1424250150,0.003,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,1,Reconnaissance,1,2,1
175.45.176.1,23744,149.171.126.14,111,udp,INT,9e-06,168,0,254,0,0,0,-,74666664.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1424250074,1424250074,0.009,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,2,1,1,1,1,1,1,Reconnaissance,1,2,1
175.45.176.0,61172,149.171.126.15,80,tcp,FIN,0.180413,978,268,254,252,2,1,http,39065.92188,9932.765625,10,6,255,255,596164024,1443097367,98,45,1,0,995.565877,59.514141,1424250335,1424250335,18.548889,34.531801,0.052278,0.007748,0.04453,0,1,1.0,Normal, ,2,2,1,1,1,1,3,Reconnaissance,1,2,1
175.45.176.0,44990,149.171.126.14,514,udp,INT,1e-05,1164,0,254,0,0,0,-,465600000.0,0.0,2,0,0,0,0,0,582,0,0,0,0.0,0.0,1424250097,1424250097,0.01,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,36,36,11,12,11,1,36,Fuzzers,1,1,1
175.45.176.0,47868,149.171.126.14,514,udp,INT,9e-06,1932,0,254,0,0,0,-,858666624.0,0.0,2,0,0,0,0,0,966,0,0,0,0.0,0.0,1424250096,1424250096,0.009,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,36,36,10,10,10,1,36,Fuzzers,1,1,1
175.45.176.2,53988,149.171.126.14,1723,tcp,FIN,0.395582,820,354,254,252,2,1,-,14924.8457,6269.244141,10,8,255,255,59988078,1089624137,82,44,0,0,3015.408991,107.760516,1424250175,1424250175,43.074778,49.728145,0.092793,0.047482,0.045311,0,1,Normal,Normal, ,11,11,3,3,3,1,11,Fuzzers,1,1,1
175.45.176.2,64173,149.171.126.14,1723,tcp,FIN,0.397742,2292,268,254,252,2,1,-,41494.23438,4505.433105,10,6,255,255,1636679450,2504390534,229,45,0,0,2135.917249,94.610828,1424250184,1424250185,44.193556,71.277797,0.076109,0.040656,0.035453,0,1,Normal,Normal, ,6,6,3,2,2,1,6,Fuzzers,1,1,1
175.45.176.0,65396,149.171.126.15,80,tcp,FIN,0.258227,800,6180,62,252,2,3,http,22305.95703,172313.5156,10,10,255,255,3036559335,1890527593,80,618,1,2643,1369.697445,1977.653258,1424250349,1424250349,28.691889,27.623889,0.056704,0.008909,0.047795,0,1,1.0,Normal, ,2,1,1,1,1,1,1,DoS,1,5,1
175.45.176.1,51565,149.171.126.13,465,tcp,FIN,0.22475,1076,550,62,252,2,2,-,34491.65625,17156.8418,10,8,255,255,2686425279,1601293069,108,69,0,0,1361.625636,54.657059,1424250377,1424250377,24.972222,30.345285,0.054573,0.008341,0.046232,0,1,Normal,Normal, ,2,1,1,1,1,1,1,DoS,1,5,1
175.45.176.1,0,149.171.126.11,0,sctp,INT,9e-06,440,0,254,0,0,0,-,195555552.0,0.0,2,0,0,0,0,0,220,0,0,0,0.0,0.0,1424250010,1424250010,0.009,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,2,DoS,1,5,1
175.45.176.3,50160,149.171.126.14,80,tcp,FIN,0.38606,1324,2338,62,252,3,3,http,25156.71094,43620.16406,12,10,255,255,1345137157,869225031,110,234,1,113,1700.95221,56.092535,1424250379,1424250379,35.096365,41.88,0.054897,0.008411,0.046486,0,1,1.0,Normal, ,1,1,1,1,1,1,1,DoS,1,5,1
175.45.176.1,54703,149.171.126.19,25,tcp,FIN,0.599468,988,1312,254,252,5,6,smtp,12370.96875,16414.55469,16,16,255,255,3237642353,3717054230,62,82,0,0,1904.597913,44.456121,1424250372,1424250373,39.964533,39.382934,0.05092,0.006746,0.044174,0,1,Normal,Normal, ,1,1,1,1,1,1,1,Generic,1,7,1
175.45.176.1,48212,149.171.126.11,36427,udp,INT,9e-06,336,0,254,0,0,0,-,149333328.0,0.0,2,0,0,0,0,0,168,0,0,0,0.0,0.0,1424250145,1424250145,0.009,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.2,31628,149.171.126.11,39712,udp,INT,9e-06,132,0,254,0,0,0,-,58666664.0,0.0,2,0,0,0,0,0,66,0,0,0,0.0,0.0,1424250029,1424250029,0.009,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.2,13231,149.171.126.12,54301,tcp,FIN,0.210506,892,268,254,252,2,1,-,30516.94336,8512.821289,10,6,255,255,4179880960,3102474773,89,45,0,0,1164.91016,69.860352,1424250304,1424250304,21.679,40.727801,0.061543,0.006858,0.054685,0,1,Normal,Normal, ,1,2,1,1,1,1,1,Shellcode,1,8,1
175.45.176.1,51206,149.171.126.15,40065,udp,INT,1e-05,176,0,254,0,0,0,-,70400000.0,0.0,2,0,0,0,0,0,88,0,0,0,0.0,0.0,1424250378,1424250378,0.01,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,2,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.0,45856,149.171.126.10,20372,tcp,FIN,0.220134,502,268,254,252,2,1,-,16426.35742,8140.496094,10,6,255,255,3331330286,1256802773,50,45,0,0,1210.522793,73.841258,1424250103,1424250104,24.459333,39.406602,0.058588,0.006958,0.05163,0,1,Normal,Normal, ,1,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.2,3570,149.171.126.16,46011,tcp,FIN,0.212182,536,268,254,252,2,1,-,18210.78125,8445.580078,10,6,255,255,1649994474,1609202856,54,45,0,0,1137.546582,68.340516,1424250073,1424250073,22.174111,41.172801,0.055475,0.006311,0.049164,0,1,Normal,Normal, ,1,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.1,3163,149.171.126.14,30727,udp,INT,1e-05,174,0,254,0,0,0,-,69600000.0,0.0,2,0,0,0,0,0,87,0,0,0,0.0,0.0,1424250295,1424250295,0.01,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.1,15528,149.171.126.11,11116,udp,INT,9e-06,1474,0,254,0,0,0,-,655111104.0,0.0,2,0,0,0,0,0,737,0,0,0,0.0,0.0,1424250114,1424250114,0.009,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.2,0,149.171.126.11,0,ospf,INT,1.586461,2858,0,254,0,0,0,-,13615.21094,0.0,18,0,0,0,0,0,159,0,0,0,171.851906,0.0,1424250061,1424250063,93.321234,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,1,Backdoor,1,4,1
175.45.176.2,0,149.171.126.14,0,ospf,INT,9.836302,10880,0,254,0,0,0,-,8627.632812,0.0,40,0,0,0,0,0,272,0,0,0,327.406094,0.0,1424250181,1424250191,252.212875,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,2,Backdoor,1,4,1
175.45.176.2,0,149.171.126.11,0,ospf,INT,1.586461,2858,0,254,0,0,0,-,13615.21094,0.0,18,0,0,0,0,0,159,0,0,0,171.851906,0.0,1424250061,1424250063,93.321234,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,1,Analysis,1,3,1
175.45.176.0,3242,149.171.126.13,80,tcp,FIN,0.174514,1308,268,254,252,2,1,http,54001.39844,10268.51758,10,6,255,255,3588639009,1063879651,131,45,1,0,1108.838175,59.31243,1424250096,1424250097,19.301111,32.776801,0.025277,0.010622,0.014655,0,1,1.0,Normal, ,1,1,1,12,1,1,1,Worms,1,9,1
59.166.0.1,49617,149.171.126.6,3565,tcp,FIN,0.013564,2646,23838,31,29,7,15,-,1523444.375,13740490.0,42,44,255,255,2610659561,465592432,63,542,0,0,19.180544,17.680118,1424250694,1424250694,0.339462,0.30769,0.000761,0.000632,0.000129,0,0,Normal,Normal, ,3,7,6,3,1,1,1,Normal,0,0,0
59.166.0.2,16748,149.171.126.8,15515,tcp,FIN,0.106973,4272,2560,31,29,7,7,-,303553.2188,181877.6719,20,20,255,255,1808120786,1811236685,214,128,0,0,674.634559,20.403297,1424250772,1424250772,5.613421,5.604737,0.0006,0.000479,0.000121,0,0,Normal,Normal, ,7,7,3,4,1,1,2,Normal,0,0,0
59.166.0.6,1681,149.171.126.2,64389,tcp,FIN,0.023952,3598,48874,31,29,7,24,-,1182030.75,16060788.0,60,62,255,255,1187465351,3345718239,60,788,0,0,22.115348,21.295549,1424250627,1424250627,0.407724,0.384787,0.000602,0.000477,0.000125,0,0,Normal,Normal, ,2,5,1,2,1,1,1,Normal,0,0,0
59.166.0.7,42648,149.171.126.5,6478,tcp,FIN,0.01293,2646,23838,31,29,7,15,-,1598143.875,14414230.0,42,44,255,255,2419756349,2420064505,63,542,0,0,18.270827,17.466412,1424250672,1424250672,0.307805,0.301146,0.000699,0.000571,0.000128,0,0,Normal,Normal, ,7,1,1,6,1,1,1,Normal,0,0,0
59.166.0.8,7132,149.171.126.6,5183,tcp,FIN,0.100862,3182,38766,31,29,7,20,-,247546.1563,3017905.75,52,54,255,255,2432275854,2585523324,61,718,0,0,120.429725,117.091788,1424250676,1424250676,1.971726,1.893245,0.000641,0.000517,0.000124,0,0,Normal,Normal, ,2,13,6,2,1,1,1,Normal,0,0,0
175.45.176.3,41232,149.171.126.17,80,tcp,FIN,0.273636,806,1108,62,252,2,2,http,21225.27539,28358.83984,10,8,255,255,2337977954,735949460,81,139,1,150,1499.309296,57.313941,1424250639,1424250639,30.404,37.903145,0.053278,0.00761,0.045668,0,1,1.0,Normal, ,1,1,1,1,1,1,1,Exploits,1,6,1
175.45.176.3,58377,149.171.126.19,80,tcp,FIN,0.224178,1084,268,254,252,2,1,http,34829.46484,7993.647949,10,6,255,255,3749615850,2686431127,108,45,1,0,1181.042421,64.674969,1424250452,1424250452,22.741333,40.905199,0.067722,0.019643,0.048079,0,1,1.0,Normal, ,1,1,1,1,1,1,1,Exploits,1,6,1
175.45.176.0,26534,149.171.126.18,80,tcp,FIN,1.236958,2374,101214,62,252,4,37,http,14719.98242,646418.0625,24,80,255,255,1602496307,2715868191,99,1265,1,114,3212.929983,1611.52582,1424250775,1424250776,53.780783,14.612836,0.106653,0.081817,0.024836,0,1,1.0,Normal, ,1,1,1,2,1,1,1,Exploits,1,6,1
175.45.176.1,38793,149.171.126.12,13722,tcp,FIN,0.287351,2918,356,254,252,3,2,-,74473.375,8686.240234,12,8,255,255,3631333241,1140191113,243,45,0,0,1333.912845,59.069773,1424250665,1424250665,24.794454,40.093,0.051863,0.006697,0.045166,0,1,Normal,Normal, ,2,1,1,1,1,1,1,Exploits,1,6,1
175.45.176.0,8273,149.171.126.12,25,tcp,FIN,1.294018,2818,1748,62,252,7,8,smtp,16556.18359,10268.79004,20,20,255,255,918360034,2668625499,141,87,0,0,3235.677068,74.637328,1424250436,1424250437,68.106211,63.015738,0.094987,0.056287,0.0387,0,1,Normal,Normal, ,1,1,1,2,1,1,1,Exploits,1,6,1
175.45.176.2,1281,149.171.126.19,65030,tcp,FIN,0.736856,364,4678,62,252,1,3,ftp-data,3463.363281,45718.56641,8,10,255,255,1174103328,3537884564,46,468,0,0,7240.321108,6242.932877,1424250727,1424250728,105.265143,75.927111,0.097551,0.053206,0.044345,0,1,Normal,Normal, ,1,1,2,2,1,1,2,Exploits,1,6,1
175.45.176.0,4364,149.171.126.15,179,tcp,FIN,0.622398,484,354,254,252,2,1,-,5604.130859,3984.588623,10,8,255,255,1455736836,1706104175,48,44,0,0,4348.737147,126.172609,1424250436,1424250436,65.178111,80.63757,0.107748,0.05793,0.049818,0,1,Normal,Normal, ,4,4,1,1,1,1,4,Fuzzers,1,1,1
175.45.176.0,65464,149.171.126.12,179,tcp,FIN,0.625392,566,354,254,252,2,1,-,6523.908203,3965.512695,10,8,255,255,1502174412,165855869,57,44,0,0,4571.20533,110.281406,1424250482,1424250483,67.681,79.330859,0.108917,0.070073,0.038844,0,1,Normal,Normal, ,7,6,2,2,2,2,6,Fuzzers,1,1,1
175.45.176.0,62511,149.171.126.12,179,tcp,FIN,0.596067,566,354,254,252,2,1,-,6844.868164,4160.605957,10,8,255,255,3704510706,2654656683,57,44,0,0,4172.683764,119.579969,1424250483,1424250484,66.129,74.82643,0.12604,0.072267,0.053773,0,1,Normal,Normal, ,7,6,2,3,2,1,6,Fuzzers,1,1,1
175.45.176.3,11389,149.171.126.16,520,udp,INT,9e-06,572,0,254,0,0,0,-,254222208.0,0.0,2,0,0,0,0,0,286,0,0,0,0.0,0.0,1424250710,1424250710,0.009,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,12,12,8,8,8,1,12,Fuzzers,1,1,1
