Src_Port,Dst_Port,Protocol,Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts/s,Flow_Pkts/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Tot,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts/s,Bwd_Pkts/s,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,URG_Flag_Cnt,CWE_Flag_Count,ECE_Flag_Cnt,Down/Up_Ratio,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Fwd_Byts/b_Avg,Fwd_Pkts/b_Avg,Fwd_Blk_Rate_Avg,Bwd_Byts/b_Avg,Bwd_Pkts/b_Avg,Bwd_Blk_Rate_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Target
7154,19604,6,2866,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.8367062107468,2866.0,0.0,2866.0,2866.0,0.0,0.0,0.0,0.0,0.0,2866.0,2866.0,0.0,2866.0,2866.0,0,0,0,0,0,40,0.0,697.8367062107468,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,2866.0,0.0,2866.0,2866.0,DoS
1515,554,6,3119,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.2311638345624,3119.0,0.0,3119.0,3119.0,0.0,0.0,0.0,0.0,0.0,3119.0,3119.0,0.0,3119.0,3119.0,0,0,0,0,0,44,0.0,641.2311638345624,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,3119.0,0.0,3119.0,3119.0,DoS
5946,554,6,2021,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.6091044037606,2021.0,0.0,2021.0,2021.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0.0,2021.0,2021.0,0,0,0,0,0,44,0.0,989.6091044037606,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,2021.0,0.0,2021.0,2021.0,DoS
8006,554,6,4592,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.5400696864112,4592.0,0.0,4592.0,4592.0,0.0,0.0,0.0,0.0,0.0,4592.0,4592.0,0.0,4592.0,4592.0,0,0,0,0,0,44,0.0,435.5400696864112,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,4592.0,0.0,4592.0,4592.0,DoS
6651,554,6,2734,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.528895391368,2734.0,0.0,2734.0,2734.0,0.0,0.0,0.0,0.0,0.0,2734.0,2734.0,0.0,2734.0,2734.0,0,0,0,0,0,44,0.0,731.528895391368,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,2734.0,0.0,2734.0,2734.0,DoS
2913,19604,6,980,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2040.8163265306123,980.0,0.0,980.0,980.0,0.0,0.0,0.0,0.0,0.0,980.0,980.0,0.0,980.0,980.0,0,0,0,0,0,40,0.0,2040.8163265306123,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
1414,554,6,4812,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.62759767248536,4812.0,0.0,4812.0,4812.0,0.0,0.0,0.0,0.0,0.0,4812.0,4812.0,0.0,4812.0,4812.0,0,0,0,0,0,44,0.0,415.62759767248536,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,4812.0,0.0,4812.0,4812.0,DoS
2940,554,6,3340,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.8023952095807,3340.0,0.0,3340.0,3340.0,0.0,0.0,0.0,0.0,0.0,3340.0,3340.0,0.0,3340.0,3340.0,0,0,0,0,0,44,0.0,598.8023952095807,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,3340.0,0.0,3340.0,3340.0,DoS
6394,554,6,2479,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.7769261799112,2479.0,0.0,2479.0,2479.0,0.0,0.0,0.0,0.0,0.0,2479.0,2479.0,0.0,2479.0,2479.0,0,0,0,0,0,44,0.0,806.7769261799112,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,2479.0,0.0,2479.0,2479.0,DoS
7166,554,6,1997,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.50225338007,1997.0,0.0,1997.0,1997.0,0.0,0.0,0.0,0.0,0.0,1997.0,1997.0,0.0,1997.0,1997.0,0,0,0,0,0,44,0.0,1001.50225338007,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,1997.0,0.0,1997.0,1997.0,DoS
