dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92844414,0.98930775,0.92884218,0.99015154,0.00000000,0.00000000,0.00000000,0.83313131,0.77403515,0.80231221,0.91511787
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.93670886,0.98930775,0.94020182,0.99015154,0.65767182,0.99700000,0.79228050,0.94232546,0.94020182,0.93416290,0.92639228
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.92501925,0.98521940,0.92725908,0.98557961,0.00000000,0.00000000,0.00000000,0.83268451,0.77271590,0.80136611,0.91040249
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.90158917,0.98521940,0.91029923,0.98557961,0.74467270,0.82550000,0.76997972,0.92503198,0.91029923,0.90865853,0.88639727
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.92686682,0.98675905,0.92845251,0.98692807,0.00000000,0.00000000,0.00000000,0.83086156,0.77371043,0.80101134,0.91234376
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92642731,0.98675905,0.92787709,0.98692807,0.80061993,0.92500000,0.85713960,0.94039953,0.92787709,0.93078414,0.91162650
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.93086990,0.98429561,0.93350489,0.98513268,0.00000000,0.00000000,0.00000000,0.83184313,0.77792074,0.80380618,0.91699721
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.84626251,0.98429561,0.87317074,0.98513268,0.70867257,0.57150000,0.62521301,0.86679920,0.87317074,0.85304882,0.82254168
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.92578907,0.99399538,0.92838827,0.99440154,0.00000000,0.00000000,0.00000000,0.83270306,0.77365689,0.80181002,0.91141540
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.93808122,0.99399538,0.93665689,0.99440154,0.80448580,0.97800000,0.88234266,0.95832167,0.93665689,0.94451046,0.92611915
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.91236111,0.98722222,0.91575000,0.98675000,0.00000000,0.00000000,0.00000000,0.83136328,0.76312500,0.79556046,0.89693786
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.92303067,0.98722222,0.92844638,0.98675000,0.64025950,0.99192825,0.77814667,0.93617955,0.92844638,0.92433142,0.91085645
