dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.96929404,0.98875942,0.96658450,0.98915922,0.00000000,0.00000000,0.00000000,0.83333333,0.80548708,0.81907982,0.96228644
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96889693,0.98875942,0.96648708,0.98915922,0.81171748,0.96600000,0.88205471,0.96503702,0.96648708,0.96430884,0.96276669
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.93872209,0.97998460,0.92684637,0.98049651,0.00000000,0.00000000,0.00000000,0.83322476,0.77237197,0.80095397,0.92575887
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.95079459,0.97998460,0.93737197,0.98049651,0.83325992,0.99000000,0.90479737,0.96743437,0.93737197,0.94975892,0.94102178
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.93410316,0.98337182,0.92274791,0.98446229,0.00000000,0.00000000,0.00000000,0.83237621,0.76895659,0.79874755,0.92037549
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.94867569,0.98337182,0.93495659,0.98446229,0.82504872,0.99600000,0.90245575,0.96802292,0.93495659,0.94840952,0.93866590
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.93102386,0.98137028,0.91917598,0.98164804,0.00000000,0.00000000,0.00000000,0.83238834,0.76597998,0.79713197,0.91684765
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.94490877,0.98137028,0.93097998,0.98164804,0.81707173,0.99000000,0.89514875,0.96395285,0.93097998,0.94432055,0.93411718
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.95519630,0.99076212,0.94527025,0.99041690,0.00000000,0.00000000,0.00000000,0.83263589,0.78772521,0.80916037,0.94492781
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.96527369,0.99076212,0.95405854,0.99041690,0.87395989,0.99800000,0.93185689,0.97735712,0.95405854,0.96405870,0.95822236
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.94541667,0.98541667,0.93650000,0.98475000,0.00000000,0.00000000,0.00000000,0.83241200,0.78041667,0.80509576,0.93401630
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.95261575,0.98541667,0.94693386,0.98475000,0.74197579,0.99910314,0.85132918,0.95596314,0.94693386,0.94693202,0.94421037
