dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.96847156,0.98697738,0.96583450,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.80486208,0.81876937,0.96129459
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.97227245,0.98697738,0.97152875,0.98763268,0.81300813,1.00000000,0.89686099,0.96883469,0.97152875,0.96824620,0.96701060
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96572995,0.98766278,0.96136522,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.80113769,0.81674711,0.95802770
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96383363,0.98766278,0.95947102,0.98776536,0.79166667,0.95000000,0.86363636,0.95963805,0.95947102,0.95791234,0.95668526
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.97121316,0.99040439,0.96784218,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.80653515,0.81963901,0.96455896
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.97046414,0.99040439,0.96736848,0.99075768,0.82127660,0.96500000,0.88735632,0.96656693,0.96736848,0.96572897,0.96457111
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96847156,0.98766278,0.96681913,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.80568261,0.81920950,0.96130720
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96262809,0.98766278,0.95901595,0.98776536,0.80000000,0.92000000,0.85581395,0.95858586,0.95901595,0.95778142,0.95506312
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.97258396,0.99108979,0.97106145,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.80921788,0.82103412,0.96624375
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.97528632,0.99108979,0.97505121,0.99187500,0.83263598,0.99500000,0.90660592,0.97155955,0.97505121,0.97187528,0.97050335
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.93379523,0.98152425,0.91778631,0.98151536,0.00000000,0.00000000,0.00000000,0.83333333,0.76482193,0.79676591,0.91998145
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.94879341,0.98152425,0.93107193,0.98151536,0.82268041,0.99750000,0.90169492,0.96918411,0.93107193,0.94653450,0.93884873
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.94072363,0.97305620,0.93445182,0.97714036,0.00000000,0.00000000,0.00000000,0.83333333,0.77870985,0.80476721,0.92813825
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.95409064,0.97305620,0.94495985,0.97714036,0.83823529,0.99750000,0.91095890,0.97185718,0.94495985,0.95607690,0.94510982
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.95073133,0.98383372,0.94028631,0.98401536,0.00000000,0.00000000,0.00000000,0.83279045,0.78357193,0.80707746,0.93959783
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.96174220,0.98383372,0.94982193,0.98401536,0.86363636,0.99750000,0.92575406,0.97558829,0.94982193,0.96085193,0.95401501
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.93764434,0.98075443,0.92659218,0.98026536,0.00000000,0.00000000,0.00000000,0.83333333,0.77216015,0.80097874,0.92447640
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.94408476,0.98075443,0.93299348,0.98026536,0.82655246,0.96500000,0.89042676,0.95521906,0.93299348,0.94248315,0.93248927
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.93071594,0.98075443,0.91511522,0.97954609,0.00000000,0.00000000,0.00000000,0.83333333,0.76259602,0.79518051,0.91660044
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.94526192,0.98075443,0.92801269,0.97954609,0.81519507,0.99250000,0.89515220,0.96532321,0.92801269,0.94284812,0.93464610
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.93302540,0.98691301,0.91952863,0.98750000,0.00000000,0.00000000,0.00000000,0.83333333,0.76627386,0.79779565,0.91911364
