dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92981494,0.98848526,0.92753212,0.98950000,0.00000000,0.00000000,0.00000000,0.83333333,0.77294344,0.80178618,0.91654765
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.93767330,0.98848526,0.93877677,0.98950000,0.66062871,0.99500000,0.79393839,0.94271118,0.93877677,0.93376812,0.92735926
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.92224788,0.98137028,0.92474022,0.98220461,0.00000000,0.00000000,0.00000000,0.82963699,0.77061685,0.79879120,0.90707994
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.91218364,0.98137028,0.91720019,0.98220461,0.77538622,0.87950000,0.81546241,0.93459230,0.91720019,0.91891625,0.89705412
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.92563510,0.98675905,0.93066411,0.98698115,0.00000000,0.00000000,0.00000000,0.82946962,0.77555342,0.80133871,0.91093446
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92525015,0.98675905,0.92955342,0.98698115,0.79938813,0.92400000,0.85679542,0.93829946,0.92955342,0.93126115,0.90992423
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.92748268,0.98429561,0.93080447,0.98523115,0.00000000,0.00000000,0.00000000,0.83100713,0.77567039,0.80216722,0.91311144
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.86391995,0.98429561,0.88525372,0.98523115,0.73113913,0.65750000,0.68590758,0.88127824,0.88525372,0.87007182,0.84099200
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.92224788,0.99060816,0.92633869,0.99040922,0.00000000,0.00000000,0.00000000,0.83067650,0.77194891,0.79993735,0.90735260
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.93290171,0.99060816,0.93319891,0.99040922,0.79835737,0.96750000,0.87447033,0.95183958,0.93319891,0.93962910,0.91976332
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90416667,0.98027778,0.90687500,0.97887500,0.00000000,0.00000000,0.00000000,0.83026243,0.75572917,0.79094370,0.88792949
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.91208659,0.98027778,0.91626728,0.97887500,0.61491868,0.96322870,0.74951765,0.92562080,0.91626728,0.91214617,0.89813756
