dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.93145990,0.98629198,0.93011522,0.98750000,0.00000000,0.00000000,0.00000000,0.83333333,0.77509602,0.80302285,0.91840398
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93972272,0.98629198,0.94176269,0.98750000,0.66666667,1.00000000,0.80000000,0.94444444,0.94176269,0.93635619,0.92976503
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.92186429,0.98697738,0.91348813,0.98812500,0.00000000,0.00000000,0.00000000,0.83333333,0.76124011,0.79497647,0.90760475
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.93068113,0.98697738,0.92707344,0.98812500,0.63578275,0.99500000,0.77582846,0.93875424,0.92707344,0.92402134,0.91952310
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.93351611,0.99108979,0.93297486,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.77747905,0.80438075,0.92070068
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.94032550,0.99108979,0.94247905,0.99187500,0.67118644,0.99000000,0.80000000,0.94410842,0.94247905,0.93719525,0.93022032
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.93557231,0.98766278,0.93583450,0.98875000,0.00000000,0.00000000,0.00000000,0.83333333,0.77986208,0.80566498,0.92304280
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94273659,0.98766278,0.94569541,0.98875000,0.67918089,0.99500000,0.80730223,0.94554395,0.94569541,0.93975161,0.93305186
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.92666210,0.99040439,0.92524791,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.77103992,0.80088583,0.91298606
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93490054,0.99040439,0.93687325,0.99125000,0.65032680,0.99500000,0.78656126,0.94070487,0.93687325,0.93151620,0.92423599
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.91147036,0.97536567,0.91511522,0.97651536,0.00000000,0.00000000,0.00000000,0.82594937,0.76259602,0.79271523,0.89476271
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.92760447,0.97536567,0.92592935,0.97651536,0.78400000,0.98000000,0.87111111,0.94878059,0.92592935,0.93404536,0.91373244
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.93456505,0.97536567,0.94034218,0.97937500,0.00000000,0.00000000,0.00000000,0.83024691,0.78361848,0.80596632,0.92112848
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.94408476,0.97536567,0.94611848,0.97937500,0.82627119,0.97500000,0.89449541,0.95835723,0.94611848,0.95010981,0.93293683
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.91685912,0.98537336,0.92195182,0.98562500,0.00000000,0.00000000,0.00000000,0.83223684,0.76829318,0.79885883,0.90131409
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.92937022,0.98537336,0.92995985,0.98562500,0.78383838,0.97000000,0.86703911,0.95076168,0.92995985,0.93739035,0.91569298
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.91762895,0.98383372,0.91403631,0.98200768,0.00000000,0.00000000,0.00000000,0.83219955,0.76169693,0.79527648,0.90183617
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.93702178,0.98383372,0.92836359,0.98200768,0.79051383,1.00000000,0.88300221,0.96395185,0.92836359,0.94244352,0.92531302
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.93071594,0.98691301,0.93225559,0.98750000,0.00000000,0.00000000,0.00000000,0.82755226,0.77687966,0.80113915,0.91635823
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.82283696,0.98691301,0.85562966,0.98750000,0.69230769,0.47250000,0.56166419,0.85111017,0.85562966,0.83059220,0.79759531
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.91762895,0.97998460,0.92369413,0.98026536,0.00000000,0.00000000,0.00000000,0.82700422,0.76974511,0.79696713,0.90186388
