dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.83755997,0.98971899,0.83365922,0.98964036,0.00000000,0.00000000,0.00000000,0.83333333,0.69471601,0.75743939,0.81927539
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.85714286,0.98971899,0.86138268,0.98964036,0.45766590,1.00000000,0.62794349,0.90961098,0.86138268,0.86209664,0.84104883
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.83276217,0.98697738,0.82829958,0.98812500,0.00000000,0.00000000,0.00000000,0.83333333,0.69024965,0.75481467,0.81447830
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.85292345,0.98697738,0.85691632,0.98812500,0.45045045,1.00000000,0.62111801,0.90840841,0.85691632,0.85833434,0.83667237
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.83002056,0.99108979,0.83023045,0.99138268,0.00000000,0.00000000,0.00000000,0.83333333,0.69185871,0.75594256,0.81201349
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.85051236,0.99108979,0.85852537,0.99138268,0.44642857,1.00000000,0.61728395,0.90773810,0.85852537,0.85882322,0.83435665
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.83344757,0.99040439,0.82941690,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.69118075,0.75523938,0.81524142
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.85352622,0.99040439,0.85784742,0.99125000,0.45146727,1.00000000,0.62208398,0.90857788,0.85784742,0.85892005,0.83735808
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.81905415,0.98903358,0.81579958,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.67983298,0.74779723,0.80148337
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.84086799,0.98903358,0.84649965,0.98950768,0.43103448,1.00000000,0.60240964,0.90517241,0.84649965,0.84819883,0.82469422
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.72132410,0.98152425,0.68337640,0.98214036,0.00000000,0.00000000,0.00000000,0.83333333,0.56948033,0.66377709,0.70741039
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.78693349,0.98152425,0.73614700,0.98214036,0.52493438,1.00000000,0.68846816,0.92082240,0.73614700,0.77852178,0.76117082
