dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.96847156,0.98793694,0.96770531,0.98900000,0.00000000,0.00000000,0.00000000,0.83275750,0.80642109,0.81931816,0.96131373
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.95635925,0.98793694,0.95108776,0.98900000,0.79156960,0.86800000,0.82740938,0.95162526,0.95108776,0.95057782,0.94742013
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.94919169,0.98183218,0.94179260,0.98257961,0.00000000,0.00000000,0.00000000,0.82976596,0.78482716,0.80633979,0.93768113
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.95691583,0.98183218,0.94849383,0.98257961,0.86431954,0.98200000,0.91914777,0.96870869,0.94849383,0.95705935,0.94801658
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.94041570,0.98645112,0.93247835,0.98613268,0.00000000,0.00000000,0.00000000,0.83004160,0.77706529,0.80225531,0.92753508
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.94997057,0.98645112,0.94056529,0.98613268,0.84121958,0.98100000,0.90568028,0.96512461,0.94056529,0.95083229,0.93973500
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.94272517,0.98306390,0.93616760,0.98363268,0.00000000,0.00000000,0.00000000,0.83131263,0.78013966,0.80453087,0.93030791
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.94373161,0.98306390,0.93797300,0.98363268,0.84036553,0.94700000,0.89009064,0.95073338,0.93797300,0.94290080,0.93192123
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.95442648,0.99030023,0.94280028,0.99025768,0.00000000,0.00000000,0.00000000,0.83224610,0.78566690,0.80768271,0.94407855
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.96185992,0.99030023,0.95000023,0.99025768,0.87204824,0.98600000,0.92535859,0.97332996,0.95000023,0.95985652,0.95397630
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.94472222,0.98083333,0.93612500,0.97925000,0.00000000,0.00000000,0.00000000,0.83111600,0.78010417,0.80441064,0.93309713
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.94275406,0.98083333,0.93511164,0.97925000,0.72557187,0.93004484,0.81258178,0.94520254,0.93511164,0.93623414,0.93204516
