dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.96710075,0.98629198,0.96556913,0.98750000,0.00000000,0.00000000,0.00000000,0.83333333,0.80464095,0.81863834,0.95969343
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94333936,0.98629198,0.93297428,0.98750000,0.76237624,0.77000000,0.76616915,0.93892078,0.93297428,0.93517025,0.93168974
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96572995,0.98560658,0.96431913,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.80359928,0.81812724,0.95804375
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96142254,0.98560658,0.95859928,0.98687500,0.78813559,0.93000000,0.85321101,0.95745054,0.95859928,0.95674378,0.95369160
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.97669637,0.99108979,0.97628841,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.81357367,0.82332524,0.97119123
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.97588909,0.99108979,0.97524034,0.99187500,0.85087719,0.97000000,0.90654206,0.97197307,0.97524034,0.97285819,0.97101650
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96367375,0.98766278,0.96293645,0.98875000,0.00000000,0.00000000,0.00000000,0.83140655,0.80244704,0.81662592,0.95552325
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94394213,0.98766278,0.93578038,0.98875000,0.75829384,0.80000000,0.77858881,0.93794145,0.93578038,0.93626199,0.93235625
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96915696,0.98903358,0.96941341,0.99000000,0.00000000,0.00000000,0.00000000,0.83238095,0.80784451,0.81987405,0.96211699
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95720313,0.98903358,0.95284451,0.99000000,0.79816514,0.87000000,0.83253589,0.95184046,0.95284451,0.95185490,0.94834655
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95073133,0.97690531,0.94356145,0.97714036,0.00000000,0.00000000,0.00000000,0.82654446,0.78630121,0.80576873,0.93918492
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.96174220,0.97690531,0.95255121,0.97714036,0.87692308,0.99750000,0.93333333,0.97172931,0.95255121,0.96086031,0.95383557
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.95458045,0.97690531,0.95244413,0.98062500,0.00000000,0.00000000,0.00000000,0.83171434,0.79370345,0.81207859,0.94421370
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.94879341,0.97690531,0.94870345,0.98062500,0.86915888,0.93000000,0.89855072,0.95972332,0.94870345,0.95344357,0.93770433
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.95612009,0.98306390,0.95079609,0.98312500,0.00000000,0.00000000,0.00000000,0.83217593,0.79233007,0.81158415,0.94603553
