dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92501714,0.98313914,0.92276327,0.98265573,0.00000000,0.00000000,0.00000000,0.83162729,0.76896939,0.79879530,0.91098416
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.93092224,0.98313914,0.93130272,0.98265573,0.64777644,0.97400000,0.77774924,0.93656098,0.93130272,0.92696139,0.91924510
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.92132410,0.97428791,0.92261522,0.97217458,0.00000000,0.00000000,0.00000000,0.82570126,0.76884602,0.79594770,0.90569895
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.89370218,0.97428791,0.90284602,0.97217458,0.77086442,0.80400000,0.78411371,0.90268303,0.90284602,0.89682040,0.87260912
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.91824480,0.97444188,0.91880098,0.97287919,0.00000000,0.00000000,0.00000000,0.82171604,0.76566748,0.79228625,0.90192077
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.87451442,0.97444188,0.88775081,0.97287919,0.74898534,0.73250000,0.73895276,0.88548979,0.88775081,0.87815464,0.85055483
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.91839877,0.97367206,0.92076676,0.97232612,0.00000000,0.00000000,0.00000000,0.82078150,0.76730563,0.79259641,0.90215813
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.84379046,0.97367206,0.86755563,0.97232612,0.71395850,0.60150000,0.64817335,0.86227163,0.86755563,0.84967530,0.81767865
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.92748268,0.97890685,0.92723254,0.97481494,0.00000000,0.00000000,0.00000000,0.82546687,0.77269378,0.79797315,0.91241166
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90276633,0.97890685,0.90977712,0.97481494,0.79141172,0.82250000,0.80495290,0.90988810,0.90977712,0.90463111,0.88336261
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90250000,0.96722222,0.90337500,0.96300000,0.00000000,0.00000000,0.00000000,0.81719218,0.75281250,0.78311976,0.88489124
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88021648,0.96722222,0.87553298,0.96300000,0.56231866,0.73632287,0.63338534,0.87595243,0.87553298,0.86905679,0.85821749
