dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98286498,0.98286498,0.98240573,0.98240573,0.00000000,0.00000000,0.00000000,0.98358358,0.98240573,0.98290370,0.97842965
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.86437613,0.98286498,0.81867144,0.98240573,0.00000000,0.00000000,0.00000000,0.72617149,0.81867144,0.76849104,0.84408705
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98903358,0.98903358,0.98950768,0.98950768,0.00000000,0.00000000,0.00000000,0.98903645,0.98950768,0.98924683,0.98617852
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.86980108,0.98903358,0.82458973,0.98950768,0.00000000,0.00000000,0.00000000,0.71818237,0.82458973,0.76617551,0.85061313
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98560658,0.98560658,0.98490573,0.98490573,0.00000000,0.00000000,0.00000000,0.98454065,0.98490573,0.98467149,0.98187097
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.86678722,0.98560658,0.82075477,0.98490573,0.00000000,0.00000000,0.00000000,0.72312672,0.82075477,0.76835352,0.84665166
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98560658,0.98560658,0.98589036,0.98589036,0.00000000,0.00000000,0.00000000,0.98419696,0.98589036,0.98490411,0.98191860
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.86678722,0.98560658,0.82157530,0.98589036,0.00000000,0.00000000,0.00000000,0.71948747,0.82157530,0.76578302,0.84698943
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98834818,0.98834818,0.98839036,0.98839036,0.00000000,0.00000000,0.00000000,0.98575548,0.98839036,0.98695561,0.98535384
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.86919831,0.98834818,0.82365864,0.98839036,0.00000000,0.00000000,0.00000000,0.71787827,0.82365864,0.76447354,0.85035448
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97459584,0.97459584,0.97602304,0.97602304,0.00000000,0.00000000,0.00000000,0.96975953,0.97602304,0.97260869,0.96771466
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.74514420,0.97459584,0.81335254,0.97602304,0.00000000,0.00000000,0.00000000,0.62682578,0.81335254,0.69079551,0.73350602
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96997691,0.96997691,0.97339036,0.97339036,0.00000000,0.00000000,0.00000000,0.96757797,0.97339036,0.96997057,0.96205953
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74161271,0.96997691,0.81115864,0.97339036,0.00000000,0.00000000,0.00000000,0.61750228,0.81115864,0.68972907,0.72537922
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98229407,0.98229407,0.98276536,0.98276536,0.00000000,0.00000000,0.00000000,0.97685544,0.98276536,0.97965103,0.97750006
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75103002,0.98229407,0.81897114,0.98276536,0.00000000,0.00000000,0.00000000,0.63493802,0.81897114,0.70637779,0.73622231
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.97459584,0.97459584,0.97151536,0.97151536,0.00000000,0.00000000,0.00000000,0.96897595,0.97151536,0.97021741,0.96761618
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.74514420,0.97459584,0.80959614,0.97151536,0.00000000,0.00000000,0.00000000,0.62894969,0.80959614,0.70036642,0.72798382
