dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97477724,0.98793694,0.97266760,0.98811383,0.00000000,0.00000000,0.00000000,0.83185552,0.81055633,0.82099454,0.96880514
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96515973,0.98793694,0.95972300,0.98811383,0.83945153,0.89500000,0.86614030,0.96085078,0.95972300,0.95985430,0.95792005
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95858353,0.97721324,0.95473953,0.97785265,0.00000000,0.00000000,0.00000000,0.82926976,0.79561627,0.81198243,0.94883883
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.95373749,0.97721324,0.95194960,0.97785265,0.88323496,0.93800000,0.90952936,0.95657570,0.95194960,0.95361872,0.94370926
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.95765974,0.97859892,0.95299721,0.97845880,0.00000000,0.00000000,0.00000000,0.83000688,0.79416434,0.81158473,0.94776298
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.94467334,0.97859892,0.94458101,0.97845880,0.87497672,0.90250000,0.88609446,0.94805425,0.94458101,0.94421335,0.93327490
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.95842956,0.98075443,0.95409567,0.98137919,0.00000000,0.00000000,0.00000000,0.83052851,0.79507973,0.81231632,0.94865659
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.93961154,0.98075443,0.94149639,0.98137919,0.87400943,0.87850000,0.87504802,0.93893188,0.94149639,0.93843318,0.92686376
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96581986,0.98552733,0.96108031,0.98537919,0.00000000,0.00000000,0.00000000,0.83047393,0.80090026,0.81533411,0.95756277
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.96150677,0.98552733,0.95881692,0.98537919,0.90149333,0.94750000,0.92268461,0.96371694,0.95881692,0.95999847,0.95346583
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.96013889,0.97875000,0.95500000,0.97825000,0.00000000,0.00000000,0.00000000,0.82913904,0.79583333,0.81201653,0.95104892
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.93950692,0.97875000,0.93021300,0.97825000,0.76498060,0.80627803,0.77922008,0.92583362,0.93021300,0.92474187,0.92782047
