dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97875257,0.97875257,0.97816341,0.97816341,0.00000000,0.00000000,0.00000000,0.81756124,0.81513617,0.81620720,0.97328052
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.86678722,0.97875257,0.82346951,0.97816341,0.90909091,0.05000000,0.09478673,0.88143464,0.82346951,0.78493661,0.84593419
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98217958,0.98217958,0.98227304,0.98227304,0.00000000,0.00000000,0.00000000,0.81936768,0.81856087,0.81892631,0.97755846
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.86497890,0.98217958,0.82022754,0.98227304,0.40000000,0.01000000,0.01951220,0.78367023,0.82022754,0.76682581,0.84401326
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98423578,0.98423578,0.98316341,0.98316341,0.00000000,0.00000000,0.00000000,0.98519912,0.98316341,0.98413521,0.98011979
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.86618445,0.98423578,0.82013617,0.98316341,1.00000000,0.00500000,0.00995025,0.89390156,0.82013617,0.77185685,0.84555328
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98355038,0.98423578,0.98303073,0.98365573,0.00000000,0.00000000,0.00000000,0.81986814,0.81919227,0.81944761,0.97930784
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.86859554,0.98423578,0.82419227,0.98365573,0.85714286,0.03000000,0.05797101,0.86825511,0.82419227,0.77905249,0.84795979
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98492118,0.98629198,0.98477304,0.98602304,0.00000000,0.00000000,0.00000000,0.82316596,0.82064420,0.82179649,0.98105936
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.86919831,0.98629198,0.82481087,0.98602304,0.62500000,0.02500000,0.04807692,0.83913859,0.82481087,0.78211731,0.84940887
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97613549,0.97613549,0.97651536,0.97651536,0.00000000,0.00000000,0.00000000,0.96951619,0.97651536,0.97269594,0.96969233
