dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97326936,0.98766278,0.97513268,0.98825768,0.00000000,0.00000000,0.00000000,0.83057090,0.81261057,0.82141148,0.96701561
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95539482,0.98766278,0.95011057,0.98825768,0.82089552,0.82500000,0.82294264,0.94128621,0.95011057,0.94446417,0.94634767
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96298835,0.98766278,0.96526536,0.98825768,0.00000000,0.00000000,0.00000000,0.83333333,0.80438780,0.81853893,0.95483340
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96624473,0.98766278,0.96938780,0.98825768,0.78571429,0.99000000,0.87610619,0.96281520,0.96938780,0.96383245,0.95992250
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96093215,0.98971899,0.96289804,0.99013268,0.00000000,0.00000000,0.00000000,0.83239171,0.80241504,0.81690441,0.95245657
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.95961423,0.98971899,0.96074837,0.99013268,0.77235772,0.95000000,0.85201794,0.95357469,0.96074837,0.95514106,0.95185933
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96847156,0.99040439,0.97026536,0.99125000,0.00000000,0.00000000,0.00000000,0.82786885,0.80855447,0.81795808,0.96117119
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96624473,0.99040439,0.96688780,0.99125000,0.82608696,0.95000000,0.88372093,0.95719757,0.96688780,0.96086363,0.95953641
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96367375,0.98903358,0.96244413,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.80203678,0.81711516,0.95573277
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95660036,0.98903358,0.95287011,0.99000000,0.77350427,0.90500000,0.83410138,0.95200721,0.95287011,0.95107645,0.94792222
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95150115,0.98229407,0.95602304,0.98375000,0.00000000,0.00000000,0.00000000,0.83225458,0.79668587,0.81396387,0.94072709
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.94643908,0.98229407,0.95168587,0.98375000,0.85912240,0.93000000,0.89315726,0.95274993,0.95168587,0.95148128,0.93492524
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96920708,0.97228637,0.97227304,0.97575768,0.00000000,0.00000000,0.00000000,0.82765780,0.81022754,0.81865027,0.96171398
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.81636257,0.97228637,0.86356087,0.97575768,0.79012346,0.32000000,0.45551601,0.83528533,0.86356087,0.81489483,0.79811236
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.96920708,0.98845266,0.97263268,0.98825768,0.00000000,0.00000000,0.00000000,0.83186111,0.81052723,0.82101006,0.96175881
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.92583873,0.98845266,0.94136057,0.98825768,0.89204545,0.78500000,0.83510638,0.91582016,0.94136057,0.92331983,0.91146241
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.96227868,0.98460354,0.96240573,0.98263268,0.00000000,0.00000000,0.00000000,0.83117220,0.80200477,0.81630938,0.95331020
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.96233078,0.98460354,0.96242144,0.98263268,0.89327146,0.96250000,0.92659446,0.96642667,0.96242144,0.96399250,0.95419656
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.95996921,0.99230177,0.96119413,0.99187500,0.00000000,0.00000000,0.00000000,0.83174258,0.80099511,0.81602560,0.95063495
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.87580930,0.99230177,0.90141178,0.99187500,0.82817869,0.60250000,0.69753980,0.89073176,0.90141178,0.88813706,0.85376012
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97459584,0.98460354,0.97401536,0.98562500,0.00000000,0.00000000,0.00000000,0.83171860,0.81167947,0.82155826,0.96824832
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.92642731,0.98460354,0.94001280,0.98562500,0.90855457,0.77000000,0.83355886,0.92976534,0.94001280,0.93297110,0.91150987
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.97151655,0.97921478,0.97625000,0.98250000,0.00000000,0.00000000,0.00000000,0.82482559,0.81354167,0.81892362,0.96443155
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.95173632,0.97921478,0.96145833,0.98250000,0.92689295,0.88750000,0.90676884,0.94347438,0.96145833,0.95004188,0.94178084
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.96381832,0.99538106,0.96628841,0.99437500,0.00000000,0.00000000,0.00000000,0.83132610,0.80524034,0.81797509,0.95531412
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.95585639,0.99538106,0.96024034,0.99437500,0.89208633,0.93000000,0.91064871,0.95581519,0.96024034,0.95697741,0.94638467
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.96073903,0.98460354,0.96267109,0.98450768,0.00000000,0.00000000,0.00000000,0.82964579,0.80222591,0.81564759,0.95148068
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.84873455,0.98460354,0.88305924,0.98450768,0.80497925,0.48500000,0.60530421,0.85920003,0.88305924,0.85087472,0.82676117
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.96073903,0.99153195,0.95627095,0.99013268,0.00000000,0.00000000,0.00000000,0.82964930,0.79689246,0.81266746,0.95140538
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.92937022,0.99153195,0.93480912,0.99013268,0.87566138,0.82750000,0.85089974,0.92602897,0.93480912,0.92576226,0.91504150
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.96612779,0.98460354,0.96950768,0.98450768,0.00000000,0.00000000,0.00000000,0.82950933,0.80792307,0.81847977,0.95799308
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.82342554,0.98460354,0.86792307,0.98450768,0.78260870,0.36000000,0.49315068,0.85729301,0.86792307,0.82738413,0.80792546
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.96689761,0.97690531,0.97003841,0.98013268,0.00000000,0.00000000,0.00000000,0.82867952,0.80836534,0.81819168,0.95890832
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.74102413,0.97690531,0.80961534,0.98013268,0.07500000,0.00750000,0.01363636,0.72500535,0.80961534,0.72958163,0.73912006
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.97767513,0.98691301,0.97950768,0.98700768,0.00000000,0.00000000,0.00000000,0.82527925,0.81625640,0.82066200,0.97191004
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.75161860,0.98691301,0.81917307,0.98700768,0.25925926,0.01750000,0.03278689,0.75411364,0.81917307,0.73679407,0.75347366
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.96535797,0.98614319,0.96776536,0.98513268,0.00000000,0.00000000,0.00000000,0.82881036,0.80647114,0.81738463,0.95702704
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.74220129,0.98614319,0.80938780,0.98513268,0.14893617,0.01750000,0.03131991,0.73605923,0.80938780,0.73238824,0.73845514
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.97151655,0.98306390,0.97303073,0.98339036,0.00000000,0.00000000,0.00000000,0.82706906,0.81085894,0.81881715,0.96433948
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.75044144,0.98306390,0.81627561,0.98339036,0.30952381,0.03250000,0.05882353,0.76387987,0.81627561,0.73950602,0.74897576
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.97305620,0.99384142,0.96949022,0.99388268,0.00000000,0.00000000,0.00000000,0.83175935,0.80790852,0.81947957,0.96637232
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.97292525,0.99384142,0.96999185,0.99388268,0.92180095,0.97250000,0.94647202,0.97467636,0.96999185,0.97172160,0.96706668
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.98152425,0.99230177,0.98240573,0.99263268,0.00000000,0.00000000,0.00000000,0.83126294,0.81867144,0.82486978,0.97680677
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.94173043,0.99230177,0.95408811,0.99263268,0.93659942,0.81250000,0.87014726,0.92716109,0.95408811,0.93713214,0.93030453
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.96612779,0.98922248,0.97062500,0.98937500,0.00000000,0.00000000,0.00000000,0.83043686,0.80885417,0.81938231,0.95806742
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.85108888,0.98922248,0.88843750,0.98937500,0.82327586,0.47750000,0.60443038,0.84933681,0.88843750,0.84668273,0.83087513
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.95996921,0.98922248,0.96119413,0.98937500,0.00000000,0.00000000,0.00000000,0.82335329,0.80099511,0.81176913,0.95033842
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.95055915,0.98922248,0.95432845,0.98937500,0.89756098,0.92000000,0.90864198,0.94744039,0.95432845,0.94888726,0.94010539
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.98691301,0.99307159,0.98727304,0.99276536,0.00000000,0.00000000,0.00000000,0.83229167,0.82272754,0.82747361,0.98348771
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.94585050,0.99307159,0.95814420,0.99276536,0.95307918,0.81250000,0.87719298,0.93070880,0.95814420,0.94070585,0.93547148
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.95763889,0.98125000,0.95812500,0.97937500,0.00000000,0.00000000,0.00000000,0.83119658,0.79843750,0.81437023,0.94830808
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.96331930,0.98125000,0.96510417,0.97937500,0.79078014,1.00000000,0.88316832,0.96299327,0.96510417,0.96156495,0.95656037
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.95000000,0.98680556,0.95312500,0.98625000,0.00000000,0.00000000,0.00000000,0.82719836,0.79427083,0.81017823,0.93920236
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.95429946,0.98680556,0.95794796,0.98625000,0.76842105,0.98206278,0.86220472,0.95142347,0.95794796,0.95189709,0.94582850
BoT_IoT,RFF_LIM_NFST,theft,known_only,44,0.96527778,0.99305556,0.96687500,0.99187500,0.00000000,0.00000000,0.00000000,0.83227848,0.80572917,0.81871723,0.95738669
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,44,0.96392063,0.99305556,0.96492199,0.99187500,0.81297710,0.95515695,0.87835052,0.95791682,0.96492199,0.96009160,0.95681965
BoT_IoT,RFF_LIM_NFST,theft,known_only,45,0.96180556,0.98055556,0.96437500,0.98125000,0.00000000,0.00000000,0.00000000,0.82868392,0.80364583,0.81582728,0.95312368
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,45,0.96572459,0.98055556,0.96881773,0.98125000,0.81549815,0.99103139,0.89473684,0.96261794,0.96881773,0.96394045,0.95918715
BoT_IoT,RFF_LIM_NFST,theft,known_only,46,0.96180556,0.98055556,0.96062500,0.98000000,0.00000000,0.00000000,0.00000000,0.82958313,0.80052083,0.81474928,0.95291946
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,46,0.96392063,0.98055556,0.96345058,0.98000000,0.81954887,0.97757848,0.89161554,0.96292956,0.96345058,0.96179771,0.95678385
