dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97381768,0.98752570,0.97356494,0.98832961,0.00000000,0.00000000,0.00000000,0.83220325,0.81130412,0.82155849,0.96771762
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.95226040,0.98752570,0.94380412,0.98832961,0.80972884,0.79500000,0.80138300,0.94723093,0.94380412,0.94482137,0.94244156
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95889145,0.98106236,0.95381494,0.98132961,0.00000000,0.00000000,0.00000000,0.83097998,0.79484579,0.81219276,0.94924107
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.96233078,0.98106236,0.95709579,0.98132961,0.88718669,0.97350000,0.92804185,0.96956027,0.95709579,0.96224014,0.95439526
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.95411855,0.98752887,0.94940223,0.98707961,0.00000000,0.00000000,0.00000000,0.83182380,0.79116853,0.81071338,0.94370263
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.95314891,0.98752887,0.94950186,0.98707961,0.86743469,0.95000000,0.90656241,0.96572283,0.94950186,0.95653723,0.94310387
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.95288684,0.98152425,0.94800070,0.98175768,0.00000000,0.00000000,0.00000000,0.83105266,0.79000058,0.80974650,0.94214959
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.93925839,0.98152425,0.93916725,0.98175768,0.86052768,0.89500000,0.87695890,0.93826058,0.93916725,0.93722976,0.92629971
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96412625,0.99060816,0.95544763,0.99013268,0.00000000,0.00000000,0.00000000,0.83182656,0.79620635,0.81318265,0.95557196
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.96091819,0.99060816,0.95462302,0.99013268,0.89472598,0.95050000,0.92117752,0.96590984,0.95462302,0.95894726,0.95258064
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95277778,0.97958333,0.94687500,0.97762500,0.00000000,0.00000000,0.00000000,0.83056240,0.78906250,0.80901556,0.94248531
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.93998797,0.97958333,0.93196235,0.97762500,0.72991270,0.85739910,0.77718006,0.94004195,0.93196235,0.93171839,0.92898368
