dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97258396,0.98492118,0.97106145,0.98526536,0.00000000,0.00000000,0.00000000,0.83333333,0.80921788,0.82100414,0.96626355
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94273659,0.98492118,0.93005121,0.98526536,0.78378378,0.72500000,0.75324675,0.93872906,0.93005121,0.93329241,0.93106254
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.97189856,0.98560658,0.97142109,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.80951757,0.82119116,0.96543382
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.94936709,0.98560658,0.94035091,0.98687500,0.79292929,0.78500000,0.78894472,0.94495280,0.94035091,0.94207722,0.93890862
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.97806717,0.98971899,0.97901536,0.99013268,0.00000000,0.00000000,0.00000000,0.83333333,0.81584614,0.82447281,0.97287460
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.97408077,0.98971899,0.97334614,0.99013268,0.85520362,0.94500000,0.89786223,0.96848165,0.97334614,0.97045855,0.96875682
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96984236,0.98834818,0.96905377,0.98937500,0.00000000,0.00000000,0.00000000,0.83047619,0.80754481,0.81880045,0.96286023
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94092827,0.98834818,0.92921148,0.98937500,0.78074866,0.73000000,0.75452196,0.93521396,0.92921148,0.93125238,0.92885322
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.97669637,0.98903358,0.97727304,0.99000000,0.00000000,0.00000000,0.00000000,0.83054004,0.81439420,0.82232385,0.97115592
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95418927,0.98903358,0.94606087,0.99000000,0.83597884,0.79000000,0.81233933,0.94877719,0.94606087,0.94702628,0.94462658
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95919938,0.97998460,0.95378841,0.97964036,0.00000000,0.00000000,0.00000000,0.83279915,0.79482367,0.81314147,0.94968760
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.96586227,0.97998460,0.95940701,0.97964036,0.88366890,0.98750000,0.93270366,0.97542180,0.95940701,0.96629731,0.95874384
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.95996921,0.97074673,0.95842877,0.97325768,0.00000000,0.00000000,0.00000000,0.82963785,0.79869064,0.81366607,0.95043266
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.94938199,0.97074673,0.95119064,0.97325768,0.89051095,0.91500000,0.90258940,0.94856426,0.95119064,0.94911023,0.93841790
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.96458814,0.98537336,0.96164804,0.98625000,0.00000000,0.00000000,0.00000000,0.83134019,0.80137337,0.81590540,0.95609496
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.96703943,0.98537336,0.96387337,0.98625000,0.90069284,0.97500000,0.93637455,0.97282055,0.96387337,0.96781533,0.95994953
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95535027,0.98306390,0.95003841,0.98187500,0.00000000,0.00000000,0.00000000,0.83058721,0.79169867,0.81035929,0.94501923
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.96527369,0.98306390,0.95794867,0.98187500,0.88079470,0.99750000,0.93552169,0.97686057,0.95794867,0.96602041,0.95818420
