dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.87662783,0.98245374,0.87568436,0.98193226,0.00000000,0.00000000,0.00000000,0.83241462,0.72973696,0.77745246,0.85889718
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.89089813,0.98245374,0.89557030,0.98193226,0.52777584,0.99500000,0.68956747,0.91980423,0.89557030,0.89212181,0.87614781
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86574288,0.97428791,0.86951047,0.97185265,0.00000000,0.00000000,0.00000000,0.82796488,0.72459206,0.77226301,0.84619576
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.86862861,0.97428791,0.87092540,0.97185265,0.67240015,0.87800000,0.75958229,0.90637049,0.87092540,0.87944289,0.84426243
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.86435720,0.97505774,0.86517737,0.97325419,0.00000000,0.00000000,0.00000000,0.82758957,0.72098115,0.77010240,0.84455227
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.85768099,0.97505774,0.86031448,0.97325419,0.65978114,0.83600000,0.73535460,0.89300968,0.86031448,0.86772990,0.83034129
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87097768,0.97413395,0.87249162,0.97264804,0.00000000,0.00000000,0.00000000,0.82441620,0.72707635,0.77196199,0.85105005
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.83978811,0.97413395,0.85015968,0.97264804,0.64586293,0.73850000,0.68717463,0.87196209,0.85015968,0.84954695,0.80906955
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.87051578,0.97782910,0.86946159,0.97316341,0.00000000,0.00000000,0.00000000,0.82923033,0.72455133,0.77300019,0.85100460
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.87839906,0.97782910,0.87521799,0.97316341,0.68746699,0.90400000,0.78033401,0.91187488,0.87521799,0.88626654,0.85517910
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.86138889,0.96694444,0.86287500,0.96237500,0.00000000,0.00000000,0.00000000,0.82102558,0.71906250,0.76608497,0.84176891
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.84942874,0.96694444,0.84776205,0.96237500,0.47354703,0.77219731,0.58476890,0.86684713,0.84776205,0.84601432,0.82442207
