dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98725154,0.98793694,0.98817807,0.98900000,0.00000000,0.00000000,0.00000000,0.82655892,0.82348173,0.82493947,0.98401603
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88450874,0.98793694,0.84598173,0.98900000,0.69405936,0.13500000,0.21793206,0.85398547,0.84598173,0.81359373,0.86596682
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.98075443,0.98183218,0.98157961,0.98257961,0.00000000,0.00000000,0.00000000,0.82352077,0.81798301,0.82066481,0.97562049
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75079459,0.98183218,0.81864967,0.98257961,0.10303030,0.00400000,0.00768810,0.67675006,0.81864967,0.72035349,0.73669058
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98306390,0.98645112,0.98328422,0.98613268,0.00000000,0.00000000,0.00000000,0.82345511,0.81940351,0.82135040,0.97853629
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.84508534,0.98645112,0.88557018,0.98613268,0.87468013,0.39700000,0.51168487,0.85271472,0.88557018,0.83914577,0.82821701
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98260200,0.98306390,0.98315922,0.98363268,0.00000000,0.00000000,0.00000000,0.82172490,0.81929935,0.82040309,0.97792569
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.76197763,0.98306390,0.82688268,0.98363268,0.56145658,0.04550000,0.08262370,0.79811903,0.82688268,0.74475150,0.76410245
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.99030023,0.99030023,0.99025768,0.99025768,0.00000000,0.00000000,0.00000000,0.85895272,0.85830249,0.85855062,0.98767919
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.78269570,0.99030023,0.84329807,0.99025768,0.85576605,0.10850000,0.16906586,0.82822046,0.84329807,0.75727566,0.77859757
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98027778,0.98083333,0.97862500,0.97925000,0.00000000,0.00000000,0.00000000,0.81959063,0.81552083,0.81745940,0.97516670
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.85399880,0.98083333,0.82194834,0.97925000,0.50809524,0.03856502,0.07070503,0.81658378,0.82194834,0.77933311,0.83390133
