dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98492118,0.98629198,0.98526536,0.98750000,0.00000000,0.00000000,0.00000000,0.82604106,0.82105447,0.82346748,0.98110820
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.89632309,0.98629198,0.86272114,0.98750000,0.81967213,0.25000000,0.38314176,0.89344104,0.86272114,0.85086721,0.87843094
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98492118,0.98560658,0.98625000,0.98687500,0.00000000,0.00000000,0.00000000,0.82498732,0.82187500,0.82334788,0.98108697
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.89572031,0.98560658,0.86270833,0.98687500,0.84482759,0.24500000,0.37984496,0.88434957,0.86270833,0.84320802,0.87793341
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99108979,0.99108979,0.99187500,0.99187500,0.00000000,0.00000000,0.00000000,0.82928559,0.82656250,0.82790349,0.98879624
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.88185654,0.99108979,0.84072917,0.99187500,0.73913043,0.08500000,0.15246637,0.85568468,0.84072917,0.80087949,0.86356285
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98766278,0.98766278,0.98875000,0.98875000,0.00000000,0.00000000,0.00000000,0.82550652,0.82395833,0.82459576,0.98455451
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.87582881,0.98766278,0.83395833,0.98875000,0.60000000,0.06000000,0.10909091,0.82682578,0.83395833,0.78770989,0.85694965
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98766278,0.98903358,0.98875000,0.99000000,0.00000000,0.00000000,0.00000000,0.82697411,0.82395833,0.82538271,0.98453421
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.87281495,0.98903358,0.82979167,0.99000000,0.46666667,0.03500000,0.06511628,0.80962628,0.82979167,0.78530403,0.85295726
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97690531,0.97690531,0.97714036,0.97714036,0.00000000,0.00000000,0.00000000,0.82183809,0.81428364,0.81800766,0.97070878
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75044144,0.97690531,0.81678364,0.97714036,0.33333333,0.01500000,0.02870813,0.71136967,0.81678364,0.72359132,0.73466435
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97690531,0.97690531,0.98062500,0.98062500,0.00000000,0.00000000,0.00000000,0.82405846,0.81718750,0.82041905,0.97093084
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74690995,0.97690531,0.81718750,0.98062500,0.00000000,0.00000000,0.00000000,0.65774675,0.81718750,0.71434268,0.73208045
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98229407,0.98306390,0.98250000,0.98312500,0.00000000,0.00000000,0.00000000,0.82311229,0.81875000,0.82089741,0.97751931
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75220718,0.98306390,0.81958333,0.98312500,0.18181818,0.00500000,0.00973236,0.67562354,0.81958333,0.71414014,0.73722045
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.98383372,0.98383372,0.98200768,0.98200768,0.00000000,0.00000000,0.00000000,0.82249398,0.81833973,0.82032280,0.97940805
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.75220718,0.98383372,0.81833973,0.98200768,0.00000000,0.00000000,0.00000000,0.67677146,0.81833973,0.73295694,0.73945272
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98383372,0.98845266,0.98562500,0.99000000,0.00000000,0.00000000,0.00000000,0.82610100,0.82135417,0.82367712,0.97953548
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75220718,0.98845266,0.82135417,0.99000000,0.00000000,0.00000000,0.00000000,0.66223888,0.82135417,0.71673638,0.74003495
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97921478,0.97921478,0.97964036,0.97964036,0.00000000,0.00000000,0.00000000,0.81805872,0.81636697,0.81713070,0.97360727
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.87168923,0.97921478,0.90345030,0.97964036,0.96759259,0.52250000,0.67857143,0.88541877,0.90345030,0.87768557,0.85400971
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.97690531,0.99153195,0.98062500,0.99250000,0.00000000,0.00000000,0.00000000,0.82426353,0.81718750,0.82053779,0.97097934
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.92937022,0.99153195,0.94635417,0.99250000,0.93939394,0.77500000,0.84931507,0.92791816,0.94635417,0.93371960,0.91559578
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98845266,0.98999230,0.98812500,0.98937500,0.00000000,0.00000000,0.00000000,0.82782913,0.82343750,0.82559549,0.98533046
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.76044732,0.98999230,0.82677083,0.98937500,0.53333333,0.02000000,0.03855422,0.72301118,0.82677083,0.71784095,0.74332713
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98614319,0.98691301,0.98450768,0.98562500,0.00000000,0.00000000,0.00000000,0.82409302,0.82042307,0.82220542,0.98234006
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.83755150,0.98691301,0.87958973,0.98562500,0.98611111,0.35500000,0.52205882,0.87732214,0.87958973,0.84604539,0.81975978
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.98460354,0.98460354,0.98352304,0.98352304,0.00000000,0.00000000,0.00000000,0.82303118,0.81960254,0.82128262,0.98042432
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.82636845,0.98460354,0.87168587,0.98352304,0.94696970,0.31250000,0.46992481,0.84990335,0.87168587,0.82043736,0.80839267
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.98229407,0.98229407,0.98102304,0.98102304,0.00000000,0.00000000,0.00000000,0.82246660,0.81751920,0.81995780,0.97745227
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.75397293,0.98229407,0.81960254,0.98102304,0.50000000,0.01250000,0.02439024,0.78355923,0.81960254,0.73195951,0.75663943
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.97690531,0.97690531,0.98062500,0.98062500,0.00000000,0.00000000,0.00000000,0.81635306,0.81718750,0.81644627,0.97084961
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.75279576,0.97690531,0.82135417,0.98062500,0.58823529,0.02500000,0.04796163,0.79930188,0.82135417,0.73499119,0.75528851
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.98460354,0.98460354,0.98450768,0.98450768,0.00000000,0.00000000,0.00000000,0.82121977,0.82042307,0.82078807,0.98041444
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.77104179,0.98460354,0.83333973,0.98450768,0.88571429,0.07750000,0.14252874,0.85640473,0.83333973,0.75791141,0.77305572
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.98922248,0.99076212,0.98812500,0.98937500,0.00000000,0.00000000,0.00000000,0.82657226,0.82343750,0.82495695,0.98627699
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.75632725,0.99076212,0.82343750,0.98937500,0.00000000,0.00000000,0.00000000,0.70158978,0.82343750,0.73150976,0.76087451
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.97998460,0.98075443,0.98151536,0.98263268,0.00000000,0.00000000,0.00000000,0.82201283,0.81792947,0.81986635,0.97463512
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.77575044,0.98075443,0.83667947,0.98263268,0.83333333,0.11250000,0.19823789,0.84973952,0.83667947,0.76738562,0.77465410
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.99076212,0.99076212,0.99026536,0.99026536,0.00000000,0.00000000,0.00000000,0.82613426,0.82522114,0.82565432,0.98823639
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.85050029,0.99076212,0.89105447,0.99026536,0.98136646,0.39500000,0.56327986,0.87236608,0.89105447,0.84463395,0.83800522
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.98922248,0.98922248,0.99013268,0.99013268,0.00000000,0.00000000,0.00000000,0.82764407,0.82511057,0.82634476,0.98631034
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.76633314,0.98922248,0.83219390,0.99013268,0.73913043,0.04250000,0.08037825,0.81686358,0.83219390,0.74498950,0.76591944
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.99153195,0.99153195,0.99125000,0.99125000,0.00000000,0.00000000,0.00000000,0.82940166,0.82604167,0.82769201,0.98924512
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.76397881,0.99153195,0.83020833,0.99125000,0.62500000,0.02500000,0.04807692,0.78700692,0.83020833,0.73467516,0.76253136
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.98614319,0.98614319,0.98700768,0.98700768,0.00000000,0.00000000,0.00000000,0.81783583,0.82250640,0.81988013,0.98245884
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.76221307,0.98614319,0.82833973,0.98700768,0.93333333,0.03500000,0.06746988,0.80675320,0.82833973,0.71597303,0.75529494
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.99384142,0.99384142,0.99263268,0.99263268,0.00000000,0.00000000,0.00000000,0.99374777,0.99263268,0.99318191,0.99214525
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.77045321,0.99384142,0.83469390,0.99263268,1.00000000,0.04500000,0.08612440,0.85811252,0.83469390,0.74610669,0.77123688
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.98125000,0.98125000,0.98125000,0.98125000,0.00000000,0.00000000,0.00000000,0.82146793,0.81770833,0.81950133,0.97641001
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.85868912,0.98125000,0.82891910,0.98125000,0.60000000,0.06726457,0.12096774,0.83720490,0.82891910,0.79238832,0.83854433
