dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.96572995,0.98903358,0.96776536,0.98901536,0.00000000,0.00000000,0.00000000,0.82626791,0.80647114,0.81609061,0.95778520
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93911995,0.98903358,0.93063780,0.98901536,0.78421053,0.74500000,0.76410256,0.92190531,0.93063780,0.92368047,0.92706388
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96230295,0.98766278,0.96316341,0.98727304,0.00000000,0.00000000,0.00000000,0.83143939,0.80263617,0.81670210,0.95393761
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95177818,0.98766278,0.94846951,0.98727304,0.76754386,0.87500000,0.81775701,0.94443256,0.94846951,0.94564045,0.94191728
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96710075,0.98834818,0.96950768,0.98888268,0.00000000,0.00000000,0.00000000,0.83229167,0.80792307,0.81977512,0.95969195
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.95840868,0.98834818,0.95708973,0.98888268,0.79555556,0.89500000,0.84235294,0.94946418,0.95708973,0.95227592,0.95002458
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96367375,0.98697738,0.96589036,0.98763268,0.00000000,0.00000000,0.00000000,0.83135858,0.80490864,0.81776402,0.95557241
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.95539482,0.98697738,0.95407530,0.98763268,0.78165939,0.89500000,0.83449883,0.94571550,0.95407530,0.94864484,0.94647304
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96367375,0.98766278,0.96490573,0.98776536,0.00000000,0.00000000,0.00000000,0.83224714,0.80408811,0.81784825,0.95555587
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.96564195,0.98766278,0.96742144,0.98776536,0.79352227,0.98000000,0.87695749,0.96197658,0.96742144,0.96276533,0.95906354
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.94149346,0.97690531,0.94865573,0.97740573,0.00000000,0.00000000,0.00000000,0.82054430,0.79054644,0.80479726,0.92855455
