dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.85949280,0.98889650,0.85877933,0.98938268,0.00000000,0.00000000,0.00000000,0.83333333,0.71564944,0.76950152,0.84170465
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.87643159,0.98889650,0.88231611,0.98938268,0.49520611,1.00000000,0.66197557,0.91586768,0.88231611,0.87983078,0.86135880
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86143187,0.98137028,0.86448813,0.98171997,0.00000000,0.00000000,0.00000000,0.83204868,0.72040677,0.77169725,0.84232923
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88145968,0.98137028,0.87815677,0.98171997,0.68053215,0.94650000,0.79102810,0.92606756,0.87815677,0.89351322,0.86046735
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.87036182,0.98383372,0.87156006,0.98471229,0.00000000,0.00000000,0.00000000,0.83180174,0.72630005,0.77497630,0.85127882
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89487934,0.98383372,0.88871671,0.98471229,0.70027062,0.97450000,0.81432817,0.94038237,0.88871671,0.90621812,0.87677762
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87359507,0.98290993,0.87447696,0.98314804,0.00000000,0.00000000,0.00000000,0.83098076,0.72873080,0.77589730,0.85456739
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.88016480,0.98290993,0.87898080,0.98314804,0.68954006,0.90150000,0.77995479,0.91647846,0.87898080,0.88927870,0.85778393
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.86266359,0.99199384,0.86444693,0.99206075,0.00000000,0.00000000,0.00000000,0.83245870,0.72037244,0.77172430,0.84339911
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.89276045,0.99199384,0.88545577,0.99206075,0.69066220,0.99050000,0.81377154,0.94362845,0.88545577,0.90542733,0.87497540
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.86986111,0.98611111,0.87500000,0.98537500,0.00000000,0.00000000,0.00000000,0.83223207,0.72916667,0.77699683,0.85187723
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88719182,0.98611111,0.89568386,0.98537500,0.54494602,0.99910314,0.70508775,0.92282965,0.89568386,0.89440785,0.87229930
