dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.96641535,0.98971899,0.96395950,0.98964036,0.00000000,0.00000000,0.00000000,0.83333333,0.80329958,0.81798059,0.95883048
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94032550,0.98971899,0.92829958,0.98964036,0.75376884,0.75000000,0.75187970,0.93550281,0.92829958,0.93109262,0.92801817
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.95750514,0.98903358,0.95435754,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.79529795,0.81378120,0.94828509
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.94635322,0.98903358,0.93946462,0.99000000,0.73617021,0.86500000,0.79540230,0.94256426,0.93946462,0.93956789,0.93549451
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96778615,0.99108979,0.96570182,0.99138268,0.00000000,0.00000000,0.00000000,0.83235294,0.80475151,0.81827932,0.96043224
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.97046414,0.99108979,0.96975151,0.99138268,0.81147541,0.99000000,0.89189189,0.96654063,0.96975151,0.96640800,0.96477064
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96504455,0.98766278,0.96418645,0.98875000,0.00000000,0.00000000,0.00000000,0.83333333,0.80348871,0.81810345,0.95721767
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.95780591,0.98766278,0.95432204,0.98875000,0.78017241,0.90500000,0.83796296,0.95280082,0.95432204,0.95251519,0.94926096
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96504455,0.98903358,0.96566341,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.80471951,0.81872570,0.95724921
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.94876432,0.98903358,0.94305284,0.98950768,0.76497696,0.83000000,0.79616307,0.94326967,0.94305284,0.94266919,0.93812921
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.93841416,0.97459584,0.93056913,0.97589036,0.00000000,0.00000000,0.00000000,0.82973621,0.77547428,0.80143026,0.92514833
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.95173632,0.97459584,0.94130761,0.97589036,0.83789474,0.99500000,0.90971429,0.96744735,0.94130761,0.95212413,0.94214388
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.95073133,0.97228637,0.94967877,0.97513268,0.00000000,0.00000000,0.00000000,0.83005909,0.79139898,0.81012032,0.93962918
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.95938788,0.97228637,0.95598231,0.97513268,0.86813187,0.98750000,0.92397661,0.97028287,0.95598231,0.96196114,0.95105719
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.95458045,0.98768283,0.94606145,0.98812500,0.00000000,0.00000000,0.00000000,0.83182145,0.78838454,0.80914749,0.94411634
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.96233078,0.98768283,0.95296788,0.98812500,0.87389381,0.98750000,0.92723005,0.97251409,0.95296788,0.96133952,0.95450665
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.93533487,0.98691301,0.92356145,0.98450768,0.00000000,0.00000000,0.00000000,0.83280085,0.76963454,0.79898577,0.92178951
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.95055915,0.98691301,0.93630121,0.98450768,0.82815735,1.00000000,0.90600227,0.97082708,0.93630121,0.94998615,0.94100508
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.92763664,0.98537336,0.91159218,0.98651536,0.00000000,0.00000000,0.00000000,0.82878689,0.75966015,0.79156656,0.91266177
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.93643320,0.98537336,0.92049348,0.98651536,0.81092437,0.96500000,0.88127854,0.94755725,0.92049348,0.93176518,0.92333742
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.92378753,0.98383372,0.91238827,0.98401536,0.00000000,0.00000000,0.00000000,0.83333333,0.76032356,0.79461511,0.90868309
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.93172454,0.98383372,0.91990689,0.98401536,0.79460581,0.95750000,0.86848073,0.94687875,0.91990689,0.93106435,0.91780526
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.94072363,0.97305620,0.93967877,0.97700768,0.00000000,0.00000000,0.00000000,0.82943825,0.78306564,0.80549674,0.92790979
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.94526192,0.97305620,0.94306564,0.97700768,0.84026258,0.96000000,0.89614936,0.95364580,0.94306564,0.94710125,0.93385543
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.94457275,0.98845266,0.93958450,0.98875000,0.00000000,0.00000000,0.00000000,0.83119771,0.78298708,0.80624689,0.93241649
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.95467922,0.98845266,0.94757041,0.98875000,0.84946237,0.98750000,0.91329480,0.96953805,0.94757041,0.95691339,0.94546959
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.92378753,0.98383372,0.91132682,0.98388268,0.00000000,0.00000000,0.00000000,0.83278328,0.75943901,0.79330355,0.90864186
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.94055327,0.98383372,0.92527235,0.98388268,0.80241935,0.99500000,0.88839286,0.96539750,0.92527235,0.94085073,0.92919572
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.93687452,0.98383372,0.92395950,0.98464036,0.00000000,0.00000000,0.00000000,0.82860988,0.76996625,0.79745170,0.92308349
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.94997057,0.98383372,0.93538291,0.98464036,0.83932347,0.99250000,0.90950745,0.96688941,0.93538291,0.94825902,0.93989829
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.93379523,0.98306390,0.92172486,0.98375000,0.00000000,0.00000000,0.00000000,0.83333333,0.76810405,0.79869712,0.92003901
