dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98094585,0.98944483,0.98026187,0.99027654,0.00000000,0.00000000,0.00000000,0.83180112,0.81688489,0.82423620,0.97634259
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.94936709,0.98944483,0.93671823,0.99027654,0.84698867,0.71900000,0.77750130,0.94663774,0.93671823,0.94006974,0.93914086
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.96581986,0.98568129,0.96350419,0.98585615,0.00000000,0.00000000,0.00000000,0.83181924,0.80292016,0.81696246,0.95763387
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.94867569,0.98568129,0.95175349,0.98585615,0.89492922,0.89300000,0.89216626,0.94838288,0.95175349,0.94834899,0.93800493
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.96581986,0.98737490,0.96402304,0.98755307,0.00000000,0.00000000,0.00000000,0.83215411,0.80335254,0.81735692,0.95769240
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.95244261,0.98737490,0.95485254,0.98755307,0.89376425,0.90900000,0.90086368,0.95927379,0.95485254,0.95656586,0.94210723
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.96289453,0.98491147,0.96073534,0.98575768,0.00000000,0.00000000,0.00000000,0.83194403,0.80061278,0.81582543,0.95416551
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.92583873,0.98491147,0.93486278,0.98575768,0.87270673,0.80550000,0.83700776,0.92200630,0.93486278,0.92373267,0.91123403
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.97859892,0.99399538,0.97523534,0.99440154,0.00000000,0.00000000,0.00000000,0.83238288,0.81269611,0.82234744,0.97319845
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.96892290,0.99399538,0.96894611,0.99440154,0.93397186,0.93750000,0.93402985,0.96962122,0.96894611,0.96787559,0.96259814
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.96638889,0.98680556,0.96350000,0.98637500,0.00000000,0.00000000,0.00000000,0.83066230,0.80291667,0.81639708,0.95862000
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.95754660,0.98680556,0.95299141,0.98637500,0.81195738,0.90044843,0.85071581,0.95512423,0.95299141,0.95257722,0.94909198
