dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.87333790,0.98930775,0.87199511,0.99015154,0.00000000,0.00000000,0.00000000,0.83333333,0.72666259,0.77602062,0.85582133
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88824593,0.98930775,0.89282926,0.99015154,0.52057452,0.99700000,0.68352815,0.91964308,0.89282926,0.88974620,0.87363028
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.87405697,0.98521940,0.87760894,0.98557961,0.00000000,0.00000000,0.00000000,0.83312102,0.73134078,0.77840314,0.85540620
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88204826,0.98521940,0.88267412,0.98557961,0.68410910,0.90800000,0.77783512,0.92605365,0.88267412,0.89481447,0.86133378
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.87621247,0.98675905,0.87949162,0.98692807,0.00000000,0.00000000,0.00000000,0.83248128,0.73290968,0.77903988,0.85757905
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89982343,0.98675905,0.89565968,0.98692807,0.70979644,0.97650000,0.82185752,0.94146532,0.89565968,0.91139761,0.88228452
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87806005,0.98429561,0.87877933,0.98513268,0.00000000,0.00000000,0.00000000,0.83247156,0.73231611,0.77865622,0.85945618
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.86733373,0.98429561,0.87106611,0.98513268,0.67409018,0.83250000,0.74044039,0.90452288,0.87106611,0.87745559,0.84309154
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.87806005,0.99399538,0.88283240,0.99440154,0.00000000,0.00000000,0.00000000,0.83269632,0.73569367,0.78065369,0.85959034
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90406121,0.99399538,0.90044367,0.99440154,0.71487350,0.98850000,0.82965319,0.94716756,0.90044367,0.91660982,0.88761963
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.86388889,0.98722222,0.86762500,0.98675000,0.00000000,0.00000000,0.00000000,0.83198896,0.72302083,0.77332317,0.84568657
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88202044,0.98722222,0.88953802,0.98675000,0.53388745,0.99910314,0.69580019,0.92073039,0.88953802,0.88918662,0.86678692
