dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97875257,0.98697738,0.97865573,0.98812500,0.00000000,0.00000000,0.00000000,0.83145009,0.81554644,0.82338835,0.97365981
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94394213,0.98697738,0.93054644,0.98812500,0.82634731,0.69000000,0.75204360,0.93955515,0.93054644,0.93346242,0.93248943
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98012337,0.98834818,0.98039804,0.98937500,0.00000000,0.00000000,0.00000000,0.83280757,0.81699837,0.82478954,0.97535571
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95780591,0.98834818,0.94949837,0.98937500,0.85026738,0.79500000,0.82170543,0.95454666,0.94949837,0.95149020,0.94905813
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98149417,0.99108979,0.98164804,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.81804004,0.82560483,0.97703472
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.96081977,0.99108979,0.95304004,0.99187500,0.85714286,0.81000000,0.83290488,0.95719586,0.95304004,0.95482415,0.95259716
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97601097,0.98971899,0.97566341,0.99062500,0.00000000,0.00000000,0.00000000,0.82958801,0.81305284,0.82119483,0.97028038
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.95117541,0.98971899,0.94138617,0.99062500,0.83243243,0.77000000,0.80000000,0.94591935,0.94138617,0.94287732,0.94116116
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.97806717,0.98903358,0.97803073,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.81502561,0.82400256,0.97290231
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95660036,0.98903358,0.94835894,0.99000000,0.83333333,0.80000000,0.81632653,0.95228603,0.94835894,0.94990105,0.94757496
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.96458814,0.98306390,0.96227304,0.98437500,0.00000000,0.00000000,0.00000000,0.83006398,0.80189420,0.81565143,0.95596405
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.93349029,0.98306390,0.94064420,0.98437500,0.89037433,0.83250000,0.86046512,0.94765490,0.94064420,0.94290582,0.91941881
