dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98629198,0.98629198,0.98750000,0.98750000,0.00000000,0.00000000,0.00000000,0.82608131,0.82291667,0.82440364,0.98282194
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.89270645,0.98629198,0.85791667,0.98750000,0.82352941,0.21000000,0.33466135,0.89066541,0.85791667,0.84185438,0.87459706
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98560658,0.98560658,0.98687500,0.98687500,0.00000000,0.00000000,0.00000000,0.82346972,0.82239583,0.82285081,0.98191841
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87884268,0.98560658,0.83906250,0.98687500,0.80000000,0.10000000,0.17777778,0.86052867,0.83906250,0.80003440,0.85969473
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99108979,0.99108979,0.99187500,0.99187500,0.00000000,0.00000000,0.00000000,0.82928559,0.82656250,0.82790349,0.98879624
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87763713,0.99108979,0.83489583,0.99187500,0.62500000,0.05000000,0.09259259,0.83357885,0.83489583,0.78923588,0.85889058
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98766278,0.98766278,0.98875000,0.98875000,0.00000000,0.00000000,0.00000000,0.82550652,0.82395833,0.82459576,0.98455451
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.87160940,0.98766278,0.82812500,0.98875000,0.38461538,0.02500000,0.04694836,0.78788505,0.82812500,0.77534579,0.85243303
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98766278,0.98903358,0.98875000,0.99000000,0.00000000,0.00000000,0.00000000,0.82646608,0.82395833,0.82512593,0.98452866
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.87040386,0.98903358,0.82645833,0.99000000,0.30000000,0.01500000,0.02857143,0.77971177,0.82645833,0.77804437,0.85037456
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97690531,0.97690531,0.97714036,0.97714036,0.00000000,0.00000000,0.00000000,0.81997589,0.81428364,0.81708180,0.97068272
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75044144,0.97690531,0.81678364,0.97714036,0.37500000,0.01500000,0.02884615,0.71733915,0.81678364,0.72296103,0.73500716
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97690531,0.97690531,0.98062500,0.98062500,0.00000000,0.00000000,0.00000000,0.82112033,0.81718750,0.81890905,0.97089715
