dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97121316,0.98793694,0.96862989,0.98811383,0.00000000,0.00000000,0.00000000,0.83216430,0.80719157,0.81940347,0.96451507
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96745027,0.98793694,0.96385824,0.98811383,0.82438981,0.94000000,0.87797713,0.96333968,0.96385824,0.96259888,0.96086645
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95242494,0.97721324,0.94664874,0.97785265,0.00000000,0.00000000,0.00000000,0.83071592,0.78887395,0.80904466,0.94158149
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.95632725,0.97721324,0.95037395,0.97785265,0.86800993,0.96900000,0.91564779,0.96489987,0.95037395,0.95668544,0.94706102
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.94811393,0.97859892,0.94016411,0.97845880,0.00000000,0.00000000,0.00000000,0.83160291,0.78347009,0.80650840,0.93656825
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.94196586,0.97859892,0.93713676,0.97845880,0.84823440,0.92200000,0.88211684,0.94815440,0.93713676,0.94096933,0.92978766
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.94765204,0.98075443,0.94064525,0.98137919,0.00000000,0.00000000,0.00000000,0.83169544,0.78387104,0.80683273,0.93600664
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.94632137,0.98075443,0.94087104,0.98137919,0.85139618,0.94200000,0.89414353,0.95237373,0.94087104,0.94558277,0.93484297
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.95719784,0.98552733,0.95029260,0.98537919,0.00000000,0.00000000,0.00000000,0.83208873,0.79191050,0.81128675,0.94729592
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.96527369,0.98552733,0.95716050,0.98537919,0.87958019,0.99150000,0.93211869,0.97493387,0.95716050,0.96491144,0.95809675
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95347222,0.97875000,0.94700000,0.97825000,0.00000000,0.00000000,0.00000000,0.83051149,0.78916667,0.80911909,0.94323747
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.94323512,0.97875000,0.93535501,0.97825000,0.74424220,0.87713004,0.80073668,0.93540149,0.93535501,0.93184270,0.93249235
