dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97189856,0.98903358,0.96994413,0.98901536,0.00000000,0.00000000,0.00000000,0.83070234,0.80828678,0.81928543,0.96523233
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.97468354,0.98903358,0.97412011,0.98901536,0.84680851,0.99500000,0.91494253,0.97129947,0.97412011,0.97151679,0.96967934
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96710075,0.98766278,0.96310754,0.98727304,0.00000000,0.00000000,0.00000000,0.83279915,0.80258962,0.81727421,0.95961394
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.94876432,0.98766278,0.93842295,0.98727304,0.77619048,0.81500000,0.79512195,0.94329132,0.93842295,0.94020872,0.93814461
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.97943797,0.98834818,0.97829609,0.98888268,0.00000000,0.00000000,0.00000000,0.83280922,0.81524674,0.82391743,0.97449084
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.98131404,0.98834818,0.98108007,0.98888268,0.87280702,0.99500000,0.92990654,0.97774628,0.98108007,0.97864187,0.97758231
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96915696,0.98697738,0.96744413,0.98763268,0.00000000,0.00000000,0.00000000,0.83279221,0.80620345,0.81924383,0.96206922
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96202532,0.98697738,0.95787011,0.98763268,0.80530973,0.91000000,0.85446009,0.95740471,0.95787011,0.95686649,0.95424550
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96847156,0.98766278,0.96435754,0.98776536,0.00000000,0.00000000,0.00000000,0.83171860,0.80363128,0.81729643,0.96116902
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.97046414,0.98766278,0.96779795,0.98776536,0.82083333,0.98500000,0.89545455,0.96695665,0.96779795,0.96576051,0.96468051
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.94534257,0.97690531,0.93886522,0.97740573,0.00000000,0.00000000,0.00000000,0.83225806,0.78238769,0.80640645,0.93323916
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.95291348,0.97690531,0.94530435,0.97740573,0.85000000,0.97750000,0.90930233,0.96567328,0.94530435,0.95412255,0.94312929
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.95535027,0.97151655,0.95405377,0.97464036,0.00000000,0.00000000,0.00000000,0.83114035,0.79504481,0.81257214,0.94518799
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.96350795,0.97151655,0.96004481,0.97464036,0.87610619,0.99000000,0.92957746,0.97344390,0.96004481,0.96571550,0.95601993
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.95842956,0.98460354,0.95431913,0.98464036,0.00000000,0.00000000,0.00000000,0.82743158,0.79526595,0.81101792,0.94849769
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.96409653,0.98460354,0.95901595,0.98464036,0.89115646,0.98250000,0.93460166,0.96914296,0.95901595,0.96349738,0.95645386
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95304080,0.97459584,0.94642109,0.97477304,0.00000000,0.00000000,0.00000000,0.83161017,0.78868424,0.80931194,0.94231020
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.95055915,0.97459584,0.94576757,0.97477304,0.86467890,0.94250000,0.90191388,0.95268823,0.94576757,0.94878118,0.93982414
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.94996151,0.97844496,0.93958450,0.97780377,0.00000000,0.00000000,0.00000000,0.83113941,0.78298708,0.80591484,0.93867240
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.95055915,0.97844496,0.94173708,0.97780377,0.85810811,0.95250000,0.90284360,0.96355097,0.94173708,0.95131060,0.93987788
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.95073133,0.97690531,0.94418645,0.97678073,0.00000000,0.00000000,0.00000000,0.83333333,0.78682204,0.80917396,0.93970653
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.93407887,0.97690531,0.93348871,0.97678073,0.84615385,0.88000000,0.86274510,0.93286559,0.93348871,0.93238226,0.91968250
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.94072363,0.97305620,0.93895950,0.97539804,0.00000000,0.00000000,0.00000000,0.83002208,0.78246625,0.80547009,0.92796652
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.94702766,0.97305620,0.94371625,0.97539804,0.83947939,0.96750000,0.89895470,0.95852013,0.94371625,0.94979760,0.93604031
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.95458045,0.98229407,0.94600559,0.98178073,0.00000000,0.00000000,0.00000000,0.83219955,0.78833799,0.80947955,0.94414372
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.96115362,0.98229407,0.95208799,0.98178073,0.87139690,0.98250000,0.92361927,0.97315932,0.95208799,0.96135394,0.95301382
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.95304080,0.98229407,0.94132682,0.98178073,0.00000000,0.00000000,0.00000000,0.83333333,0.78443901,0.80755231,0.94240549
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.91347852,0.98229407,0.91527235,0.98178073,0.83733333,0.78500000,0.81032258,0.90768140,0.91527235,0.90872097,0.89533261
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.94149346,0.97844496,0.93034218,0.97655377,0.00000000,0.00000000,0.00000000,0.82912628,0.77528515,0.80086610,0.92861896
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.95409064,0.97844496,0.94111848,0.97655377,0.84680851,0.99500000,0.91494253,0.96854557,0.94111848,0.95259189,0.94486903
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.94996151,0.98075443,0.94181913,0.98178073,0.00000000,0.00000000,0.00000000,0.83333333,0.78484928,0.80803347,0.93879512
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.94467334,0.98075443,0.93943261,0.98178073,0.85091743,0.92750000,0.88755981,0.94695515,0.93943261,0.94260708,0.93264227
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.93225558,0.97921478,0.92752095,0.98214036,0.00000000,0.00000000,0.00000000,0.83052346,0.77293412,0.80052643,0.91815366
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.93231313,0.97921478,0.92835079,0.98214036,0.81441048,0.93250000,0.86946387,0.94324188,0.92835079,0.93418821,0.91797194
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.95227098,0.98383372,0.94449022,0.98464036,0.00000000,0.00000000,0.00000000,0.83064231,0.78707519,0.80812776,0.94129288
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.96056504,0.98383372,0.95165852,0.98464036,0.87004405,0.98750000,0.92505855,0.97069627,0.95165852,0.96000619,0.95235968
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.94996151,0.98460354,0.94231145,0.98365573,0.00000000,0.00000000,0.00000000,0.83225458,0.78525954,0.80774417,0.93865604
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.93407887,0.98460354,0.93234288,0.98365573,0.84855769,0.88250000,0.86519608,0.93200204,0.93234288,0.93128787,0.91970145
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.95381062,0.97536567,0.94708450,0.97467877,0.00000000,0.00000000,0.00000000,0.83172352,0.78923708,0.80973181,0.94313549
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.95997646,0.97536567,0.95257041,0.97467877,0.87305122,0.98000000,0.92343934,0.96897330,0.95257041,0.95982451,0.95153951
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.96458814,0.99076212,0.95905377,0.98928073,0.00000000,0.00000000,0.00000000,0.83280255,0.79921148,0.81550559,0.95612692
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.96880518,0.99076212,0.96296148,0.98928073,0.89726027,0.98250000,0.93794749,0.97472065,0.96296148,0.96827333,0.96215823
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.95765974,0.98306390,0.95106145,0.98464036,0.00000000,0.00000000,0.00000000,0.82990868,0.79255121,0.81066231,0.94773639
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.96586227,0.98306390,0.95796788,0.98464036,0.88418708,0.99250000,0.93521790,0.97398644,0.95796788,0.96501960,0.95876390
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.95765974,0.98537336,0.95181913,0.98477304,0.00000000,0.00000000,0.00000000,0.83106576,0.79318261,0.81158599,0.94777853
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.96527369,0.98537336,0.95818261,0.98477304,0.88195991,0.99000000,0.93286219,0.97370414,0.95818261,0.96503810,0.95803634
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.95304080,0.97998460,0.94793645,0.98017109,0.00000000,0.00000000,0.00000000,0.83333333,0.78994704,0.81091213,0.94243949
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.96291936,0.97998460,0.95578038,0.98017109,0.86710240,0.99500000,0.92665891,0.97556729,0.95578038,0.96432329,0.95539130
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.95304080,0.98845266,0.94159218,0.98803073,0.00000000,0.00000000,0.00000000,0.83333333,0.78466015,0.80776771,0.94239827
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.96350795,0.98845266,0.95091015,0.98803073,0.86739130,0.99750000,0.92790698,0.97669082,0.95091015,0.96190290,0.95613396
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.95972222,0.97777778,0.95250000,0.97625000,0.00000000,0.00000000,0.00000000,0.82823634,0.79375000,0.81046142,0.95051343
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.95189417,0.97777778,0.94397422,0.97625000,0.79133858,0.90134529,0.84276730,0.93889866,0.94397422,0.94054748,0.94208983
