dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98917066,0.98958191,0.99002654,0.99050000,0.00000000,0.00000000,0.00000000,0.82790910,0.82502211,0.82640232,0.98641578
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.90825799,0.98958191,0.87802211,0.99050000,0.88758810,0.31800000,0.46304513,0.90897736,0.87802211,0.86843691,0.89246766
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.98321786,0.98645112,0.98390922,0.98698115,0.00000000,0.00000000,0.00000000,0.82560133,0.81992435,0.82267010,0.97875186
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75409064,0.98645112,0.82159101,0.98698115,0.29225113,0.01000000,0.01932645,0.71014083,0.82159101,0.72086731,0.74228989
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98398768,0.98799076,0.98460615,0.98817807,0.00000000,0.00000000,0.00000000,0.82612165,0.82050512,0.82323012,0.97974288
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.80459094,0.98799076,0.85750512,0.98817807,0.81077568,0.22200000,0.32019271,0.82008537,0.85750512,0.79202514,0.78787173
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98429561,0.98521940,0.98498115,0.98607961,0.00000000,0.00000000,0.00000000,0.82473139,0.82081762,0.82269598,0.98008875
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.78563861,0.98521940,0.84423429,0.98607961,0.77786081,0.14050000,0.20867714,0.84235914,0.84423429,0.77322479,0.78508790
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.99230177,0.99353349,0.99270461,0.99392807,0.00000000,0.00000000,0.00000000,0.83016371,0.82725384,0.82868482,0.99022877
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.84508534,0.99353349,0.88842051,0.99392807,0.96389908,0.36700000,0.53090010,0.86375457,0.88842051,0.83496723,0.83299932
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98513889,0.98666667,0.98462500,0.98625000,0.00000000,0.00000000,0.00000000,0.82617874,0.82052083,0.82327429,0.98133733
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88334336,0.98666667,0.85818899,0.98625000,0.77198017,0.22600897,0.34654984,0.87950819,0.85818899,0.83931332,0.86547635
