dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92748458,0.98958191,0.92599791,0.99050000,0.00000000,0.00000000,0.00000000,0.83333333,0.77166492,0.80094549,0.91414374
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.93550332,0.98958191,0.93733159,0.99050000,0.65566673,0.99400000,0.78918457,0.94186736,0.93733159,0.93212479,0.92505190
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.91947652,0.98645112,0.92128980,0.98698115,0.00000000,0.00000000,0.00000000,0.83246280,0.76774150,0.79839524,0.90431642
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.91077104,0.98645112,0.91482484,0.98698115,0.76715597,0.88250000,0.81619565,0.93178459,0.91482484,0.91736590,0.89417629
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.92840647,0.98799076,0.93175908,0.98817807,0.00000000,0.00000000,0.00000000,0.83024612,0.77646590,0.80213656,0.91416693
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.91854032,0.98799076,0.92421590,0.98817807,0.79884126,0.88650000,0.83816912,0.93146428,0.92421590,0.92386448,0.90214612
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.92548114,0.98521940,0.92699022,0.98607961,0.00000000,0.00000000,0.00000000,0.83164986,0.77249185,0.80073605,0.91081543
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.86121248,0.98521940,0.88124185,0.98607961,0.72608781,0.65250000,0.68375779,0.87830819,0.88124185,0.86688880,0.83702603
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.92563510,0.99353349,0.92636592,0.99392807,0.00000000,0.00000000,0.00000000,0.83207115,0.77197160,0.80050544,0.91123500
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.93831666,0.99353349,0.93522160,0.99392807,0.80538111,0.97950000,0.88366650,0.95843288,0.93522160,0.94373509,0.92637134
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.91500000,0.98666667,0.91825000,0.98625000,0.00000000,0.00000000,0.00000000,0.83161656,0.76520833,0.79682951,0.89983970
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.92435358,0.98666667,0.92933389,0.98625000,0.64532999,0.98475336,0.77947941,0.93593704,0.92933389,0.92507202,0.91218200
