dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.91583276,0.98834818,0.91399441,0.98848883,0.00000000,0.00000000,0.00000000,0.83333333,0.76166201,0.79573314,0.90102415
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92585895,0.98834818,0.92816201,0.98848883,0.62041470,0.99900000,0.76512870,0.93662826,0.92816201,0.92320260,0.91430600
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.91254811,0.97752117,0.91409707,0.97747765,0.00000000,0.00000000,0.00000000,0.82753794,0.76174756,0.79282236,0.89607881
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.89299588,0.97752117,0.89999756,0.97747765,0.74816541,0.82950000,0.78454792,0.91025366,0.89999756,0.89805676,0.87230437
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.91224018,0.97921478,0.91275628,0.97880726,0.00000000,0.00000000,0.00000000,0.82616082,0.76063024,0.79142204,0.89558377
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89735138,0.97921478,0.90213024,0.97880726,0.75975326,0.84900000,0.80087284,0.91057888,0.90213024,0.90027202,0.87667664
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.91578137,0.98090839,0.91873673,0.98120112,0.00000000,0.00000000,0.00000000,0.82714503,0.76561394,0.79474387,0.89968817
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.86909947,0.98090839,0.88519728,0.98120112,0.73345842,0.71750000,0.72298234,0.88565473,0.88519728,0.87476903,0.84471743
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.90300231,0.98645112,0.90536243,0.98532612,0.00000000,0.00000000,0.00000000,0.82954241,0.75446869,0.78973850,0.88576100
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90382578,0.98645112,0.90555203,0.98532612,0.74705264,0.90650000,0.81851428,0.92438530,0.90555203,0.90969083,0.88479010
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90611111,0.97916667,0.91037500,0.97887500,0.00000000,0.00000000,0.00000000,0.82808890,0.75864583,0.79136560,0.89006792
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88141912,0.97916667,0.87897468,0.97887500,0.54059410,0.72197309,0.61511065,0.88021952,0.87897468,0.87058697,0.86050328
