dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.91788897,0.98889650,0.91626327,0.98938268,0.00000000,0.00000000,0.00000000,0.83333333,0.76355272,0.79671092,0.90332027
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92778782,0.98889650,0.93021939,0.98938268,0.62616884,1.00000000,0.76988678,0.93769481,0.93021939,0.92502539,0.91648778
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.91809084,0.98229407,0.91933939,0.98234497,0.00000000,0.00000000,0.00000000,0.83080121,0.76611615,0.79678233,0.90246392
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88087110,0.98229407,0.89278282,0.98234497,0.73575846,0.76000000,0.74162026,0.89912318,0.89278282,0.88627375,0.85930667
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.91993841,0.98367975,0.92165363,0.98433729,0.00000000,0.00000000,0.00000000,0.82976585,0.76804469,0.79730228,0.90445371
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92018835,0.98367975,0.92154469,0.98433729,0.78557231,0.92100000,0.84728036,0.93560782,0.92154469,0.92452596,0.90418414
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.92409546,0.98383372,0.92745251,0.98406844,0.00000000,0.00000000,0.00000000,0.83043720,0.77287709,0.80035429,0.90925830
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.88534432,0.98383372,0.89946043,0.98406844,0.75943336,0.75950000,0.75694642,0.89764757,0.89946043,0.88982022,0.86343560
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.91655119,0.99199384,0.91768436,0.99193575,0.00000000,0.00000000,0.00000000,0.83205254,0.76473696,0.79658115,0.90101518
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.93054738,0.99199384,0.92740363,0.99193575,0.78587534,0.97600000,0.87028082,0.95359671,0.92740363,0.93684376,0.91726033
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.91041667,0.98611111,0.91512500,0.98525000,0.00000000,0.00000000,0.00000000,0.83079081,0.76260417,0.79491892,0.89485711
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.92050511,0.98611111,0.92687920,0.98525000,0.63543509,0.98565022,0.77231077,0.93349852,0.92687920,0.92203516,0.90796093
