dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92488005,0.98327622,0.92381983,0.98268226,0.00000000,0.00000000,0.00000000,0.83137918,0.76984986,0.79930846,0.91076344
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92814949,0.98327622,0.92851653,0.98268226,0.64271254,0.95200000,0.76703808,0.93269693,0.92851653,0.92437343,0.91564516
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.91208622,0.97259430,0.91483101,0.97083380,0.00000000,0.00000000,0.00000000,0.82343848,0.76235917,0.79138063,0.89512371
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.86545026,0.97259430,0.88135917,0.97083380,0.72243314,0.71400000,0.71252766,0.88108445,0.88135917,0.87111446,0.84099831
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.91408776,0.97120862,0.91537291,0.96961034,0.00000000,0.00000000,0.00000000,0.81811489,0.76281075,0.78893312,0.89693211
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.86074161,0.97120862,0.87739409,0.96961034,0.73148802,0.68750000,0.70334599,0.87549254,0.87739409,0.86526168,0.83591069
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.90484988,0.96874519,0.90374511,0.96743994,0.00000000,0.00000000,0.00000000,0.81787781,0.75312093,0.78328740,0.88647035
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.82778105,0.96874519,0.84937093,0.96743994,0.67471491,0.57750000,0.61804681,0.85084703,0.84937093,0.83424401,0.79829170
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.92055427,0.97567360,0.91969902,0.97267109,0.00000000,0.00000000,0.00000000,0.82362637,0.76641585,0.79357955,0.90454492
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.87533843,0.97567360,0.88783252,0.97267109,0.75245864,0.72850000,0.73535917,0.89092991,0.88783252,0.88012912,0.85231787
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90611111,0.96611111,0.90612500,0.96250000,0.00000000,0.00000000,0.00000000,0.81266278,0.75510417,0.78226860,0.88845019
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.87288034,0.96611111,0.86482016,0.96250000,0.54671457,0.65829596,0.58839530,0.86118709,0.86482016,0.85483859,0.84988128
