dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.93145990,0.98080877,0.92913059,0.97954609,0.00000000,0.00000000,0.00000000,0.83121019,0.77427549,0.80152304,0.91808863
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93670886,0.98080877,0.93677549,0.97954609,0.67010309,0.97500000,0.79429735,0.94027965,0.93677549,0.93262423,0.92569417
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.92117889,0.98286498,0.91975559,0.98339036,0.00000000,0.00000000,0.00000000,0.83000670,0.76646299,0.79682381,0.90635962
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.92284509,0.98286498,0.92229632,0.98339036,0.63175676,0.93500000,0.75403226,0.92842068,0.92229632,0.91918181,0.90916788
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.93283071,0.98560658,0.93234986,0.98539804,0.00000000,0.00000000,0.00000000,0.83068113,0.77695822,0.80284888,0.91963347
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93128391,0.98560658,0.93029155,0.98539804,0.66187050,0.92000000,0.76987448,0.92904232,0.93029155,0.92548288,0.91857468
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.92460589,0.98080877,0.92484986,0.97905377,0.00000000,0.00000000,0.00000000,0.83278689,0.77070822,0.80049326,0.91062982
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.92947559,0.98080877,0.93154155,0.97905377,0.63907285,0.96500000,0.76892430,0.93557197,0.93154155,0.92685153,0.91748825
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.91432488,0.98629198,0.91301327,0.98602304,0.00000000,0.00000000,0.00000000,0.83221100,0.76084439,0.79485333,0.89910564
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.92043400,0.98629198,0.92167772,0.98602304,0.61075949,0.96500000,0.74806202,0.93017004,0.92167772,0.91772672,0.90730081
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.91224018,0.97151655,0.91163059,0.97017109,0.00000000,0.00000000,0.00000000,0.81666966,0.75969216,0.78685690,0.89448024
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.88404944,0.97151655,0.89177549,0.97017109,0.76570048,0.79250000,0.77886978,0.88943621,0.89177549,0.88459886,0.86042914
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.92147806,0.96920708,0.91992668,0.96928073,0.00000000,0.00000000,0.00000000,0.82946623,0.76660556,0.79659981,0.90566520
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.88699235,0.96920708,0.89577223,0.96928073,0.76354680,0.77500000,0.76923077,0.89442230,0.89577223,0.88994434,0.86337372
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.90377213,0.97767513,0.91467877,0.97803073,0.00000000,0.00000000,0.00000000,0.82608696,0.76223231,0.79225672,0.88668951
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.83578576,0.97767513,0.86473231,0.97803073,0.67582418,0.61500000,0.64397906,0.85874820,0.86473231,0.84721499,0.80628116
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.91377983,0.97305620,0.91234986,0.96691341,0.00000000,0.00000000,0.00000000,0.82550336,0.76029155,0.79154502,0.89704695
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.92466157,0.97305620,0.92029155,0.96691341,0.78527607,0.96000000,0.86389201,0.94143369,0.92029155,0.92835795,0.90955973
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.90916089,0.97151655,0.91556913,0.96977304,0.00000000,0.00000000,0.00000000,0.81946619,0.76297428,0.78964473,0.89173662
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.79576221,0.97151655,0.83422428,0.96977304,0.62181818,0.42750000,0.50666667,0.82138187,0.83422428,0.80545618,0.76534782
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.90993072,0.97305620,0.91341131,0.97428073,0.00000000,0.00000000,0.00000000,0.81952663,0.76117609,0.78842631,0.89249070
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.81989406,0.97305620,0.84909276,0.97428073,0.67197452,0.52750000,0.59103641,0.84420808,0.84909276,0.82856950,0.78965783
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.92609700,0.96766744,0.92886522,0.96964036,0.00000000,0.00000000,0.00000000,0.81518129,0.77405435,0.79339283,0.91026534
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.88816951,0.96766744,0.90155435,0.96964036,0.79895561,0.76500000,0.78160920,0.89159098,0.90155435,0.88862356,0.86632452
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.91301001,0.98152425,0.92145950,0.98102304,0.00000000,0.00000000,0.00000000,0.82325623,0.76788291,0.79399698,0.89645077
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.88934667,0.98152425,0.90329958,0.98102304,0.75934579,0.81250000,0.78502415,0.89368720,0.90329958,0.89310969,0.86673634
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.91377983,0.96997691,0.90873254,0.96392109,0.00000000,0.00000000,0.00000000,0.82250931,0.75727712,0.78847447,0.89666748
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.90523838,0.96997691,0.90352712,0.96392109,0.77483444,0.87750000,0.82297773,0.91240684,0.90352712,0.90514289,0.88528723
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.90762125,0.96381832,0.90439595,0.95918645,0.00000000,0.00000000,0.00000000,0.81010101,0.75366329,0.78037500,0.88878627
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.80105945,0.96381832,0.82949662,0.95918645,0.65232975,0.45500000,0.53608247,0.83556958,0.82949662,0.81086274,0.77154755
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.91147036,0.97690531,0.90969972,0.97789804,0.00000000,0.00000000,0.00000000,0.82242395,0.75808310,0.78839854,0.89416911
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.78987640,0.97690531,0.82391643,0.97789804,0.60305344,0.39500000,0.47734139,0.82439864,0.82391643,0.79943538,0.75970981
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.89530408,0.96150885,0.90055168,0.96217877,0.00000000,0.00000000,0.00000000,0.81011425,0.75045973,0.77743046,0.87545200
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.79752796,0.96150885,0.83045973,0.96217877,0.63576159,0.48000000,0.54700855,0.83544984,0.83045973,0.80987505,0.76653699
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.91454965,0.97613549,0.91447277,0.97628841,0.00000000,0.00000000,0.00000000,0.82149901,0.76206064,0.78950746,0.89775400
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.86521483,0.97613549,0.87956064,0.97628841,0.74015748,0.70500000,0.72215109,0.87742309,0.87956064,0.86834630,0.83877868
