dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.93831391,0.98492118,0.93587291,0.98526536,0.00000000,0.00000000,0.00000000,0.83333333,0.77989409,0.80556345,0.92615066
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94454491,0.98492118,0.94489409,0.98526536,0.68750000,0.99000000,0.81147541,0.94679205,0.94489409,0.94029024,0.93498951
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.90952707,0.98560658,0.91208450,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.76007041,0.79477027,0.89426703
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.91983122,0.98560658,0.92590375,0.98687500,0.60120846,0.99500000,0.74952919,0.93297168,0.92590375,0.91943224,0.90766695
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.92734750,0.99040439,0.92734986,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.77279155,0.80185086,0.91378490
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93550332,0.99040439,0.93862488,0.99075768,0.65245902,0.99500000,0.78811881,0.94152463,0.93862488,0.93294424,0.92492419
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.93008910,0.98834818,0.93083450,0.98937500,0.00000000,0.00000000,0.00000000,0.83234714,0.77569541,0.80277939,0.91690783
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93610609,0.98834818,0.93902875,0.98937500,0.65993266,0.98000000,0.78873239,0.93976388,0.93902875,0.93299635,0.92534665
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.92734750,0.98903358,0.92538059,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.77115049,0.80088818,0.91376687
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93490054,0.98903358,0.93615049,0.99000000,0.65131579,0.99000000,0.78571429,0.94032058,0.93615049,0.93111766,0.92414068
