dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.87237834,0.98862234,0.87318785,0.98932961,0.00000000,0.00000000,0.00000000,0.83333333,0.72765654,0.77655762,0.85488727
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88740205,0.98862234,0.89382321,0.98932961,0.51802993,0.99700000,0.68151994,0.91913845,0.89382321,0.88990746,0.87278406
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.87544265,0.98398768,0.87704469,0.98445461,0.00000000,0.00000000,0.00000000,0.83287470,0.73087058,0.77816289,0.85668558
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.90135374,0.98398768,0.89512058,0.98445461,0.70970337,0.98550000,0.82508737,0.94512801,0.89512058,0.91276611,0.88433879
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.87036182,0.98737490,0.87293506,0.98767807,0.00000000,0.00000000,0.00000000,0.83247169,0.72744588,0.77586694,0.85161920
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89087699,0.98737490,0.88702921,0.98767807,0.69671623,0.95750000,0.80536254,0.93455802,0.88702921,0.90254316,0.87179566
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87236336,0.98352579,0.87407891,0.98403422,0.00000000,0.00000000,0.00000000,0.83246155,0.72839909,0.77651690,0.85353274
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.83025309,0.98352579,0.84398243,0.98403422,0.60890036,0.69350000,0.63942760,0.86974128,0.84398243,0.84278552,0.80072305
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.87174750,0.99153195,0.87698394,0.99160615,0.00000000,0.00000000,0.00000000,0.83268805,0.73081995,0.77794065,0.85314749
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90017657,0.99153195,0.89623662,0.99160615,0.70609122,0.99250000,0.82484944,0.94720741,0.89623662,0.91388665,0.88350925
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.85347222,0.98444444,0.85750000,0.98387500,0.00000000,0.00000000,0.00000000,0.83198793,0.71458333,0.76834169,0.83518507
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.87312087,0.98444444,0.88125000,0.98387500,0.51598329,1.00000000,0.68049983,0.91798514,0.88125000,0.88175832,0.85751604
