dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.96847156,0.98834818,0.96780377,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.80650314,0.81966239,0.96130634
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95057263,0.98834818,0.94316981,0.98937500,0.78095238,0.82000000,0.80000000,0.94586970,0.94316981,0.94405381,0.94030299
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96847156,0.98834818,0.96878841,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.80732367,0.82004310,0.96134762
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96202532,0.98834818,0.95982367,0.98937500,0.79912664,0.91500000,0.85314685,0.95801260,0.95982367,0.95792258,0.95436724
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96710075,0.99177519,0.96507682,0.99250000,0.00000000,0.00000000,0.00000000,0.83333333,0.80423068,0.81843251,0.95967829
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.96925859,0.99177519,0.96839735,0.99250000,0.80408163,0.98500000,0.88539326,0.96569677,0.96839735,0.96522137,0.96333962
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96641535,0.99040439,0.96543645,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.80453038,0.81862781,0.95885651
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.97046414,0.99040439,0.97119704,0.99125000,0.80321285,1.00000000,0.89086860,0.96720214,0.97119704,0.96710591,0.96490881
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96984236,0.98903358,0.96806913,0.99000000,0.00000000,0.00000000,0.00000000,0.83235867,0.80672428,0.81921620,0.96295622
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.94273659,0.98903358,0.93089095,0.99000000,0.77604167,0.74500000,0.76020408,0.93752798,0.93089095,0.93335710,0.93098313
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.93841416,0.98383372,0.93007682,0.98562500,0.00000000,0.00000000,0.00000000,0.83333333,0.77506401,0.80275006,0.92537217
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.94349617,0.98383372,0.93506401,0.98562500,0.82758621,0.96000000,0.88888889,0.96290491,0.93506401,0.94683890,0.93168064
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.95150115,0.98075443,0.94869413,0.98437500,0.00000000,0.00000000,0.00000000,0.83333333,0.79057845,0.81122284,0.94074963
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.96233078,0.98075443,0.95682845,0.98437500,0.86363636,0.99750000,0.92575406,0.97670390,0.95682845,0.96525574,0.95480681
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.94919169,0.99153195,0.94494413,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.78745345,0.80962244,0.93794182
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.94761624,0.99153195,0.94453678,0.99075768,0.85101580,0.94250000,0.89442467,0.95424706,0.94453678,0.94834921,0.93642616
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.93302540,0.98614319,0.92382682,0.98276536,0.00000000,0.00000000,0.00000000,0.83333333,0.76985568,0.79973505,0.91925060
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.94820483,0.98614319,0.93610568,0.98276536,0.82098765,0.99750000,0.90067720,0.96892083,0.93610568,0.94933326,0.93821899
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.93995381,0.98999230,0.92708450,0.99138268,0.00000000,0.00000000,0.00000000,0.83206107,0.77257041,0.80040413,0.92709183
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.94702766,0.98999230,0.93423708,0.99138268,0.83440860,0.97000000,0.89710983,0.95998932,0.93423708,0.94513451,0.93603091
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.93302540,0.98845266,0.92337291,0.98812500,0.00000000,0.00000000,0.00000000,0.83333333,0.76947742,0.79976567,0.91916999
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.94643908,0.98845266,0.93447742,0.98812500,0.81987578,0.99000000,0.89694224,0.96525116,0.93447742,0.94721273,0.93589329
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.93687452,0.98537336,0.93199022,0.98750000,0.00000000,0.00000000,0.00000000,0.83333333,0.77665852,0.80383634,0.92368766
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.95055915,0.98537336,0.94249185,0.98750000,0.82916667,0.99500000,0.90454545,0.96984510,0.94249185,0.95381615,0.94089622
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.94226328,0.98845266,0.93645950,0.98812500,0.00000000,0.00000000,0.00000000,0.83216783,0.78038291,0.80526195,0.92980161
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.95585639,0.98845266,0.94704958,0.98812500,0.84388186,1.00000000,0.91533181,0.97281481,0.94704958,0.95781725,0.94718513
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.93148576,0.98460354,0.92007682,0.98388268,0.00000000,0.00000000,0.00000000,0.83333333,0.76673068,0.79776570,0.91748599
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.94349617,0.98460354,0.93048068,0.98388268,0.81535270,0.98250000,0.89115646,0.96534948,0.93048068,0.94449264,0.93225529
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.93764434,0.99307159,0.92547486,0.99325768,0.00000000,0.00000000,0.00000000,0.83208020,0.77122905,0.79985606,0.92440433
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.94290759,0.99307159,0.93122905,0.99325768,0.82758621,0.96000000,0.88888889,0.95320588,0.93122905,0.94064191,0.93096539
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.93071594,0.98845266,0.91867668,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.76556390,0.79755379,0.91648746
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.93878752,0.98845266,0.92639723,0.98937500,0.81092437,0.96500000,0.88127854,0.95313652,0.92639723,0.93750702,0.92626615
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.93841416,0.97767513,0.93488827,0.98013268,0.00000000,0.00000000,0.00000000,0.83222958,0.77907356,0.80454423,0.92546414
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.94290759,0.97767513,0.93865689,0.98013268,0.82900433,0.95750000,0.88863109,0.95364358,0.93865689,0.94431673,0.93112471
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.93610470,0.98691301,0.92850559,0.98700768,0.00000000,0.00000000,0.00000000,0.83216783,0.77375466,0.80170960,0.92263878
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.94290759,0.98691301,0.93458799,0.98700768,0.82478632,0.96500000,0.88940092,0.95487415,0.93458799,0.94304397,0.93112924
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.92917629,0.98845266,0.92244413,0.98700768,0.00000000,0.00000000,0.00000000,0.83333333,0.76870345,0.79924567,0.91491596
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.93702178,0.98845266,0.92912011,0.98700768,0.80712788,0.96250000,0.87799316,0.95118798,0.92912011,0.93819678,0.92420478
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.92840647,0.98460354,0.91560754,0.98687500,0.00000000,0.00000000,0.00000000,0.83205128,0.76300628,0.79525125,0.91384850
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.94526192,0.98460354,0.92967295,0.98687500,0.81300813,1.00000000,0.89686099,0.96755264,0.92967295,0.94472808,0.93482309
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.95458045,0.99461124,0.94109986,0.99500000,0.00000000,0.00000000,0.00000000,0.83333333,0.78424988,0.80738871,0.94422043
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.96527369,0.99461124,0.95091655,0.99500000,0.87145969,1.00000000,0.93131548,0.97857662,0.95091655,0.96260796,0.95828676
