dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98834818,0.98930775,0.98878422,0.98985615,0.00000000,0.00000000,0.00000000,0.82702068,0.82398685,0.82545963,0.98536378
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.90657022,0.98930775,0.87565351,0.98985615,0.85273323,0.31000000,0.44561465,0.90053222,0.87565351,0.86318829,0.89074719
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.98044650,0.98137028,0.98128422,0.98203422,0.00000000,0.00000000,0.00000000,0.82133535,0.81773685,0.81942274,0.97522877
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75385521,0.98137028,0.82073685,0.98203422,0.32196970,0.01800000,0.03371109,0.69677801,0.82073685,0.71220920,0.73975102
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98075443,0.98260200,0.98206075,0.98365922,0.00000000,0.00000000,0.00000000,0.82185668,0.81838396,0.81997691,0.97566372
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.87569158,0.98260200,0.90746730,0.98365922,0.94070200,0.53450000,0.66534891,0.88108620,0.90746730,0.87500233,0.85850187
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98198614,0.98244804,0.98310615,0.98357961,0.00000000,0.00000000,0.00000000,0.82082482,0.81925512,0.81990416,0.97716022
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.77492643,0.98244804,0.83633845,0.98357961,0.88167881,0.10250000,0.18300766,0.85535291,0.83633845,0.76438322,0.77488024
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98722094,0.98752887,0.98693575,0.98728422,0.00000000,0.00000000,0.00000000,0.82392145,0.82244646,0.82313697,0.98374643
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.84885227,0.98752887,0.88902980,0.98728422,0.96592181,0.39950000,0.53738683,0.87250141,0.88902980,0.84198420,0.83679031
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98069444,0.98152778,0.97850000,0.97950000,0.00000000,0.00000000,0.00000000,0.81909522,0.81541667,0.81712137,0.97568571
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.85532171,0.98152778,0.82303999,0.97950000,0.48357143,0.04573991,0.08006279,0.80769083,0.82303999,0.77797973,0.83534674
