dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97943797,0.98889650,0.97888687,0.98967807,0.00000000,0.00000000,0.00000000,0.83190026,0.81573906,0.82370353,0.97450513
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.95045208,0.98889650,0.93890573,0.98967807,0.83839735,0.73900000,0.78511477,0.94638193,0.93890573,0.94151019,0.94030055
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.96505004,0.98460354,0.96218226,0.98507961,0.00000000,0.00000000,0.00000000,0.83076280,0.80181855,0.81587852,0.95662506
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.95444379,0.98460354,0.95515189,0.98507961,0.89782777,0.92000000,0.90762208,0.95950662,0.95515189,0.95618936,0.94484720
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.96212471,0.98737490,0.95908380,0.98767807,0.00000000,0.00000000,0.00000000,0.83225793,0.79923650,0.81522705,0.95324199
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.95821071,0.98737490,0.95681983,0.98767807,0.88694453,0.94550000,0.91439899,0.96552596,0.95681983,0.96042772,0.94928727
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.96166282,0.98414165,0.95882263,0.98498115,0.00000000,0.00000000,0.00000000,0.83202071,0.79901885,0.81503826,0.95266969
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.91018246,0.98414165,0.92285219,0.98498115,0.85976804,0.74300000,0.79507021,0.90928930,0.92285219,0.90830700,0.89378726
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.97752117,0.99137798,0.97320880,0.99148115,0.00000000,0.00000000,0.00000000,0.83227315,0.81100733,0.82138367,0.97185251
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.96562684,0.99137798,0.96550733,0.99148115,0.92966280,0.92700000,0.92661012,0.96649405,0.96550733,0.96428964,0.95867253
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.96388889,0.98444444,0.95987500,0.98400000,0.00000000,0.00000000,0.00000000,0.83052159,0.79989583,0.81475069,0.95559326
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.96608539,0.98444444,0.96327401,0.98400000,0.81994758,0.98026906,0.89262209,0.96477515,0.96327401,0.96234484,0.95947962
