dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97875257,0.98629198,0.97767109,0.98700768,0.00000000,0.00000000,0.00000000,0.83142857,0.81472591,0.82296328,0.97365006
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93972272,0.98629198,0.92389257,0.98700768,0.81875000,0.65500000,0.72777778,0.93553645,0.92389257,0.92738460,0.92758241
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98080877,0.98834818,0.98102304,0.98888268,0.00000000,0.00000000,0.00000000,0.83280757,0.81751920,0.82505450,0.97619219
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95298373,0.98834818,0.94251920,0.98888268,0.84745763,0.75000000,0.79575597,0.94930838,0.94251920,0.94497045,0.94329681
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98149417,0.99040439,0.98115573,0.99125000,0.00000000,0.00000000,0.00000000,0.83238636,0.81762977,0.82492832,0.97701291
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.95539482,0.99040439,0.94512977,0.99125000,0.85474860,0.76500000,0.80738786,0.95193346,0.94512977,0.94777332,0.94615308
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97532557,0.99040439,0.97405377,0.99125000,0.00000000,0.00000000,0.00000000,0.82954545,0.81171148,0.82049197,0.96944147
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94755877,0.99040439,0.93587814,0.99125000,0.82320442,0.74500000,0.78215223,0.94229418,0.93587814,0.93806670,0.93686161
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98080877,0.98903358,0.98053073,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.81710894,0.82507957,0.97622900
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95660036,0.98903358,0.94710894,0.99000000,0.84782609,0.78000000,0.81250000,0.95283719,0.94710894,0.94935588,0.94760884
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.96381832,0.98383372,0.96102304,0.98500000,0.00000000,0.00000000,0.00000000,0.83119937,0.80085254,0.81559101,0.95509767
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.96939376,0.98383372,0.96543587,0.98500000,0.90182648,0.98750000,0.94272076,0.97667396,0.96543587,0.97035161,0.96291051
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96381832,0.97382602,0.96441341,0.97750000,0.00000000,0.00000000,0.00000000,0.83010750,0.80367784,0.81654813,0.95521854
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.93819894,0.97382602,0.94617784,0.97750000,0.88831169,0.85500000,0.87133758,0.93293122,0.94617784,0.93737466,0.92530453
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.97228637,0.98845266,0.97089036,0.98825768,0.00000000,0.00000000,0.00000000,0.83028494,0.80907530,0.81944671,0.96534178
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.96880518,0.98845266,0.96865864,0.98825768,0.92512077,0.95750000,0.94103194,0.96758341,0.96865864,0.96793643,0.96196559
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.96150885,0.98537336,0.95803073,0.98263268,0.00000000,0.00000000,0.00000000,0.83057201,0.79835894,0.81400676,0.95231850
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.96880518,0.98537336,0.96377561,0.98263268,0.89616253,0.99250000,0.94187426,0.97662177,0.96377561,0.96945171,0.96226282
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.96381832,0.99153195,0.95655377,0.99200768,0.00000000,0.00000000,0.00000000,0.83165016,0.79712814,0.81379996,0.95514882
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.92701589,0.99153195,0.93171148,0.99200768,0.87771739,0.80750000,0.84114583,0.94372272,0.93171148,0.93583241,0.91179253
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.95842956,0.98614319,0.95405377,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.79504481,0.81359541,0.94884716
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.95173632,0.98614319,0.95004481,0.98687500,0.87323944,0.93000000,0.90072639,0.95495802,0.95004481,0.95209706,0.94117912
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96535797,0.97921478,0.96664804,0.98250000,0.00000000,0.00000000,0.00000000,0.83225806,0.80554004,0.81857226,0.95720196
