dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98560658,0.98629198,0.98589036,0.98700768,0.00000000,0.00000000,0.00000000,0.82887762,0.82157530,0.82516828,0.98198801
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.90355636,0.98629198,0.87240864,0.98700768,0.81333333,0.30500000,0.44363636,0.90062722,0.87240864,0.86523219,0.88672474
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98423578,0.99108979,0.98414804,0.99138268,0.00000000,0.00000000,0.00000000,0.83019119,0.82012337,0.82508110,0.98030337
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.93248945,0.99108979,0.91262337,0.99138268,0.86718750,0.55500000,0.67682927,0.92856842,0.91262337,0.91405441,0.91943009
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99177519,0.99246059,0.99250000,0.99312500,0.00000000,0.00000000,0.00000000,0.82877126,0.82708333,0.82790758,0.98964930
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.91018686,0.99246059,0.87958333,0.99312500,0.94029851,0.31500000,0.47191011,0.91245804,0.87958333,0.86794325,0.89503031
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98560658,0.98971899,0.98539804,0.99062500,0.00000000,0.00000000,0.00000000,0.82680363,0.82116504,0.82389700,0.98199621
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.92766727,0.98971899,0.90533170,0.99062500,0.88596491,0.50500000,0.64331210,0.92440330,0.90533170,0.90500891,0.91415046
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98903358,0.99040439,0.98950768,0.99075768,0.00000000,0.00000000,0.00000000,0.82926695,0.82458973,0.82689442,0.98623554
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93911995,0.99040439,0.92042307,0.99075768,0.92741935,0.57500000,0.70987654,0.94228084,0.92042307,0.92355125,0.92767217
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97921478,0.98383372,0.98151536,0.98625000,0.00000000,0.00000000,0.00000000,0.82861229,0.81792947,0.82321119,0.97381189
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.78516775,0.98383372,0.84376280,0.98625000,0.75609756,0.15500000,0.25726141,0.81759028,0.84376280,0.78634616,0.76653872
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96997691,0.97151655,0.97227304,0.97477304,0.00000000,0.00000000,0.00000000,0.81782431,0.81022754,0.81366297,0.96229604
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.77751619,0.97151655,0.83564420,0.97477304,0.77215190,0.15250000,0.25469729,0.77520213,0.83564420,0.74977252,0.75810226
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98691301,0.98768283,0.98700768,0.98763268,0.00000000,0.00000000,0.00000000,0.82783876,0.82250640,0.82513850,0.98337593
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.86462625,0.98768283,0.90042307,0.98763268,0.95897436,0.46750000,0.62857143,0.86864363,0.90042307,0.86079827,0.84753100
