dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.87566827,0.98766278,0.87441550,0.98845461,0.00000000,0.00000000,0.00000000,0.83333333,0.72867959,0.77716186,0.85827525
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.89029536,0.98766278,0.89484625,0.98845461,0.52560020,0.99700000,0.68772900,0.92039221,0.89484625,0.89154676,0.87583014
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.87990762,0.98121632,0.87899581,0.98170461,0.00000000,0.00000000,0.00000000,0.83150994,0.73249651,0.77820074,0.86117905
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.89652737,0.98121632,0.89091318,0.98170461,0.71162146,0.95050000,0.81296855,0.93435162,0.89091318,0.90502695,0.87775618
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.87313318,0.98845266,0.87549511,0.98782961,0.00000000,0.00000000,0.00000000,0.83186299,0.72957926,0.77674344,0.85445551
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89758682,0.98845266,0.89241259,0.98782961,0.70682639,0.97700000,0.81948052,0.94137804,0.89241259,0.90899345,0.87993108
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87806005,0.98229407,0.88164665,0.98273115,0.00000000,0.00000000,0.00000000,0.83149391,0.73470554,0.77967837,0.85949960
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.85014715,0.98229407,0.86128887,0.98273115,0.65745469,0.75950000,0.70064429,0.88178255,0.86128887,0.86062807,0.82183957
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.86989992,0.99045420,0.87435126,0.99000768,0.00000000,0.00000000,0.00000000,0.83212750,0.72862605,0.77650573,0.85099558
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.89664509,0.99045420,0.89254271,0.99000768,0.70138467,0.98350000,0.81866988,0.94240298,0.89254271,0.90974783,0.87900982
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.85263889,0.97958333,0.85725000,0.97712500,0.00000000,0.00000000,0.00000000,0.83156480,0.71437500,0.76802164,0.83435145
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.87239928,0.97958333,0.88104167,0.97712500,0.51552930,1.00000000,0.67997319,0.91748635,0.88104167,0.88135050,0.85675860
