dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.86634681,0.98492118,0.86680168,0.98526536,0.00000000,0.00000000,0.00000000,0.83333333,0.72233473,0.77313719,0.84876980
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.88245931,0.98492118,0.88900140,0.98526536,0.50632911,1.00000000,0.67226891,0.91772152,0.88900140,0.88518200,0.86776002
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.85400960,0.98560658,0.85210545,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.71008787,0.76667792,0.83578310
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87100663,0.98560658,0.87592121,0.98687500,0.48300971,0.99500000,0.65032680,0.91323327,0.87592121,0.87480715,0.85522577
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.87251542,0.99040439,0.86996508,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.72497090,0.77521885,0.85470977
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.88788427,0.99040439,0.89163757,0.99075768,0.51813472,1.00000000,0.68259386,0.91968912,0.89163757,0.88898450,0.87317914
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.88553804,0.98834818,0.88676327,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.73896939,0.78309434,0.86851664
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89873418,0.98834818,0.90480272,0.98937500,0.54371585,0.99500000,0.70318021,0.92292383,0.90480272,0.89982816,0.88473589
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.89993146,0.98903358,0.89644204,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.74703503,0.78768099,0.88359694
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.91139241,0.98903358,0.91286837,0.99000000,0.57681159,0.99500000,0.73027523,0.92839333,0.91286837,0.90893199,0.89824990
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.86374134,0.97998460,0.86102654,0.97964036,0.00000000,0.00000000,0.00000000,0.83333333,0.71752211,0.77070722,0.84433019
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.89582107,0.97998460,0.88418878,0.97964036,0.69324090,1.00000000,0.81883316,0.94887348,0.88418878,0.90717942,0.87880094
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.89453426,0.97228637,0.89526885,0.97575768,0.00000000,0.00000000,0.00000000,0.83020833,0.74605738,0.78493127,0.87661866
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.91406710,0.97228637,0.90897405,0.97575768,0.74476190,0.97750000,0.84540541,0.94562600,0.90897405,0.92135839,0.89828977
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.87836798,0.98383372,0.88604399,0.98437500,0.00000000,0.00000000,0.00000000,0.83225108,0.73837000,0.78190484,0.86007606
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.89464391,0.98383372,0.89628666,0.98437500,0.70708955,0.94750000,0.80982906,0.93022921,0.89628666,0.90669478,0.87534673
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.87528868,0.98306390,0.86884777,0.98187500,0.00000000,0.00000000,0.00000000,0.83333333,0.72403980,0.77450744,0.85619704
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.90464979,0.98306390,0.89070647,0.98187500,0.71174377,1.00000000,0.83160083,0.95195730,0.89070647,0.91310758,0.88860577
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.88760585,0.98691301,0.88379190,0.98687500,0.00000000,0.00000000,0.00000000,0.82842361,0.73649325,0.77895291,0.86867328
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.87345497,0.98691301,0.87440992,0.98687500,0.70127119,0.82750000,0.75917431,0.89507210,0.87440992,0.87679459,0.84773771
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.84295612,0.98460354,0.84191690,0.98464036,0.00000000,0.00000000,0.00000000,0.83333333,0.70159742,0.76122314,0.82342183
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.87992937,0.98460354,0.86826408,0.98464036,0.66225166,1.00000000,0.79681275,0.94370861,0.86826408,0.89402527,0.86135016
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.89684373,0.99307159,0.90380936,0.99375000,0.00000000,0.00000000,0.00000000,0.83126294,0.75317446,0.78970159,0.87944155
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.90641554,0.99307159,0.90942446,0.99375000,0.73964497,0.93750000,0.82690187,0.93241395,0.90942446,0.91558872,0.88840714
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.88529638,0.99153195,0.89297486,0.99125000,0.00000000,0.00000000,0.00000000,0.83023064,0.74414572,0.78450136,0.86704427
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.91112419,0.99153195,0.90997905,0.99125000,0.73161765,0.99500000,0.84322034,0.95101351,0.90997905,0.92452050,0.89574403
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.86066205,0.98691301,0.85617668,0.98562500,0.00000000,0.00000000,0.00000000,0.83333333,0.71348056,0.76852331,0.84105587
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.89346675,0.98691301,0.88014723,0.98562500,0.68846816,1.00000000,0.81549439,0.94807803,0.88014723,0.90443904,0.87612538
