dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98930775,0.98944483,0.98985615,0.98998115,0.00000000,0.00000000,0.00000000,0.85825120,0.85781762,0.85797215,0.98655873
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.89113924,0.98944483,0.85404679,0.98998115,0.85349468,0.17500000,0.28098877,0.88622270,0.85404679,0.82812765,0.87386710
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.98260200,0.98367975,0.98328422,0.98415922,0.00000000,0.00000000,0.00000000,0.82015835,0.81940351,0.81965725,0.97792976
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75173632,0.98367975,0.81973685,0.98415922,0.14444444,0.00200000,0.00393619,0.66577634,0.81973685,0.70639188,0.74020508
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98290993,0.98414165,0.98382961,0.98482961,0.00000000,0.00000000,0.00000000,0.85432198,0.85269134,0.85341870,0.97832740
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.80529723,0.98414165,0.85794134,0.98482961,0.82438544,0.22850000,0.32977283,0.81398050,0.85794134,0.78997414,0.78728141
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98290993,0.98321786,0.98402654,0.98427654,0.00000000,0.00000000,0.00000000,0.85375383,0.85289711,0.85318514,0.97832520
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.75397293,0.98321786,0.82177211,0.98427654,0.46666667,0.01050000,0.02046506,0.78117067,0.82177211,0.73304079,0.75882230
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98829869,0.98829869,0.98765922,0.98765922,0.00000000,0.00000000,0.00000000,0.89057906,0.88886313,0.88968111,0.98511127
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.76056504,0.98829869,0.82654935,0.98765922,0.60000000,0.02100000,0.04024255,0.77212134,0.82654935,0.73011728,0.75469716
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97972222,0.98041667,0.97687500,0.97762500,0.00000000,0.00000000,0.00000000,0.84932360,0.84677083,0.84790848,0.97441153
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.84954901,0.98041667,0.81555727,0.97762500,0.29545455,0.00896861,0.01721511,0.78208542,0.81555727,0.76995933,0.83006683
