dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98903358,0.98971899,0.98901536,0.98964036,0.00000000,0.00000000,0.00000000,0.82654755,0.82417947,0.82532661,0.98621602
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87221218,0.98971899,0.82751280,0.98964036,0.40000000,0.02000000,0.03809524,0.80633074,0.82751280,0.78501891,0.85255856
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98697738,0.98697738,0.98812500,0.98812500,0.00000000,0.00000000,0.00000000,0.98674945,0.98812500,0.98737165,0.98360621
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87823990,0.98697738,0.83760417,0.98812500,1.00000000,0.08500000,0.15668203,0.89195466,0.83760417,0.79506785,0.85993648
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99108979,0.99108979,0.99138268,0.99138268,0.00000000,0.00000000,0.00000000,0.82674216,0.82615223,0.82641521,0.98878282
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.89933695,0.99108979,0.86448557,0.99138268,0.97872340,0.23000000,0.37246964,0.91596297,0.86448557,0.84921743,0.88310813
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.99040439,0.99040439,0.99125000,0.99125000,0.00000000,0.00000000,0.00000000,0.82486044,0.82604167,0.82534437,0.98795956
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90837854,0.99040439,0.87770833,0.99125000,0.96875000,0.31000000,0.46969697,0.91578930,0.87770833,0.86631081,0.89304090
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98903358,0.98903358,0.98950768,0.98950768,0.00000000,0.00000000,0.00000000,0.82635638,0.82458973,0.82540293,0.98622902
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.89752863,0.98903358,0.86292307,0.98950768,0.92000000,0.23000000,0.36800000,0.90107586,0.86292307,0.84502328,0.88069144
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97767513,0.98152425,0.97901536,0.98214036,0.00000000,0.00000000,0.00000000,0.81667531,0.81584614,0.81610367,0.97168265
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.74867569,0.98152425,0.81667947,0.98214036,0.22222222,0.00500000,0.00977995,0.67052688,0.81667947,0.69994411,0.73620527
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97382602,0.97382602,0.97700768,0.97700768,0.00000000,0.00000000,0.00000000,0.81715556,0.81417307,0.81532895,0.96699321
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74455562,0.97382602,0.81417307,0.97700768,0.00000000,0.00000000,0.00000000,0.65616317,0.81417307,0.71144713,0.73217008
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98845266,0.98845266,0.98875000,0.98875000,0.00000000,0.00000000,0.00000000,0.82275414,0.82395833,0.82332282,0.98530269
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75573867,0.98845266,0.82395833,0.98875000,0.00000000,0.00000000,0.00000000,0.63733779,0.82395833,0.70256311,0.74616595
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.98691301,0.98845266,0.98513268,0.98638268,0.00000000,0.00000000,0.00000000,0.82403486,0.82094390,0.82246095,0.98331250
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.75573867,0.98845266,0.82177723,0.98638268,0.50000000,0.00500000,0.00990099,0.73217926,0.82177723,0.71903556,0.74290482
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98614319,0.98614319,0.98651536,0.98651536,0.00000000,0.00000000,0.00000000,0.82017188,0.82209614,0.82106986,0.98235773
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75397293,0.98614319,0.82209614,0.98651536,0.00000000,0.00000000,0.00000000,0.63267462,0.82209614,0.69896951,0.74357930
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.98383372,0.98537336,0.98401536,0.98526536,0.00000000,0.00000000,0.00000000,0.82314273,0.82001280,0.82150740,0.97949501
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.85932902,0.98537336,0.89584614,0.98526536,0.95287958,0.45500000,0.61590525,0.87250513,0.89584614,0.85659676,0.84270222
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.97536567,0.97767513,0.97937500,0.98125000,0.00000000,0.00000000,0.00000000,0.82004158,0.81614583,0.81785196,0.96899534
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.79811654,0.97767513,0.85322917,0.98125000,0.84761905,0.22250000,0.35247525,0.83030859,0.85322917,0.80138124,0.77646557
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98691301,0.98845266,0.98750000,0.98875000,0.00000000,0.00000000,0.00000000,0.82291935,0.82291667,0.82287451,0.98334378
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.85226604,0.98845266,0.89208333,0.98875000,0.98809524,0.41500000,0.58450704,0.87322894,0.89208333,0.85564304,0.83432432
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98537336,0.98537336,0.98500000,0.98500000,0.00000000,0.00000000,0.00000000,0.98640287,0.98500000,0.98567182,0.98134559
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.76397881,0.98537336,0.82833333,0.98500000,1.00000000,0.04500000,0.08612440,0.80804798,0.82833333,0.72946294,0.74689990
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.98306390,0.98383372,0.98325768,0.98388268,0.00000000,0.00000000,0.00000000,0.81910335,0.81938140,0.81918783,0.97845728
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.75279576,0.98383372,0.82021473,0.98388268,0.33333333,0.00500000,0.00985222,0.68581185,0.82021473,0.70678675,0.73601505
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.98152425,0.98229407,0.98125000,0.98187500,0.00000000,0.00000000,0.00000000,0.82263669,0.81770833,0.82008597,0.97651346
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.75161860,0.98229407,0.81854167,0.98187500,0.25000000,0.00500000,0.00980392,0.74430391,0.81854167,0.73039525,0.75562495
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.97536567,0.97536567,0.97875000,0.97875000,0.00000000,0.00000000,0.00000000,0.81678016,0.81562500,0.81585261,0.96893885
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.74985285,0.97536567,0.81854167,0.97875000,0.58333333,0.01750000,0.03398058,0.79644373,0.81854167,0.73083985,0.75235939
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.98845266,0.98922248,0.98875000,0.98937500,0.00000000,0.00000000,0.00000000,0.82331384,0.82395833,0.82360251,0.98529945
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.75750441,0.98922248,0.82520833,0.98937500,0.75000000,0.00750000,0.01485149,0.83090019,0.82520833,0.73521682,0.76401405
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.98614319,0.98614319,0.98625000,0.98625000,0.00000000,0.00000000,0.00000000,0.98723770,0.98625000,0.98667943,0.98235442
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.75397293,0.98614319,0.82187500,0.98625000,0.00000000,0.00000000,0.00000000,0.70161721,0.82187500,0.72994743,0.75969251
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.98306390,0.98306390,0.98513268,0.98513268,0.00000000,0.00000000,0.00000000,0.81880077,0.82094390,0.81970516,0.97851980
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.75691583,0.98306390,0.82469390,0.98513268,0.75000000,0.02250000,0.04368932,0.83258831,0.82469390,0.73880460,0.76242062
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.99076212,0.99076212,0.98914804,0.98914804,0.00000000,0.00000000,0.00000000,0.98855406,0.98914804,0.98884672,0.98821744
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.77104179,0.99076212,0.83387337,0.98914804,1.00000000,0.05750000,0.10874704,0.86692231,0.83387337,0.76485208,0.76490468
