dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.91487320,0.98684030,0.91331634,0.98671997,0.00000000,0.00000000,0.00000000,0.83312102,0.76109695,0.79526380,0.89997064
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92501507,0.98684030,0.92759695,0.98671997,0.61831481,0.99900000,0.76358550,0.93606834,0.92759695,0.92247638,0.91338121
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.91100847,0.97859892,0.91194134,0.97799651,0.00000000,0.00000000,0.00000000,0.82978078,0.75995112,0.79300983,0.89457793
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.92018835,0.97859892,0.91828445,0.97799651,0.77257550,0.95000000,0.85164839,0.94151402,0.91828445,0.92591204,0.90458826
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.90577367,0.97859892,0.90749092,0.97812151,0.00000000,0.00000000,0.00000000,0.82626775,0.75624243,0.78907173,0.88851793
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89558564,0.97859892,0.89999243,0.97812151,0.74825477,0.86250000,0.79850110,0.91603794,0.89999243,0.90142350,0.87542881
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.91254811,0.98013857,0.91418785,0.98009497,0.00000000,0.00000000,0.00000000,0.82777250,0.76182321,0.79297336,0.89615559
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.87310182,0.98013857,0.88598987,0.98009497,0.73213199,0.74500000,0.73472628,0.89051164,0.88598987,0.87847370,0.84915490
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.91316397,0.98352579,0.91334707,0.98249651,0.00000000,0.00000000,0.00000000,0.82856613,0.76112256,0.79295224,0.89695838
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90618011,0.98352579,0.90837256,0.98249651,0.76624991,0.88350000,0.81714958,0.92637898,0.90837256,0.91111837,0.88823809
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90638889,0.97888889,0.90925000,0.97762500,0.00000000,0.00000000,0.00000000,0.82735197,0.75770833,0.79050973,0.89010904
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88093806,0.97888889,0.87714032,0.97762500,0.53697757,0.71659193,0.60898535,0.87921262,0.87714032,0.86862044,0.86024089
