dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98821110,0.98958191,0.98895461,0.99050000,0.00000000,0.00000000,0.00000000,0.82852677,0.82412884,0.82626027,0.98523124
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92875226,0.98958191,0.90662884,0.99050000,0.90643817,0.49500000,0.63856293,0.93087135,0.90662884,0.90729681,0.91561054
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.98214011,0.98645112,0.98303422,0.98698115,0.00000000,0.00000000,0.00000000,0.82660575,0.81919518,0.82280635,0.97742094
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75797528,0.98645112,0.82419518,0.98698115,0.44742540,0.03000000,0.05586453,0.74006044,0.82419518,0.72911964,0.74533886
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98152425,0.98799076,0.98193575,0.98817807,0.00000000,0.00000000,0.00000000,0.82708388,0.81827980,0.82259184,0.97668821
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.86474397,0.98799076,0.89919646,0.98817807,0.91673863,0.48550000,0.61202849,0.87873424,0.89919646,0.86670406,0.84759448
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98152425,0.98521940,0.98228422,0.98607961,0.00000000,0.00000000,0.00000000,0.82603048,0.81857018,0.82219845,0.97665386
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.84367275,0.98521940,0.88457018,0.98607961,0.90785583,0.39600000,0.54318135,0.87901837,0.88457018,0.84285960,0.83307756
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98999230,0.99353349,0.98966690,0.99392807,0.00000000,0.00000000,0.00000000,0.83057266,0.82472242,0.82761688,0.98732141
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.85768099,0.99353349,0.89605575,0.99392807,0.94718208,0.42800000,0.58918579,0.87248332,0.89605575,0.85137650,0.84461984
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98263889,0.98666667,0.98187500,0.98625000,0.00000000,0.00000000,0.00000000,0.82737985,0.81822917,0.82272284,0.97825423
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.90835839,0.98666667,0.88967909,0.98625000,0.82589425,0.42869955,0.55358743,0.90913771,0.88967909,0.88447012,0.89283680
