dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98766278,0.98875942,0.98776536,0.98915922,0.00000000,0.00000000,0.00000000,0.82853434,0.82313780,0.82578547,0.98453158
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92441230,0.98875942,0.90030447,0.98915922,0.90113043,0.46300000,0.60956873,0.92414780,0.90030447,0.89889592,0.91061518
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97613549,0.97998460,0.97629958,0.98049651,0.00000000,0.00000000,0.00000000,0.82515503,0.81358298,0.81926856,0.96995041
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.78999411,0.97998460,0.84449965,0.98049651,0.64875532,0.18550000,0.27781881,0.77936074,0.84449965,0.76898477,0.77285686
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97906082,0.98337182,0.97956844,0.98446229,0.00000000,0.00000000,0.00000000,0.82521320,0.81630703,0.82065988,0.97360515
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92042378,0.98337182,0.93797370,0.98446229,0.94277473,0.73000000,0.82150923,0.91692895,0.93797370,0.92148325,0.90607892
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.97859892,0.98137028,0.97835265,0.98164804,0.00000000,0.00000000,0.00000000,0.82276899,0.81529388,0.81896957,0.97290605
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.85791642,0.98137028,0.89296054,0.98164804,0.93163187,0.46600000,0.61726416,0.86730071,0.89296054,0.85172739,0.84172953
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98814473,0.99076212,0.98685265,0.99041690,0.00000000,0.00000000,0.00000000,0.82724218,0.82237721,0.82476699,0.98496477
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.86674514,0.99076212,0.90112721,0.99041690,0.93513701,0.47250000,0.55776581,0.89079628,0.90112721,0.85653830,0.85941395
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98000000,0.98541667,0.97900000,0.98475000,0.00000000,0.00000000,0.00000000,0.82322560,0.81583333,0.81938885,0.97492474
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.90667468,0.98541667,0.88803064,0.98475000,0.85516920,0.43318386,0.56853196,0.90538133,0.88803064,0.88169858,0.89047940
