dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98423578,0.98697738,0.98365573,0.98763268,0.00000000,0.00000000,0.00000000,0.82792617,0.81971311,0.82377000,0.98026684
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.92163954,0.98697738,0.89721311,0.98763268,0.86111111,0.46500000,0.60389610,0.91813247,0.89721311,0.89666824,0.90699310
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98697738,0.98766278,0.98714036,0.98776536,0.00000000,0.00000000,0.00000000,0.82817596,0.82261697,0.82532527,0.98366619
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.92585895,0.98766278,0.90261697,0.98776536,0.91428571,0.48000000,0.62950820,0.92639569,0.90261697,0.90221963,0.91213433
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99040439,0.99040439,0.99075768,0.99075768,0.00000000,0.00000000,0.00000000,0.82876126,0.82563140,0.82718074,0.98792842
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93007836,0.99040439,0.90729807,0.99075768,0.94230769,0.49000000,0.64473684,0.93711610,0.90729807,0.90905534,0.91750541
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98697738,0.98766278,0.98714036,0.98776536,0.00000000,0.00000000,0.00000000,0.82788444,0.82261697,0.82517117,0.98368653
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90958409,0.98766278,0.88011697,0.98776536,0.87341772,0.34500000,0.49462366,0.90686034,0.88011697,0.87265637,0.89367591
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98971899,0.99108979,0.99013268,0.99187500,0.00000000,0.00000000,0.00000000,0.82992385,0.82511057,0.82748017,0.98710993
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93490054,0.99108979,0.91427723,0.99187500,0.91452991,0.53500000,0.67507886,0.93223443,0.91427723,0.91387999,0.92276715
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97767513,0.98152425,0.97740573,0.98151536,0.00000000,0.00000000,0.00000000,0.82342932,0.81450477,0.81892289,0.97175699
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.83990583,0.98152425,0.87992144,0.98151536,0.90751445,0.39250000,0.54799302,0.84064463,0.87992144,0.82882642,0.82170102
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97228637,0.97305620,0.97589036,0.97714036,0.00000000,0.00000000,0.00000000,0.82419484,0.81324197,0.81845872,0.96529885
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.75456151,0.97305620,0.82115864,0.97714036,0.44186047,0.04750000,0.08577878,0.72303828,0.82115864,0.71555796,0.74043579
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98152425,0.98383372,0.98214036,0.98401536,0.00000000,0.00000000,0.00000000,0.82623296,0.81845030,0.82230519,0.97663427
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.82577987,0.98383372,0.87178364,0.98401536,0.89510490,0.32000000,0.47145488,0.82726737,0.87178364,0.81555196,0.80552598
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.97228637,0.98075443,0.97151536,0.98026536,0.00000000,0.00000000,0.00000000,0.82535943,0.80959614,0.81738806,0.96516810
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.74926427,0.98075443,0.81376280,0.98026536,0.27777778,0.02500000,0.04587156,0.71065992,0.81376280,0.72430174,0.73081859
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.97690531,0.98075443,0.97454609,0.97954609,0.00000000,0.00000000,0.00000000,0.82655863,0.81212174,0.81926795,0.97089386
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.78045909,0.98075443,0.83587174,0.97954609,0.72151899,0.14250000,0.23799582,0.79519350,0.83587174,0.76068577,0.76580291
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97921478,0.98691301,0.97964036,0.98750000,0.00000000,0.00000000,0.00000000,0.82609699,0.81636697,0.82118614,0.97376032
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.93584461,0.98691301,0.94886697,0.98750000,0.94642857,0.79500000,0.86413043,0.94335635,0.94886697,0.94410946,0.92312166
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96920708,0.97228637,0.97276536,0.97589036,0.00000000,0.00000000,0.00000000,0.81933566,0.81063780,0.81470684,0.96138820
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.91524426,0.97228637,0.93397114,0.97589036,0.92500000,0.74000000,0.82222222,0.90447557,0.93397114,0.91132750,0.89998311
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98383372,0.98537336,0.98401536,0.98526536,0.00000000,0.00000000,0.00000000,0.82688497,0.82001280,0.82341112,0.97953746
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.93761036,0.98537336,0.95126280,0.98526536,0.96036585,0.78750000,0.86538462,0.93630970,0.95126280,0.94055024,0.92582169
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98229407,0.98691301,0.97977304,0.98714036,0.00000000,0.00000000,0.00000000,0.82659263,0.81647754,0.82148346,0.97759910
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.91701001,0.98691301,0.93397754,0.98714036,0.94949495,0.70500000,0.80918221,0.90835876,0.93397754,0.91593939,0.90190558
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.98075443,0.98537336,0.98164804,0.98651536,0.00000000,0.00000000,0.00000000,0.82715572,0.81804004,0.82251186,0.97574069
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.89640965,0.98537336,0.92179004,0.98651536,0.93258427,0.62250000,0.74662669,0.89214436,0.92179004,0.89548968,0.87956254
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.97767513,0.97998460,0.97691341,0.97977304,0.00000000,0.00000000,0.00000000,0.82249310,0.81409451,0.81824850,0.97171174
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.86168334,0.97998460,0.89492784,0.97977304,0.93269231,0.48500000,0.63815789,0.85396568,0.89492784,0.85034187,0.84361033
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.96689761,0.96766744,0.96816341,0.96878841,0.00000000,0.00000000,0.00000000,0.81482293,0.80680284,0.81069971,0.95816877
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.82813420,0.96766744,0.86971951,0.96878841,0.89349112,0.37750000,0.53075571,0.83570701,0.86971951,0.81750591,0.80965683
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.98537336,0.98614319,0.98526536,0.98589036,0.00000000,0.00000000,0.00000000,0.82573962,0.82105447,0.82336066,0.98141316
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.87875221,0.98614319,0.90980447,0.98589036,0.96818182,0.53250000,0.68709677,0.89094255,0.90980447,0.87603572,0.86482678
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.98460354,0.99153195,0.98227304,0.99089036,0.00000000,0.00000000,0.00000000,0.82659288,0.81856087,0.82254243,0.98046203
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.83696292,0.99153195,0.87814420,0.99089036,0.92857143,0.35750000,0.51624549,0.85905440,0.87814420,0.83197555,0.82042668
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.97844496,0.98152425,0.97914804,0.98289804,0.00000000,0.00000000,0.00000000,0.82419641,0.81595670,0.81999656,0.97277456
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.88404944,0.98152425,0.91220670,0.98289804,0.93522267,0.57750000,0.71406491,0.89683390,0.91220670,0.88277791,0.87012701
