dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.96477039,0.98958191,0.96610265,0.99010615,0.00000000,0.00000000,0.00000000,0.83166231,0.80508554,0.81801865,0.95692491
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96250753,0.98958191,0.96275221,0.99010615,0.79269762,0.94600000,0.86208464,0.95562691,0.96275221,0.95748395,0.95520883
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95704388,0.97998460,0.96011802,0.98071229,0.00000000,0.00000000,0.00000000,0.82733046,0.80009835,0.81328415,0.94709623
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88758093,0.97998460,0.91043168,0.98071229,0.80648942,0.66200000,0.71000517,0.89552453,0.91043168,0.88920479,0.87230584
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.96150885,0.98383372,0.96379609,0.98414036,0.00000000,0.00000000,0.00000000,0.82757158,0.80316341,0.81494367,0.95242849
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92783991,0.98383372,0.93958007,0.98414036,0.87864857,0.81850000,0.84529074,0.92604254,0.93958007,0.92732612,0.91418439
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.96920708,0.98506543,0.97162151,0.98533729,0.00000000,0.00000000,0.00000000,0.82835828,0.80968459,0.81880673,0.96165983
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.84532078,0.98506543,0.88351792,0.98533729,0.82465634,0.44300000,0.56567012,0.87295880,0.88351792,0.84744084,0.83085675
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96720554,0.99199384,0.96779260,0.99200768,0.00000000,0.00000000,0.00000000,0.82900899,0.80649383,0.81739722,0.95934208
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.91912890,0.99199384,0.93366050,0.99200768,0.88489043,0.76300000,0.80574279,0.92276194,0.93366050,0.91795272,0.90684581
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95875000,0.98333333,0.95925000,0.98250000,0.00000000,0.00000000,0.00000000,0.82783822,0.79937500,0.81319100,0.94948196
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.93734215,0.98333333,0.93255886,0.98250000,0.75626968,0.79910314,0.76909253,0.92875262,0.93255886,0.92746950,0.92530365
