dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.92460589,0.98971899,0.92041899,0.98964036,0.00000000,0.00000000,0.00000000,0.83333333,0.76701583,0.79859191,0.91064155
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93188668,0.98971899,0.93118250,0.98964036,0.64169381,0.98500000,0.77712032,0.93866940,0.93118250,0.92733477,0.92062034
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.88896504,0.98766278,0.88693436,0.98875000,0.00000000,0.00000000,0.00000000,0.83333333,0.73911196,0.78316838,0.87200268
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.90235081,0.98766278,0.90577863,0.98875000,0.55248619,1.00000000,0.71174377,0.92541436,0.90577863,0.90179234,0.88868699
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.92803290,0.99040439,0.92797486,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.77331238,0.80208855,0.91457598
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93610609,0.99040439,0.93914572,0.99075768,0.65460526,0.99500000,0.78968254,0.94188233,0.93914572,0.93344255,0.92561702
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.93283071,0.98971899,0.93382682,0.99062500,0.00000000,0.00000000,0.00000000,0.83138402,0.77818901,0.80372050,0.91989875
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93972272,0.98971899,0.94318901,0.99062500,0.67346939,0.99000000,0.80161943,0.94211938,0.94318901,0.93660543,0.92953974
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.93694311,0.98903358,0.93511522,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.77926269,0.80522427,0.92461234
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.94213382,0.98903358,0.94259602,0.98950768,0.68055556,0.98000000,0.80327869,0.94465621,0.94259602,0.93806905,0.93211223
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.91070054,0.98460354,0.91538059,0.98450768,0.00000000,0.00000000,0.00000000,0.83333333,0.76281716,0.79628145,0.89462909
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.92525015,0.98460354,0.92490049,0.98450768,0.77029703,0.97250000,0.85966851,0.95048120,0.92490049,0.93408094,0.91105623
