dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98601782,0.98629198,0.98577304,0.98621997,0.00000000,0.00000000,0.00000000,0.88751604,0.88717074,0.88726785,0.98241157
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.87631103,0.98629198,0.83414420,0.98621997,0.92082747,0.07600000,0.13755150,0.88131617,0.83414420,0.79348574,0.85723517
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97551963,0.97659738,0.97554958,0.97687151,0.00000000,0.00000000,0.00000000,0.81192021,0.81295798,0.81223722,0.96894722
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.76397881,0.97659738,0.82579132,0.97687151,0.77609772,0.07700000,0.13474003,0.76751514,0.82579132,0.72688362,0.74736116
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97767513,0.97813703,0.97754958,0.97814804,0.00000000,0.00000000,0.00000000,0.84592346,0.84702933,0.84617831,0.97168680
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.78646263,0.97813703,0.84220798,0.97814804,0.43243993,0.16550000,0.22074901,0.73752199,0.84220798,0.76093726,0.76957339
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.97798306,0.97844496,0.97777304,0.97827304,0.00000000,0.00000000,0.00000000,0.91006890,0.91300850,0.91138216,0.97202288
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.74985285,0.97844496,0.81631087,0.97827304,0.76000000,0.00900000,0.01771572,0.76954923,0.81631087,0.70978338,0.73624103
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98229407,0.98229407,0.98133380,0.98133380,0.00000000,0.00000000,0.00000000,0.84895967,0.85068727,0.84970338,0.97748251
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.75432607,0.98229407,0.82011150,0.98133380,0.64666667,0.01400000,0.02724860,0.77667976,0.82011150,0.72779083,0.74295164
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97791667,0.97805556,0.97737500,0.97762500,0.00000000,0.00000000,0.00000000,0.81015731,0.81447917,0.81204385,0.97217590
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.86806975,0.97805556,0.84093657,0.97762500,0.54286727,0.15874439,0.21184568,0.81258593,0.84093657,0.79174261,0.85178301
