dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98793694,0.98889650,0.98860615,0.98967807,0.00000000,0.00000000,0.00000000,0.82814892,0.82383845,0.82593439,0.98487647
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.90367691,0.98889650,0.87200512,0.98967807,0.83264479,0.28900000,0.41815258,0.89915895,0.87200512,0.85972461,0.88729514
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.98183218,0.98460354,0.98231075,0.98507961,0.00000000,0.00000000,0.00000000,0.82644836,0.81859230,0.82242946,0.97702096
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75467922,0.98460354,0.82142563,0.98507961,0.36209897,0.01700000,0.03243963,0.72290871,0.82142563,0.72748214,0.74072338
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98352579,0.98737490,0.98370461,0.98767807,0.00000000,0.00000000,0.00000000,0.82707799,0.81975384,0.82336211,0.97917333
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.87404356,0.98737490,0.90617051,0.98767807,0.93817696,0.51850000,0.64844023,0.88252067,0.90617051,0.87421782,0.85710856
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98275597,0.98414165,0.98353422,0.98498115,0.00000000,0.00000000,0.00000000,0.82418400,0.81961185,0.82180098,0.97816387
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.77881107,0.98414165,0.83902851,0.98498115,0.73887916,0.11650000,0.18785640,0.83418600,0.83902851,0.76730098,0.77824959
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.99091609,0.99137798,0.99088268,0.99148115,0.00000000,0.00000000,0.00000000,0.86173948,0.85882775,0.86025775,0.98845580
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.84543849,0.99137798,0.88790223,0.99148115,0.96879137,0.37300000,0.53839598,0.86948943,0.88790223,0.83887501,0.83352202
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98347222,0.98444444,0.98275000,0.98400000,0.00000000,0.00000000,0.00000000,0.82593956,0.81895833,0.82237162,0.97922968
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88719182,0.98444444,0.86320348,0.98400000,0.76410011,0.26547085,0.38482629,0.88368708,0.86320348,0.84818295,0.86955243
