dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98560658,0.98629198,0.98589036,0.98700768,0.00000000,0.00000000,0.00000000,0.82836859,0.82157530,0.82490903,0.98197951
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.91862568,0.98629198,0.89324197,0.98700768,0.86868687,0.43000000,0.57525084,0.92141496,0.89324197,0.89332750,0.90394094
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98697738,0.98834818,0.98763268,0.98888268,0.00000000,0.00000000,0.00000000,0.82781395,0.82302723,0.82537770,0.98366132
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.90596745,0.98834818,0.87552723,0.98888268,0.86301370,0.31500000,0.46153846,0.90749008,0.87552723,0.86848379,0.88958383
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98971899,0.99040439,0.99062500,0.99125000,0.00000000,0.00000000,0.00000000,0.82928068,0.82552083,0.82737775,0.98708398
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.88125377,0.99040439,0.84052083,0.99125000,0.69230769,0.09000000,0.15929204,0.86008447,0.84052083,0.80888782,0.86239161
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98903358,0.99040439,0.99000000,0.99125000,0.00000000,0.00000000,0.00000000,0.82689273,0.82500000,0.82584408,0.98626250
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.91621459,0.99040439,0.88916667,0.99125000,0.90588235,0.38500000,0.54035088,0.91442528,0.88916667,0.88242735,0.90151134
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98834818,0.98903358,0.98888268,0.99000000,0.00000000,0.00000000,0.00000000,0.82838867,0.82406890,0.82616338,0.98539503
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.89632309,0.98903358,0.86156890,0.99000000,0.83333333,0.22500000,0.35433071,0.89237998,0.86156890,0.84549658,0.87904800
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.98306390,0.98383372,0.98375000,0.98500000,0.00000000,0.00000000,0.00000000,0.82863021,0.81979167,0.82415159,0.97855060
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75456151,0.98383372,0.82187500,0.98500000,0.27777778,0.01250000,0.02392344,0.72890889,0.82187500,0.73892662,0.74258382
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97382602,0.97382602,0.97750000,0.97750000,0.00000000,0.00000000,0.00000000,0.82349128,0.81458333,0.81879444,0.96711598
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74808711,0.97382602,0.81708333,0.97750000,0.24000000,0.01500000,0.02823529,0.70992717,0.81708333,0.72149264,0.73791172
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98537336,0.98845266,0.98575768,0.98825768,0.00000000,0.00000000,0.00000000,0.82783020,0.82146473,0.82460285,0.98144754
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75750441,0.98845266,0.82438140,0.98825768,0.41176471,0.01750000,0.03357314,0.72447387,0.82438140,0.72754994,0.74292820
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.98152425,0.98537336,0.97852304,0.98263268,0.00000000,0.00000000,0.00000000,0.82305490,0.81543587,0.81916466,0.97651010
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.75515009,0.98537336,0.81876920,0.98263268,0.50000000,0.02000000,0.03846154,0.73034071,0.81876920,0.72027876,0.73723055
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98537336,0.99153195,0.98602304,0.99200768,0.00000000,0.00000000,0.00000000,0.82923522,0.82168587,0.82543374,0.98148059
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75809300,0.99153195,0.82501920,0.99200768,0.38095238,0.02000000,0.03800475,0.72089292,0.82501920,0.72916272,0.74296263
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.98537336,0.98614319,0.98562500,0.98687500,0.00000000,0.00000000,0.00000000,0.83015871,0.82135417,0.82572341,0.98149141
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.88051795,0.98614319,0.91135417,0.98687500,0.93913043,0.54000000,0.68571429,0.90024574,0.91135417,0.89268458,0.86280218
