dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.87703907,0.98958191,0.87507472,0.99020461,0.00000000,0.00000000,0.00000000,0.83333333,0.72922893,0.77734992,0.85975327
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.89174201,0.98958191,0.89572893,0.99020461,0.52944571,0.99900000,0.69137458,0.92146243,0.89572893,0.89252709,0.87747082
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.87621247,0.98414165,0.87689316,0.98435615,0.00000000,0.00000000,0.00000000,0.83227105,0.73074430,0.77756834,0.85750015
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.89805768,0.98414165,0.89224430,0.98435615,0.70808997,0.96900000,0.81814657,0.93899096,0.89224430,0.90817432,0.87994873
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.86820631,0.98414165,0.86901117,0.98420461,0.00000000,0.00000000,0.00000000,0.83139096,0.72417598,0.77338053,0.84910045
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.88969982,0.98414165,0.88409264,0.98420461,0.69492062,0.95950000,0.80552449,0.93199508,0.88409264,0.89988100,0.87013483
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87790608,0.98275597,0.87878701,0.98342807,0.00000000,0.00000000,0.00000000,0.83162224,0.73232251,0.77836105,0.85941388
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.85120659,0.98275597,0.85973918,0.98342807,0.66108931,0.76450000,0.70320141,0.88451302,0.85973918,0.86089877,0.82348858
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.86666667,0.98768283,0.87073045,0.98673115,0.00000000,0.00000000,0.00000000,0.83224490,0.72560871,0.77474990,0.84766921
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.89323131,0.98768283,0.88885871,0.98673115,0.69521878,0.97950000,0.81298915,0.93998507,0.88885871,0.90625886,0.87502045
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.85958333,0.98069444,0.86175000,0.97862500,0.00000000,0.00000000,0.00000000,0.83173047,0.71812500,0.77037479,0.84130145
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.87841251,0.98069444,0.88479167,0.97862500,0.52748436,1.00000000,0.69026776,0.91964453,0.88479167,0.88541942,0.86301552
