dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.88965045,0.98971899,0.88214385,0.98964036,0.00000000,0.00000000,0.00000000,0.83333333,0.73511988,0.78040601,0.87266059
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.90295359,0.98971899,0.90178655,0.98964036,0.55401662,1.00000000,0.71301248,0.92566944,0.90178655,0.89924143,0.88930894
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.84167238,0.98834818,0.83740922,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.69784101,0.75920468,0.82337522
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.86075949,0.98834818,0.86450768,0.98937500,0.46403712,1.00000000,0.63391442,0.91067285,0.86450768,0.86485708,0.84479202
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.87525703,0.99040439,0.87738827,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.73115689,0.77873172,0.85777091
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.89029536,0.99040439,0.89782356,0.99075768,0.52356021,1.00000000,0.68728522,0.92059337,0.89782356,0.89327926,0.87588543
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.89376285,0.98971899,0.89426327,0.99062500,0.00000000,0.00000000,0.00000000,0.83333333,0.74521939,0.78647499,0.87726814
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90657022,0.98971899,0.91188606,0.99062500,0.56338028,1.00000000,0.72072072,0.92723005,0.91188606,0.90659511,0.89335987
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.88485264,0.98971899,0.88416899,0.99062500,0.00000000,0.00000000,0.00000000,0.83333333,0.73680750,0.78193221,0.86769151
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.89813140,0.98971899,0.90264083,0.99062500,0.54223433,0.99500000,0.70194004,0.92314644,0.90264083,0.89866258,0.88400785
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.87374904,0.98460354,0.87437849,0.98450768,0.00000000,0.00000000,0.00000000,0.83333333,0.72864874,0.77710546,0.85484625
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.89994114,0.98460354,0.89281541,0.98450768,0.70609319,0.98500000,0.82254697,0.94440598,0.89281541,0.91122665,0.88266035
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.87682833,0.97459584,0.87816690,0.97763268,0.00000000,0.00000000,0.00000000,0.82914046,0.73180575,0.77604363,0.85789054
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.90464979,0.97459584,0.89763908,0.97763268,0.71841155,0.99500000,0.83438155,0.94685741,0.89763908,0.91409810,0.88844250
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.89453426,0.98845266,0.89805168,0.98875000,0.00000000,0.00000000,0.00000000,0.83333333,0.74837640,0.78835722,0.87697693
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.91406710,0.98845266,0.91129306,0.98875000,0.74053030,0.97750000,0.84267241,0.94730782,0.91129306,0.92431793,0.89837076
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.87759815,0.98845266,0.87015363,0.98638268,0.00000000,0.00000000,0.00000000,0.83333333,0.72512803,0.77497920,0.85856819
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.90641554,0.98845266,0.89179469,0.98638268,0.71556351,1.00000000,0.83420229,0.95259392,0.89179469,0.91401292,0.89055733
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.85835258,0.98460354,0.86371508,0.98450768,0.00000000,0.00000000,0.00000000,0.83221477,0.71976257,0.77135618,0.83921884
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.86521483,0.98460354,0.86767924,0.98450768,0.65985130,0.88750000,0.75692964,0.90378965,0.86767924,0.87721602,0.83971271
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.85450346,0.98614319,0.85155726,0.98526536,0.00000000,0.00000000,0.00000000,0.83333333,0.70963105,0.76584708,0.83495202
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.87757504,0.98614319,0.86838105,0.98526536,0.66842105,0.95250000,0.78556701,0.92518952,0.86838105,0.88749231,0.85599866
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.88529638,0.97613549,0.89233240,0.97937500,0.00000000,0.00000000,0.00000000,0.83022774,0.74361034,0.78379591,0.86700653
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.89582107,0.97613549,0.89861034,0.97937500,0.71814672,0.93000000,0.81045752,0.92568759,0.89861034,0.90570890,0.87601450
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.87682833,0.98922248,0.87754190,0.98937500,0.00000000,0.00000000,0.00000000,0.83108436,0.73128492,0.77722342,0.85784824
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.89464391,0.98922248,0.89003492,0.98937500,0.70686456,0.95250000,0.81150160,0.93081330,0.89003492,0.90320334,0.87524706
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.84526559,0.98537336,0.84339385,0.98500000,0.00000000,0.00000000,0.00000000,0.83333333,0.70282821,0.76242457,0.82548002
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.88169511,0.98537336,0.86949488,0.98500000,0.66555740,1.00000000,0.79920080,0.94425957,0.86949488,0.89562471,0.86313243
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.87913780,0.98383372,0.88023045,0.98200768,0.00000000,0.00000000,0.00000000,0.82897603,0.73352537,0.77761164,0.86021542
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.89876398,0.98383372,0.89394204,0.98200768,0.71561338,0.96250000,0.82089552,0.93402541,0.89394204,0.90737576,0.88028151
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.86836028,0.98306390,0.86536313,0.98312500,0.00000000,0.00000000,0.00000000,0.83333333,0.72113594,0.77299220,0.84905778
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.88404944,0.98306390,0.87696927,0.98312500,0.68623853,0.93500000,0.79153439,0.92160200,0.87696927,0.89250833,0.86240398
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.88606620,0.97382602,0.89193436,0.97687500,0.00000000,0.00000000,0.00000000,0.82911392,0.74327863,0.78332631,0.86763331
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.84402590,0.97382602,0.86119530,0.97687500,0.66276347,0.70750000,0.68440145,0.87046058,0.86119530,0.85397530,0.81369905
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.88914550,0.98999230,0.89023045,0.99000000,0.00000000,0.00000000,0.00000000,0.83224401,0.74185871,0.78400960,0.87102128
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.82636845,0.98999230,0.84560871,0.99000000,0.63520408,0.62250000,0.62878788,0.85586735,0.84560871,0.83612865,0.79378505
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.83833718,0.98614319,0.83687849,0.98625000,0.00000000,0.00000000,0.00000000,0.83333333,0.69739874,0.75927309,0.81857957
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.85991760,0.98614319,0.85239874,0.98625000,0.63917526,0.93000000,0.75763747,0.91123269,0.85239874,0.87232251,0.83501951
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.90762125,0.98075443,0.90952863,0.98089036,0.00000000,0.00000000,0.00000000,0.83008658,0.75794053,0.79220404,0.89077747
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.84167157,0.98075443,0.86252386,0.98089036,0.68206522,0.62750000,0.65364583,0.86340251,0.86252386,0.84955908,0.81253532
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.85219400,0.98922248,0.86072277,0.98714036,0.00000000,0.00000000,0.00000000,0.83224401,0.71726897,0.76993088,0.83303234
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.88287228,0.98922248,0.88101897,0.98714036,0.67294521,0.98250000,0.79878049,0.93715753,0.88101897,0.89951996,0.86369732
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.87528868,0.98922248,0.88148045,0.98937500,0.00000000,0.00000000,0.00000000,0.83227176,0.73456704,0.77967443,0.85668742
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.89876398,0.98922248,0.89706704,0.98937500,0.70780399,0.97500000,0.82018927,0.94098876,0.89706704,0.91181928,0.88099265
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.86913010,0.98922248,0.87648045,0.98937500,0.00000000,0.00000000,0.00000000,0.83116065,0.73040037,0.77684079,0.85019014
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.89699823,0.98922248,0.89498371,0.98937500,0.70159858,0.98750000,0.82035306,0.94298248,0.89498371,0.91101913,0.87961131
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.85527329,0.98383372,0.85151885,0.98437500,0.00000000,0.00000000,0.00000000,0.83333333,0.70959905,0.76628639,0.83554768
