dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.96161755,0.98684030,0.96332612,0.98671997,0.00000000,0.00000000,0.00000000,0.82956951,0.80277176,0.81575740,0.95309472
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.95093430,0.98684030,0.94827176,0.98671997,0.77498530,0.87300000,0.81986640,0.94041966,0.94827176,0.94273838,0.94117777
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95596613,0.97859892,0.95848534,0.97799651,0.00000000,0.00000000,0.00000000,0.82226531,0.79873778,0.81010578,0.94555726
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.87981165,0.97859892,0.90415445,0.97799651,0.84051552,0.63250000,0.71614845,0.88076980,0.90415445,0.87973529,0.86043911
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.95504234,0.97859892,0.95700070,0.97812151,0.00000000,0.00000000,0.00000000,0.82016335,0.79750058,0.80818966,0.94442015
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89181872,0.97859892,0.91191725,0.97812151,0.85866570,0.68650000,0.74946792,0.89738510,0.91191725,0.89240451,0.87418697
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.96458814,0.98013857,0.96675419,0.98009497,0.00000000,0.00000000,0.00000000,0.82281954,0.80562849,0.81393812,0.95592597
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.83967039,0.98013857,0.87796182,0.98009497,0.82641502,0.43400000,0.56583632,0.85272416,0.87796182,0.83737575,0.82125505
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96551193,0.98352579,0.96466760,0.98249651,0.00000000,0.00000000,0.00000000,0.82359770,0.80388966,0.81334055,0.95714422
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90900530,0.98352579,0.92480633,0.98249651,0.88771732,0.72550000,0.76962870,0.91570940,0.92480633,0.90791627,0.89560044
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95069444,0.97888889,0.95137500,0.97762500,0.00000000,0.00000000,0.00000000,0.82256999,0.79281250,0.80713188,0.93976030
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.90426939,0.97888889,0.89355988,0.97762500,0.66849725,0.60448430,0.62690083,0.88250992,0.89355988,0.87955212,0.88723513
