dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98903358,0.98971899,0.98901536,0.98964036,0.00000000,0.00000000,0.00000000,0.82706837,0.82417947,0.82558580,0.98622355
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87402049,0.98971899,0.83001280,0.98964036,0.50000000,0.03500000,0.06542056,0.82465558,0.83001280,0.79049211,0.85446694
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98697738,0.98697738,0.98812500,0.98812500,0.00000000,0.00000000,0.00000000,0.82380578,0.82343750,0.82357524,0.98361232
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.89572031,0.98697738,0.86177083,0.98812500,0.93877551,0.23000000,0.36947791,0.89666559,0.86177083,0.83961741,0.87878618
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99108979,0.99108979,0.99138268,0.99138268,0.00000000,0.00000000,0.00000000,0.82776129,0.82615223,0.82692796,0.98878720
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.90777577,0.99108979,0.87615223,0.99138268,0.95238095,0.30000000,0.45627376,0.91999870,0.87615223,0.86774024,0.89242244
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98971899,0.99040439,0.99013268,0.99125000,0.00000000,0.00000000,0.00000000,0.82533445,0.82511057,0.82513367,0.98709662
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.91199518,0.99040439,0.88261057,0.99125000,0.94520548,0.34500000,0.50549451,0.91576083,0.88261057,0.87393435,0.89696522
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98903358,0.98903358,0.98950768,0.98950768,0.00000000,0.00000000,0.00000000,0.82787588,0.82458973,0.82617331,0.98623919
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.90174804,0.98903358,0.86875640,0.98950768,0.88333333,0.26500000,0.40769231,0.89999093,0.86875640,0.85438036,0.88523423
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97767513,0.98152425,0.97901536,0.98214036,0.00000000,0.00000000,0.00000000,0.81667531,0.81584614,0.81610367,0.97168265
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.74985285,0.98152425,0.81751280,0.98214036,0.36363636,0.01000000,0.01946472,0.69490073,0.81751280,0.70216598,0.73729978
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97382602,0.97382602,0.97700768,0.97700768,0.00000000,0.00000000,0.00000000,0.81906200,0.81417307,0.81632338,0.96701573
