dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98149417,0.98903358,0.98135265,0.99000000,0.00000000,0.00000000,0.00000000,0.83154379,0.81779388,0.82457609,0.97700864
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.94731766,0.98903358,0.93412721,0.99000000,0.84768024,0.69800000,0.76533355,0.94367782,0.93412721,0.93704746,0.93664854
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97105466,0.98352579,0.96922765,0.98390922,0.00000000,0.00000000,0.00000000,0.82960495,0.80768971,0.81842638,0.96384819
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.91595056,0.98352579,0.93052304,0.98390922,0.89380351,0.73700000,0.80027951,0.92839331,0.93052304,0.92384469,0.90121079
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.96766744,0.98768283,0.96590573,0.98842807,0.00000000,0.00000000,0.00000000,0.83140709,0.80492144,0.81787059,0.95983411
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.95232490,0.98768283,0.95533811,0.98842807,0.90077244,0.90250000,0.90063073,0.95570273,0.95533811,0.95505878,0.94202136
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.96735951,0.98444958,0.96523534,0.98545461,0.00000000,0.00000000,0.00000000,0.83109900,0.80436278,0.81741268,0.95944502
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.89793996,0.98444958,0.91644611,0.98545461,0.87068318,0.67250000,0.75589398,0.90060236,0.91644611,0.89658627,0.88147137
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98137028,0.99199384,0.97828073,0.99207961,0.00000000,0.00000000,0.00000000,0.83218948,0.81523394,0.82356405,0.97659907
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.95773985,0.99199384,0.96206727,0.99207961,0.93741935,0.88100000,0.90495537,0.95681817,0.96206727,0.95638397,0.94987199
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.96958333,0.98416667,0.96675000,0.98387500,0.00000000,0.00000000,0.00000000,0.82937604,0.80562500,0.81723521,0.96236608
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.96921227,0.98416667,0.96676102,0.98387500,0.84787454,0.96681614,0.90292432,0.96573607,0.96676102,0.96529043,0.96302499
