dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98012337,0.98697738,0.97990573,0.98812500,0.00000000,0.00000000,0.00000000,0.83145009,0.81658811,0.82392076,0.97532971
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93791441,0.98697738,0.92158811,0.98812500,0.82352941,0.63000000,0.71388102,0.93389693,0.92158811,0.92478350,0.92550122
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98149417,0.98834818,0.98164804,0.98937500,0.00000000,0.00000000,0.00000000,0.83280757,0.81804004,0.82532626,0.97702496
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.94755877,0.98834818,0.93470670,0.98937500,0.84337349,0.70000000,0.76502732,0.94408142,0.93470670,0.93770789,0.93688543
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98286498,0.99108979,0.98289804,0.99187500,0.00000000,0.00000000,0.00000000,0.83239171,0.81908170,0.82567141,0.97869179
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.94996986,0.99108979,0.93741504,0.99187500,0.85542169,0.71000000,0.77595628,0.94656651,0.93741504,0.94050556,0.93969434
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97943797,0.98971899,0.97878841,0.99062500,0.00000000,0.00000000,0.00000000,0.82867784,0.81565701,0.82206085,0.97444081
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94936709,0.98971899,0.93732367,0.99062500,0.85380117,0.73000000,0.78706199,0.94474772,0.93732367,0.93952772,0.93914540
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98355038,0.98903358,0.98352304,0.99000000,0.00000000,0.00000000,0.00000000,0.83239171,0.81960254,0.82590117,0.97955591
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95177818,0.98903358,0.93960254,0.99000000,0.86227545,0.72000000,0.78474114,0.94909653,0.93960254,0.94271262,0.94201632
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97074673,0.98306390,0.96901536,0.98437500,0.00000000,0.00000000,0.00000000,0.82903615,0.80751280,0.81807144,0.96335691
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.91053561,0.98306390,0.92667947,0.98437500,0.90220820,0.71500000,0.79776848,0.93179499,0.92667947,0.92471015,0.89413167
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96535797,0.97382602,0.96615573,0.97750000,0.00000000,0.00000000,0.00000000,0.82906118,0.80512977,0.81677561,0.95704614
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.85344320,0.97382602,0.88679644,0.97750000,0.83050847,0.49000000,0.61635220,0.86136652,0.88679644,0.85854842,0.83078611
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.97536567,0.98460354,0.97401536,0.98513268,0.00000000,0.00000000,0.00000000,0.82920091,0.81167947,0.82029276,0.96907106
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.95821071,0.98460354,0.96209614,0.98513268,0.93281654,0.90250000,0.91740788,0.95614853,0.96209614,0.95891460,0.94905899
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.97228637,0.98537336,0.96803073,0.98164804,0.00000000,0.00000000,0.00000000,0.83061896,0.80669227,0.81838901,0.96532542
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.96586227,0.98537336,0.96419227,0.98164804,0.92195122,0.94500000,0.93333333,0.97015434,0.96419227,0.96704902,0.95827768
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.97151655,0.99076212,0.96892109,0.99089036,0.00000000,0.00000000,0.00000000,0.83010753,0.80743424,0.81860306,0.96444141
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.89170100,0.99076212,0.91285091,0.99089036,0.88153310,0.63250000,0.73653566,0.92250216,0.91285091,0.91000124,0.87379948
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.96458814,0.98460354,0.96204609,0.98562500,0.00000000,0.00000000,0.00000000,0.83225108,0.80170507,0.81664954,0.95608340
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.94408476,0.98460354,0.94795507,0.98562500,0.88860759,0.87750000,0.88301887,0.94571760,0.94795507,0.94653021,0.93180563
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96535797,0.97767513,0.96664804,0.98075768,0.00000000,0.00000000,0.00000000,0.83063541,0.80554004,0.81779696,0.95710251
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.97115951,0.97767513,0.97054004,0.98075768,0.90410959,0.99000000,0.94510740,0.97768858,0.97054004,0.97352715,0.96511725
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.96997691,0.99384142,0.96950768,0.99312500,0.00000000,0.00000000,0.00000000,0.83130574,0.80792307,0.81934257,0.96268413
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.94526192,0.99384142,0.95208973,0.99312500,0.90339426,0.86500000,0.88378033,0.94754681,0.95208973,0.94955893,0.93329900
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.96766744,0.99230177,0.96503841,0.99187500,0.00000000,0.00000000,0.00000000,0.83115421,0.80419867,0.81740841,0.95976518
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.93113596,0.99230177,0.93961534,0.99187500,0.89285714,0.81250000,0.85078534,0.93396138,0.93961534,0.93586691,0.91647873
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.97074673,0.98999230,0.96628841,0.99075768,0.00000000,0.00000000,0.00000000,0.83168900,0.80524034,0.81815548,0.96353531
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.96998234,0.98999230,0.96649034,0.99075768,0.91489362,0.96750000,0.94046173,0.97359929,0.96649034,0.96981071,0.96340619
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.97151655,0.98691301,0.96852304,0.98750000,0.00000000,0.00000000,0.00000000,0.83279396,0.80710254,0.81965752,0.96451591
