dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.96490747,0.98875942,0.96632612,0.98955307,0.00000000,0.00000000,0.00000000,0.83149963,0.80527176,0.81800266,0.95710960
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.95985533,0.98875942,0.95910510,0.98955307,0.79108596,0.92300000,0.85049057,0.95249953,0.95910510,0.95409321,0.95198704
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.96089299,0.98475751,0.96390573,0.98520461,0.00000000,0.00000000,0.00000000,0.83094130,0.80325477,0.81674544,0.95180404
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88922896,0.98475751,0.91267144,0.98520461,0.83439919,0.65650000,0.71862787,0.89854410,0.91267144,0.89500749,0.87143527
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.96520400,0.98752887,0.96626955,0.98780307,0.00000000,0.00000000,0.00000000,0.82951409,0.80522463,0.81706004,0.95688572
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92383755,0.98752887,0.93680796,0.98780307,0.87941486,0.78950000,0.82535581,0.92450477,0.93680796,0.92470749,0.90995060
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.96951501,0.98367975,0.97226536,0.98425768,0.00000000,0.00000000,0.00000000,0.82775683,0.81022114,0.81876578,0.96205285
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.76233078,0.98367975,0.82513780,0.98425768,0.30403825,0.08950000,0.12684516,0.76588186,0.82513780,0.75369705,0.75828601
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.97290223,0.99153195,0.97369763,0.99160615,0.00000000,0.00000000,0.00000000,0.82982082,0.81141469,0.82037195,0.96628857
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.93454974,0.99153195,0.94641469,0.99160615,0.90402878,0.81000000,0.84743394,0.92823242,0.94641469,0.93140988,0.92308403
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.96000000,0.98416667,0.96125000,0.98362500,0.00000000,0.00000000,0.00000000,0.82968426,0.80104167,0.81499319,0.95099485
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.95850872,0.98416667,0.95918815,0.98362500,0.79952580,0.94887892,0.86679628,0.95528920,0.95918815,0.95558740,0.95039083
