dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98917066,0.98930775,0.98973115,0.98985615,0.00000000,0.00000000,0.00000000,0.85809234,0.85777595,0.85787962,0.98637959
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88872815,0.98930775,0.85077595,0.98985615,0.84731169,0.15600000,0.25328365,0.88340471,0.85077595,0.82233923,0.87125340
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.98106236,0.98137028,0.98178422,0.98203422,0.00000000,0.00000000,0.00000000,0.81840080,0.81815351,0.81813373,0.97597495
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75020600,0.98137028,0.81823685,0.98203422,0.06666667,0.00050000,0.00099256,0.65067403,0.81823685,0.70437550,0.73741087
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98152425,0.98260200,0.98278422,0.98365922,0.00000000,0.00000000,0.00000000,0.85165411,0.85178294,0.85154286,0.97660128
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.79799882,0.98260200,0.85265351,0.98365922,0.79739620,0.20200000,0.29862621,0.80513613,0.85265351,0.78068956,0.78010658
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98229407,0.98244804,0.98345461,0.98357961,0.00000000,0.00000000,0.00000000,0.88477522,0.88536243,0.88490939,0.97753806
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.75279576,0.98244804,0.82079551,0.98357961,0.47045455,0.00750000,0.01467790,0.78261205,0.82079551,0.73195915,0.75817681
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98752887,0.98752887,0.98728422,0.98728422,0.00000000,0.00000000,0.00000000,0.88851851,0.88846730,0.88844168,0.98413338
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.75891701,0.98752887,0.82548685,0.98728422,0.61333333,0.01650000,0.03194777,0.76957076,0.82548685,0.72531262,0.75250949
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98111111,0.98152778,0.97912500,0.97950000,0.00000000,0.00000000,0.00000000,0.84972700,0.84864583,0.84904451,0.97617685
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.84966927,0.98152778,0.81608698,0.97950000,0.10000000,0.00089686,0.00177778,0.73846298,0.81608698,0.76196842,0.82984250
