dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98903358,0.98971899,0.98901536,0.98964036,0.00000000,0.00000000,0.00000000,0.82460051,0.82417947,0.82435346,0.98619776
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87040386,0.98971899,0.82501280,0.98964036,0.25000000,0.00500000,0.00980392,0.77848349,0.82501280,0.77865433,0.85089534
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98903358,0.98903358,0.99000000,0.99000000,0.00000000,0.00000000,0.00000000,0.98863748,0.99000000,0.98925360,0.98620014
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87100663,0.98903358,0.82666667,0.99000000,1.00000000,0.01000000,0.01980198,0.88689048,0.82666667,0.76921401,0.85261421
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99108979,0.99108979,0.99138268,0.99138268,0.00000000,0.00000000,0.00000000,0.99148477,0.99138268,0.99139204,0.98878243
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87522604,0.99108979,0.83115223,0.99138268,1.00000000,0.03000000,0.05825243,0.89485940,0.83115223,0.78353364,0.85637272
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98766278,0.98766278,0.98875000,0.98875000,0.00000000,0.00000000,0.00000000,0.82270557,0.82395833,0.82325976,0.98447863
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89933695,0.98766278,0.86645833,0.98875000,0.96226415,0.25500000,0.40316206,0.90846423,0.86645833,0.85073540,0.88272807
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98903358,0.98903358,0.98950768,0.98950768,0.00000000,0.00000000,0.00000000,0.82635638,0.82458973,0.82540293,0.98622902
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.88667872,0.98903358,0.84792307,0.98950768,0.87500000,0.14000000,0.24137931,0.88177700,0.84792307,0.81711546,0.86867732
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97459584,0.97459584,0.97589036,0.97589036,0.00000000,0.00000000,0.00000000,0.80963504,0.81324197,0.81123209,0.96775066
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.74514420,0.97459584,0.81324197,0.97589036,0.00000000,0.00000000,0.00000000,0.62480880,0.81324197,0.69051531,0.73195537
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97228637,0.97228637,0.97513268,0.97513268,0.00000000,0.00000000,0.00000000,0.81279099,0.81261057,0.81233117,0.96500658
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74337846,0.97228637,0.81261057,0.97513268,0.00000000,0.00000000,0.00000000,0.65480706,0.81261057,0.71283979,0.72865863
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98768283,0.98768283,0.98812500,0.98812500,0.00000000,0.00000000,0.00000000,0.98490539,0.98812500,0.98645508,0.98432222
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75515009,0.98768283,0.82343750,0.98812500,0.00000000,0.00000000,0.00000000,0.63429805,0.82343750,0.70097900,0.74518675
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.98691301,0.98691301,0.98450768,0.98450768,0.00000000,0.00000000,0.00000000,0.98812515,0.98450768,0.98624871,0.98331428
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.75515009,0.98691301,0.82083973,0.98450768,1.00000000,0.00250000,0.00498753,0.81111689,0.82083973,0.71332469,0.74185119
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98537336,0.98537336,0.98651536,0.98651536,0.00000000,0.00000000,0.00000000,0.81886119,0.82209614,0.82034002,0.98140791
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75338434,0.98537336,0.82209614,0.98651536,0.00000000,0.00000000,0.00000000,0.63605590,0.82209614,0.70242924,0.74269263
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.98383372,0.98383372,0.98401536,0.98401536,0.00000000,0.00000000,0.00000000,0.82124349,0.82001280,0.82052253,0.97948655
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.83814008,0.98383372,0.88084614,0.98401536,0.95424837,0.36500000,0.52802893,0.86216135,0.88084614,0.83384140,0.82193897
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96997691,0.97305620,0.97450768,0.97700768,0.00000000,0.00000000,0.00000000,0.81358946,0.81208973,0.81232313,0.96227445
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.75338434,0.97305620,0.82042307,0.97700768,0.55555556,0.05000000,0.09174312,0.75809138,0.82042307,0.73905773,0.73316833
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98691301,0.98845266,0.98750000,0.98875000,0.00000000,0.00000000,0.00000000,0.82190206,0.82291667,0.82236669,0.98334727
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.77810477,0.98845266,0.83958333,0.98875000,0.95238095,0.10000000,0.18099548,0.82071505,0.83958333,0.75439054,0.76202447
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98383372,0.98383372,0.98388268,0.98388268,0.00000000,0.00000000,0.00000000,0.98392890,0.98388268,0.98389717,0.97938076
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.75220718,0.98383372,0.81990223,0.98388268,0.00000000,0.00000000,0.00000000,0.62736185,0.81990223,0.70638255,0.73525504
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.98306390,0.98383372,0.98401536,0.98464036,0.00000000,0.00000000,0.00000000,0.81760666,0.82001280,0.81860478,0.97851738
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.75161860,0.98383372,0.82001280,0.98464036,0.00000000,0.00000000,0.00000000,0.64558338,0.82001280,0.71118780,0.73663617
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.98306390,0.98306390,0.98375000,0.98375000,0.00000000,0.00000000,0.00000000,0.82222477,0.81979167,0.82095626,0.97846552
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.75220718,0.98306390,0.82020833,0.98375000,0.16666667,0.00250000,0.00492611,0.73131244,0.82020833,0.73042439,0.75725035
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.97228637,0.97228637,0.97500000,0.97500000,0.00000000,0.00000000,0.00000000,0.80990918,0.81250000,0.81081796,0.96498009
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.74455562,0.97228637,0.81333333,0.97500000,0.33333333,0.00500000,0.00985222,0.75369751,0.81333333,0.72464759,0.74784450
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.98845266,0.98845266,0.98875000,0.98875000,0.00000000,0.00000000,0.00000000,0.98663274,0.98875000,0.98765804,0.98529188
